Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2024-12-05,131,NABIL,Nabil Bank Limited,540.6,540.6,523,525,61452,32305643.4,530,700,419,2024-12-05T14:59:56.452228,525,716,525.7,142049.24
2,2024-12-05,132,NIMB,Nepal Investment Mega Bank Limited,225,225,222,222.8,90104,20128803.6,225,295,147.4,2024-12-05T14:59:54.263072,222.8,397,223.39,76038.51
3,2024-12-05,133,SCB,Standard Chartered Bank Limited,654,658.9,650,650.5,34860,22763651.8,660,790,497.4,2024-12-05T14:59:30.92336,650.5,222,653,65325.61
4,2024-12-05,134,HBL,Himalayan Bank Limited,245,254,245,250,55975,14014875.3,250,312.1,167.1,2024-12-05T14:59:29.097276,250,213,250.37,54141.54
5,2024-12-05,135,SBI,Nepal SBI Bank Limited,470.9,470.9,458.7,460.5,42783,19683487.8,463,549,268.6,2024-12-05T14:59:43.467335,460.5,159,460.07,48353.2
6,2024-12-05,137,EBL,Everest Bank Limited,601,601,591,594,42910,25582392.9,607,790,469,2024-12-05T14:59:58.54448,594,329,596.18,76891.48
7,2024-12-05,139,NICA,NIC Asia Bank Ltd.,406.9,415,406,409.9,155704,63754717.8,415.2,573,341.6,2024-12-05T14:59:53.47263,409.9,919,409.46,61147.11
8,2024-12-05,140,MBL,Machhapuchhre Bank Limited,255,255.8,250.3,252.2,30287,7644507.4,255,295,157.8,2024-12-05T14:58:38.952616,252.2,156,252.4,29309.06
9,2024-12-05,141,LSL,Laxmi Sunrise Bank Limited,246,246,240.2,242.9,104483,25282987.9,246,300,143.6,2024-12-05T14:59:57.468196,242.9,334,241.98,56321.6
10,2024-12-05,142,KBL,Kumari Bank Limited,227.8,227.8,220,221,154089,34120574.3,223.4,272.9,129.6,2024-12-05T14:59:50.147809,221,540,221.43,57959.15
11,2024-12-05,145,SBL,Siddhartha Bank Limited,323.9,323.9,317,320,46163,14732599.4,324,380,212.2,2024-12-05T14:59:59.328251,320,148,319.14,45087.94
