Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2024-11-12,131,NABIL,Nabil Bank Limited,570.6,572,566,566.2,58126,33088676.4,569,700,419,2024-11-12T14:59:57.727716,566.2,539,569.25,153196.72
2,2024-11-12,132,NIMB,Nepal Investment Mega Bank Limited,242,245,238.5,238.5,127125,30730042.6,242,295,147.4,2024-11-12T14:59:49.024775,238.5,397,241.73,81396.7
3,2024-11-12,133,SCB,Standard Chartered Bank Limited,761,764.9,748,751.8,60731,45889105.7,755,790,497.4,2024-11-12T14:59:59.794744,751.8,332,755.61,70890.63
4,2024-11-12,134,HBL,Himalayan Bank Limited,261.2,266,259,262,62438,16346856.8,260.9,312.1,167.1,2024-11-12T14:59:58.595364,262,280,261.8,56740.33
5,2024-11-12,135,SBI,Nepal SBI Bank Limited,490.6,491.9,480,482.7,83660,40688130,481,549,268.6,2024-11-12T14:59:56.687841,482.7,284,486.35,50684.24
6,2024-11-12,137,EBL,Everest Bank Limited,620,628,616,619.4,67171,41754358,619,790,458.2,2024-11-12T14:59:34.969203,619.4,270,621.61,80179.44
7,2024-11-12,139,NICA,NIC Asia Bank Ltd.,463,463,450,457,98128,44800783,454,573,341.6,2024-11-12T14:59:58.258377,457,383,456.55,68173.28
8,2024-11-12,140,MBL,Machhapuchhre Bank Limited,280,280,268,270,184561,50155800.8,283,295,157.8,2024-11-12T14:59:52.525721,270,563,271.75,31377.66
9,2024-11-12,141,LSL,Laxmi Sunrise Bank Limited,252.1,272.3,252.1,264,725835,191053464.8,257.2,300,143.6,2024-11-12T14:59:53.7639,264,934,263.21,61214.09
10,2024-11-12,142,KBL,Kumari Bank Limited,237.5,238.6,232.7,233,222417,52250697.8,234.8,272.9,129.6,2024-11-12T14:59:53.963918,233,671,234.92,61106.26
11,2024-11-12,145,SBL,Siddhartha Bank Limited,346.8,346.8,335.2,335.3,39271,13290433.5,340,380,212.2,2024-11-12T14:59:58.685077,335.3,129,338.42,47243.7
12,2024-11-12,147,SHL,Soaltee Hotel Limited,567,570,550.8,562,67155,37988176,567,636.5,396,2024-11-12T14:59:53.447557,562,223,565.67,52207.2
13,2024-11-12,148,TRH,Taragaon Regency Hotel Limited,1165,1165,1130,1139,10046,11467834.2,1155,1538,673,2024-11-12T14:59:58.847486,1139,76,1141.53,22348.55
14,2024-11-12,149,OHL,Oriental Hotels Limited,960,976.9,956,956,4270,4128007,945,1205,666,2024-11-12T14:59:36.403097,956,41,966.74,11323.77
15,2024-11-12,152,NHPC,National Hydro Power Company Limited,232.2,239.7,229,230.1,110313,25646478.1,236,290,126,2024-11-12T14:59:49.817252,230.1,390,232.48,5675.27
16,2024-11-12,153,BPCL,Butwal Power Company Limited,467,477,461.2,468,57924,27208996.6,459,536.5,284.4,2024-11-12T14:59:58.148483,468,352,469.73,15954.42
17,2024-11-12,154,CHCL,Chilime Hydropower Company Limited,605,605,592.2,592.2,61989,37050039,600,697,426.3,2024-11-12T14:59:57.282846,592.2,233,597.68,47281.23
18,2024-11-12,155,STC,Salt Trading Corporation,6041,6041,5975,5994,1967,11775487.1,5970,7000,4210,2024-11-12T14:59:26.390981,5994,40,5986.52,19223.78
19,2024-11-12,156,BBC,Bishal Bazar Company Limited,4410,4483,4393.4,4393.4,544,2408195.4,4395,5314,3410.4,2024-11-12T14:47:14.128665,4393.4,25,4426.82,2158.92
20,2024-11-12,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,755,761,735,742,42627,31933685.5,749,930.2,544.4,2024-11-12T14:59:54.898127,742,171,749.14,19381.63
21,2024-11-12,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1000,1009.8,977.5,982,7888,7819302.4,990,1155,800,2024-11-12T14:59:26.57349,982,130,991.29,29235.83
22,2024-11-12,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,939.1,956,930,934,12302,11582854.5,938,1099,650,2024-11-12T14:59:53.864099,934,144,941.54,15935.88
23,2024-11-12,171,SANIMA,Sanima Bank Limited,327,329,322.1,323,60313,19603258.8,327,382,228,2024-11-12T14:59:50.563461,323,276,325.02,43868.33
24,2024-11-12,172,NABBC,Narayani Development Bank Limited,879.4,950,860,928,47721,42961156.8,897.3,950,342.1,2024-11-12T14:59:58.312684,928,352,900.25,2435.7
25,2024-11-12,176,NICL,Nepal Insurance Co. Ltd.,1062,1062,1036,1038,19931,20762287.5,1043,1162,722.1,2024-11-12T14:59:37.556989,1038,124,1041.7,17067.23
26,2024-11-12,177,RBCL,Rastriya Beema Company Limited,17380,17555,17240,17240,145,2507692,17380,22493.9,12800,2024-11-12T14:43:45.888584,17240,12,17294.42,45968.13
27,2024-11-12,178,NLICL,National Life Insurance Co. Ltd.,649,660,642,642,37986,24774531.1,644.8,776.1,521.3,2024-11-12T14:59:47.949433,642,208,652.2,33461.9
28,2024-11-12,179,HEI,Himalayan Everest Insurance Limited,700,713.6,696.1,698,22377,15728163.6,703.9,810,472,2024-11-12T14:59:55.98973,698,135,702.87,17451.1
29,2024-11-12,180,UAIL,United Ajod Insurance Limited,710,723.9,695.1,699,21104,14981224.6,710,837.3,490.6,2024-11-12T14:59:53.1883,699,169,709.87,14679
30,2024-11-12,182,SPIL,Siddhartha Premier Insurance Limited,912,912.9,890,895,14334,12898722.2,897,1076,675,2024-11-12T14:59:55.222467,895,124,899.86,25118.62
31,2024-11-12,183,NIL,Neco Insurance Limited,955,961,944.8,944.8,21380,20356527,952,1050,750,2024-11-12T14:59:02.210717,944.8,101,952.12,19012.78
32,2024-11-12,184,PRIN,Prabhu Insurance Ltd.,1045.5,1045.5,1020,1025,21840,22528773,1025,1113,618,2024-11-12T14:59:52.356572,1025,126,1031.53,14775.25
33,2024-11-12,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,783,804,783,790.9,10566,8366643.8,795,926,602,2024-11-12T14:58:55.737068,790.9,75,791.84,20742.45
34,2024-11-12,186,IGI,IGI Prudential insurance Limited,661.9,663,642,643,43993,28548151.3,650,760,433.2,2024-11-12T14:59:58.474629,643,251,648.92,19478.62
35,2024-11-12,187,NLIC,Nepal Life Insurance Co. Ltd.,890,904,877.2,878.9,71658,63702577.4,880,1060,566,2024-11-12T14:59:58.071637,878.9,563,888.98,72139.82
36,2024-11-12,188,LICN,Life Insurance Corporation (Nepal) Limited,1220,1258,1220,1233,18486,22948608.5,1220,2475,1123.8,2024-11-12T14:59:01.759388,1233,190,1241.4,61650
37,2024-11-12,192,SICL,Shikhar Insurance Co. Ltd.,905,905,875.1,884.9,18394,16181588.2,890,1120,669.4,2024-11-12T14:59:34.066483,884.9,104,879.72,23493.63
38,2024-11-12,194,NFS,Nepal Finance Ltd.,1379,1379,1328.1,1333,43778,59003048.3,1352,2614.9,270,2024-11-12T14:59:58.37098,1333,597,1347.77,11183.12
39,2024-11-12,195,BNL,Bottlers Nepal (Balaju) Limited,17002,17200,17001,17200,30,512030,17200,23765.6,2453.3,2024-11-12T13:12:54.558138,17200,3,17067.66,33520.86
