Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
63,2024-11-25,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,282.0,283.0,275.0,281.0,125195,34853457.9,276.5,349.0,149.0,2024-11-25T14:59:28.568558,281.0,340,278.39,10812.89
28,2024-11-26,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,281.0,286.6,281.0,285.0,157408,44660340.8,281.0,349.0,149.0,2024-11-26T14:59:59.530111,285.0,464,283.72,10966.81
64,2024-11-27,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,279.3,290.5,279.3,290.0,229119,66021888.1,285.0,349.0,149.0,2024-11-27T14:59:50.577294,290.0,551,288.15,11159.21
64,2024-11-28,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,284.2,299.8,282.0,284.0,203840,58521282.6,290.0,349.0,149.0,2024-11-28T14:59:46.907599,284.0,608,287.09,10928.33
90,2024-12-01,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,278.4,282.0,276.0,278.0,164975,45940906.7,284.0,349.0,149.0,2024-12-01T14:59:53.304415,278.0,474,278.47,10697.45
64,2024-12-02,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,278.0,286.0,276.6,279.8,176139,49647577.3,278.0,349.0,149.0,2024-12-02T14:59:53.539693,279.8,521,281.86,10766.71
64,2024-12-03,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,285.3,285.3,278.5,278.5,132566,37234080.1,279.8,349.0,149.0,2024-12-03T14:59:52.537861,278.5,445,280.87,10716.69
64,2024-12-04,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,284.0,284.0,275.0,275.2,203976,56954895.0,278.5,349.0,149.0,2024-12-04T14:59:58.5182,275.2,507,279.22,10589.7
64,2024-12-05,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,269.7,280.0,269.7,271.0,194304,52876743.4,275.2,349.0,149.0,2024-12-05T14:59:55.822953,271.0,594,272.13,10428.09
64,2024-12-08,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,276.4,281.9,265.1,266.8,143664,38680280.5,271.0,349.0,149.0,2024-12-08T14:59:58.4642,266.8,495,269.24,10266.47
63,2024-12-09,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,271.0,272.1,265.0,267.0,111205,29795062.1,266.8,349.0,149.0,2024-12-09T14:59:52.767226,267.0,344,267.92,10274.17
63,2024-12-10,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,271.0,271.0,264.1,266.0,105469,28105493.2,267.0,349.0,149.0,2024-12-10T14:59:32.949435,266.0,319,266.48,10235.69
63,2024-12-11,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,269.0,271.0,265.0,271.0,100057,26773356.2,266.0,349.0,149.0,2024-12-11T14:59:55.737532,271.0,277,267.58,10428.09
70,2024-12-12,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,270.0,272.3,265.1,265.1,73171,19600127.3,271.0,349.0,149.0,2024-12-12T14:59:38.189539,265.1,414,267.86,10201.06
67,2024-12-16,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,270.0,270.0,253.5,255.0,193762,49872843.7,265.1,349.0,149.0,2024-12-16T14:59:58.027921,255.0,679,257.39,9812.41
22,2024-12-17,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,260.1,260.1,250.5,254.0,98398,25085227.1,255.0,349.0,149.0,2024-12-17T14:59:54.614347,254.0,373,254.93,9773.93
37,2024-12-18,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,256.0,259.0,250.9,251.9,73501,18692216.6,254.0,349.0,149.0,2024-12-18T14:59:19.549686,251.9,355,254.31,9693.12
65,2024-12-19,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,251.9,254.5,245.0,245.9,146950,36286432.1,251.9,349.0,149.0,2024-12-19T14:59:57.620447,245.9,554,246.93,9462.24
64,2024-12-22,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,246.1,250.3,241.0,241.9,78953,19247498.8,245.9,349.0,149.0,2024-12-22T14:59:59.164507,241.9,424,243.78,9308.32
59,2024-12-23,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,244.5,247.8,241.0,247.8,82486,20196567.6,241.9,349.0,149.0,2024-12-23T14:59:57.211972,247.8,351,244.84,9535.35
62,2024-12-24,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,242.9,260.0,242.9,253.5,192979,49309885.7,247.8,349.0,149.0,2024-12-24T14:59:49.022716,253.5,644,255.51,9754.69
93,2024-12-26,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,258.5,258.5,249.8,253.7,70764,17914103.1,253.5,349.0,149.0,2024-12-26T14:59:59.193946,253.7,330,253.15,9762.38
59,2024-12-29,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,256.5,256.5,246.2,249.0,65122,16244266.1,253.7,349.0,149.0,2024-12-29T14:59:54.270003,249.0,300,249.44,9581.53
