Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
134,2024-10-15,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,214.0,216.0,212.0,215.0,11650,2493413.3,213.0,274.9,141.3,2024-10-15T14:59:57.571126,215.0,86,214.02,4300.0
136,2024-10-16,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,217.3,226.0,216.0,223.9,90364,19966697.7,215.0,274.9,141.3,2024-10-16T14:59:58.15221,223.9,427,220.95,4478.0
136,2024-10-17,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,225.0,228.0,219.5,220.0,58750,13102653.9,223.9,274.9,141.3,2024-10-17T14:58:50.721868,220.0,327,223.02,4400.0
137,2024-10-20,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,215.6,218.7,212.0,213.0,71155,15317805.8,220.0,274.9,141.3,2024-10-20T14:59:47.422656,213.0,386,215.27,4260.0
137,2024-10-21,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,214.0,214.0,206.5,208.4,54420,11349082.0,213.0,274.9,141.3,2024-10-21T14:59:58.817489,208.4,274,208.54,4168.0
136,2024-10-22,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,208.0,212.9,208.0,212.0,36446,7670183.4,208.4,274.9,141.3,2024-10-22T14:59:56.088375,212.0,202,210.45,4240.0
137,2024-10-23,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,216.2,216.2,208.3,209.0,21494,4524313.7,212.0,274.9,141.3,2024-10-23T14:58:56.451436,209.0,134,210.49,4180.0
137,2024-10-24,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,207.0,210.0,207.0,208.0,32801,6814296.4,209.0,274.9,141.3,2024-10-24T14:59:46.289108,208.0,202,207.74,4160.0
138,2024-10-27,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,212.1,212.1,206.0,207.5,23299,4844343.5,208.0,274.9,141.3,2024-10-27T14:59:58.15912,207.5,145,207.92,4150.0
134,2024-10-28,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,209.0,210.9,208.0,210.8,17676,3704909.5,207.5,274.9,141.3,2024-10-28T14:59:59.689004,210.8,119,209.6,4216.0
135,2024-10-29,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,213.0,217.0,210.0,216.5,51681,11107630.8,210.8,274.9,141.3,2024-10-29T14:59:57.282021,216.5,228,214.92,4330.0
135,2024-10-30,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,217.1,217.1,213.0,213.0,26786,5736000.2,216.5,274.9,141.3,2024-10-30T14:59:49.53771,213.0,178,214.14,4260.0
134,2024-11-05,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,217.0,217.0,211.5,211.5,12667,2692358.6,213.0,274.9,141.3,2024-11-05T14:59:23.444407,211.5,118,212.54,4230.0
137,2024-11-06,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,211.5,214.5,210.2,212.0,15665,3317235.2,211.5,274.9,141.3,2024-11-06T14:59:21.932603,212.0,112,211.76,4240.0
136,2024-11-10,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,215.0,225.8,213.0,225.0,151269,33400440.9,212.0,274.9,141.3,2024-11-10T14:59:39.777684,225.0,553,220.8,4500.0
137,2024-11-11,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,220.5,233.0,220.5,223.9,85636,19529669.1,225.0,274.9,141.3,2024-11-11T14:59:59.486504,223.9,466,228.05,4478.0
137,2024-11-12,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,219.5,219.5,201.6,212.9,1198640,255947775.6,223.9,274.9,141.3,2024-11-12T14:59:57.79249,212.9,3185,213.53,4258.0
138,2024-11-13,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,211.0,214.0,209.0,210.0,352575,74275718.5,212.9,274.9,141.3,2024-11-13T14:59:55.760455,210.0,1236,210.66,4200.0
138,2024-11-14,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,213.0,214.0,210.1,211.1,266665,56582559.7,210.0,274.9,141.3,2024-11-14T14:59:56.868664,211.1,965,212.18,4222.0
137,2024-11-17,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,214.0,221.8,213.0,214.8,427283,92231937.3,211.1,274.9,141.3,2024-11-17T14:59:58.72025,214.8,1368,215.85,4296.0
138,2024-11-19,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,218.0,218.0,211.1,211.5,365848,78129540.3,214.8,274.9,141.3,2024-11-19T14:59:55.548791,211.5,1077,213.55,4230.0
137,2024-11-20,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,211.5,217.8,209.7,215.0,330973,70971728.4,211.5,274.9,141.3,2024-11-20T14:59:59.349409,215.0,993,214.43,4300.0
138,2024-11-21,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,215.0,217.5,211.0,211.1,217582,46489894.5,215.0,274.9,141.3,2024-11-21T14:59:59.553124,211.1,822,213.66,4222.0
139,2024-11-24,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,214.9,214.9,207.1,207.1,205456,43109015.6,211.1,274.9,144.2,2024-11-24T14:59:55.339983,207.1,778,209.82,4142.0
124,2024-11-25,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,211.0,211.0,207.0,207.5,154709,32271964.8,207.1,274.9,144.2,2024-11-25T14:59:38.166307,207.5,608,208.59,4150.0
