Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
140,2024-11-25,2757,AKPL,Arun Kabeli Power Ltd.,259.1,260.0,254.1,255.0,148166,37990575.1,254.1,326.0,154.5,2024-11-25T14:59:57.359294,255.0,466,256.4,9934.65
118,2024-11-26,2757,AKPL,Arun Kabeli Power Ltd.,260.1,265.0,259.0,263.0,172216,45067585.3,255.0,326.0,154.5,2024-11-26T14:59:58.140703,263.0,464,261.69,10246.33
117,2024-11-27,2757,AKPL,Arun Kabeli Power Ltd.,266.0,267.0,262.0,264.0,153155,40518915.4,263.0,326.0,154.5,2024-11-27T14:59:44.322103,264.0,489,264.56,10285.29
104,2024-11-28,2757,AKPL,Arun Kabeli Power Ltd.,265.0,266.2,258.3,258.3,110116,28652129.9,264.0,326.0,154.5,2024-11-28T14:59:38.664772,258.3,388,260.19,10063.22
80,2024-12-01,2757,AKPL,Arun Kabeli Power Ltd.,257.0,257.0,250.0,253.1,126494,32048835.6,258.3,326.0,154.5,2024-12-01T14:59:08.629461,253.1,441,253.36,9860.63
116,2024-12-02,2757,AKPL,Arun Kabeli Power Ltd.,254.0,261.0,254.0,255.0,168617,43468562.2,253.1,326.0,154.5,2024-12-02T14:59:58.203006,255.0,436,257.79,9934.65
117,2024-12-03,2757,AKPL,Arun Kabeli Power Ltd.,260.1,260.1,255.0,255.6,170641,43827849.95,255.0,326.0,154.5,2024-12-03T14:59:57.386064,255.6,380,256.84,9958.03
117,2024-12-04,2757,AKPL,Arun Kabeli Power Ltd.,260.7,262.0,254.0,257.0,172311,44533257.3,255.6,326.0,154.5,2024-12-04T14:59:57.103026,257.0,446,258.44,10012.57
114,2024-12-05,2757,AKPL,Arun Kabeli Power Ltd.,253.3,257.5,250.8,257.0,156701,39729695.3,257.0,326.0,157.0,2024-12-05T14:59:58.474088,257.0,488,253.53,10012.57
119,2024-12-08,2757,AKPL,Arun Kabeli Power Ltd.,262.0,262.0,248.1,250.0,164817,41283200.1,257.0,326.0,157.2,2024-12-08T14:59:56.155745,250.0,448,250.47,9739.86
115,2024-12-09,2757,AKPL,Arun Kabeli Power Ltd.,250.0,253.0,248.0,248.9,102220,25522810.1,250.0,326.0,157.2,2024-12-09T14:59:57.347514,248.9,372,249.68,9697.0
114,2024-12-10,2757,AKPL,Arun Kabeli Power Ltd.,248.6,250.9,245.0,246.0,82058,20223984.6,248.9,326.0,157.2,2024-12-10T14:59:59.543598,246.0,322,246.45,9584.02
114,2024-12-11,2757,AKPL,Arun Kabeli Power Ltd.,248.0,252.0,243.2,251.0,115971,28703915.2,246.0,326.0,157.2,2024-12-11T14:59:55.88376,251.0,321,247.5,9778.81
124,2024-12-12,2757,AKPL,Arun Kabeli Power Ltd.,251.1,255.0,244.0,245.5,107891,26841451.4,251.0,326.0,157.2,2024-12-12T14:59:59.092442,245.5,341,248.78,9564.54
140,2024-12-16,2757,AKPL,Arun Kabeli Power Ltd.,245.0,245.0,238.0,239.0,150445,36186636.4,245.5,326.0,157.2,2024-12-16T14:59:49.377138,239.0,472,240.53,9311.3
83,2024-12-17,2757,AKPL,Arun Kabeli Power Ltd.,243.7,243.7,235.1,240.0,125440,30100020.5,239.0,326.0,157.2,2024-12-17T14:59:58.952347,240.0,319,239.95,9350.26
209,2024-12-18,2757,AKPL,Arun Kabeli Power Ltd.,242.0,243.8,238.0,240.0,49050,11773990.8,240.0,326.0,157.2,2024-12-18T14:59:55.820868,240.0,229,240.04,9350.26
117,2024-12-19,2757,AKPL,Arun Kabeli Power Ltd.,242.0,242.0,233.0,237.0,166208,39232913.6,240.0,326.0,157.2,2024-12-19T14:59:56.996742,237.0,453,236.04,9233.38
118,2024-12-22,2757,AKPL,Arun Kabeli Power Ltd.,238.0,239.0,230.1,235.0,89595,20928292.8,237.0,326.0,157.2,2024-12-22T14:59:58.467042,235.0,328,233.58,9155.46
143,2024-12-23,2757,AKPL,Arun Kabeli Power Ltd.,236.0,237.5,232.0,237.5,52136,12244306.9,235.0,326.0,157.2,2024-12-23T14:59:58.831422,237.5,241,234.85,9252.86
143,2024-12-24,2757,AKPL,Arun Kabeli Power Ltd.,241.9,241.9,235.0,236.3,75334,17966063.8,237.5,326.0,157.2,2024-12-24T14:59:59.388645,236.3,340,238.48,9206.11
143,2024-12-26,2757,AKPL,Arun Kabeli Power Ltd.,241.0,241.0,232.0,236.0,56328,13235705.1,236.3,326.0,157.2,2024-12-26T14:59:58.015977,236.0,269,234.97,9194.42
120,2024-12-29,2757,AKPL,Arun Kabeli Power Ltd.,234.0,235.0,229.2,231.0,89716,20755254.0,236.0,326.0,157.2,2024-12-29T14:59:59.361191,231.0,333,231.34,8999.63
