Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
43,2024-10-15,227,BFC,Best Finance Company Ltd.,622.0,640.0,617.4,630.0,51110,32294039.5,609.9,745.0,284.0,2024-10-15T14:59:52.038871,630.0,373,631.85,5609.67
44,2024-10-16,227,BFC,Best Finance Company Ltd.,639.6,649.0,631.0,637.0,38678,24803719.9,630.0,745.0,284.0,2024-10-16T14:59:57.122446,637.0,302,641.28,5672.0
44,2024-10-17,227,BFC,Best Finance Company Ltd.,635.0,643.0,620.0,630.0,44890,28484937.5,637.0,745.0,284.0,2024-10-17T14:59:58.532907,630.0,379,634.54,5609.67
44,2024-10-20,227,BFC,Best Finance Company Ltd.,630.0,632.4,605.7,606.3,60326,37221741.7,630.0,745.0,284.0,2024-10-20T14:59:58.963603,606.3,550,617.0,5398.64
44,2024-10-21,227,BFC,Best Finance Company Ltd.,609.0,610.0,585.1,587.0,60236,35715632.2,606.3,745.0,284.0,2024-10-21T14:59:55.49594,587.0,556,592.92,5226.79
44,2024-10-22,227,BFC,Best Finance Company Ltd.,595.0,620.0,595.0,615.9,68059,41360441.1,587.0,745.0,284.0,2024-10-22T14:59:50.946169,615.9,473,607.71,5484.12
44,2024-10-23,227,BFC,Best Finance Company Ltd.,621.0,642.5,610.0,625.0,116262,73185404.2,615.9,745.0,284.0,2024-10-23T14:59:56.17506,625.0,580,629.48,5565.15
44,2024-10-24,227,BFC,Best Finance Company Ltd.,627.4,636.0,613.0,614.0,30700,19128829.9,625.0,745.0,284.0,2024-10-24T14:59:58.722148,614.0,281,623.08,5467.2
43,2024-10-27,227,BFC,Best Finance Company Ltd.,618.0,624.9,608.1,614.5,49562,30497107.5,614.0,745.0,284.0,2024-10-27T14:59:57.716624,614.5,264,615.33,5471.66
43,2024-10-28,227,BFC,Best Finance Company Ltd.,620.1,655.0,620.1,654.9,138428,88815724.3,614.5,745.0,284.0,2024-10-28T14:59:59.828746,654.9,948,641.6,5831.39
43,2024-10-29,227,BFC,Best Finance Company Ltd.,667.0,674.9,652.1,659.4,79465,52880179.2,654.9,745.0,284.0,2024-10-29T14:59:57.916604,659.4,628,665.45,5871.46
44,2024-10-30,227,BFC,Best Finance Company Ltd.,667.5,667.5,641.0,645.6,53554,34645948.8,659.4,745.0,284.0,2024-10-30T14:59:58.798166,645.6,452,646.93,5748.58
43,2024-11-05,227,BFC,Best Finance Company Ltd.,655.0,655.0,636.7,639.0,26726,17150383.2,645.6,745.0,284.0,2024-11-05T14:59:59.992438,639.0,206,641.71,5689.81
44,2024-11-06,227,BFC,Best Finance Company Ltd.,648.0,665.0,639.0,653.0,48376,31571399.8,639.0,745.0,284.0,2024-11-06T14:59:59.198066,653.0,368,652.62,5814.47
44,2024-11-10,227,BFC,Best Finance Company Ltd.,640.0,687.0,640.0,678.0,86278,58255939.1,653.0,745.0,284.0,2024-11-10T14:59:59.300221,678.0,644,675.21,6037.08
44,2024-11-11,227,BFC,Best Finance Company Ltd.,691.0,698.0,665.1,677.9,125218,85217912.1,678.0,745.0,284.0,2024-11-11T14:59:45.63751,677.9,685,680.55,6036.19
44,2024-11-12,227,BFC,Best Finance Company Ltd.,680.0,745.6,680.0,745.6,405216,292569400.2,677.9,745.6,284.0,2024-11-12T14:59:57.303642,745.6,1987,722.0,6639.0
44,2024-11-13,227,BFC,Best Finance Company Ltd.,760.5,800.0,760.5,777.0,164133,127556080.3,745.6,800.0,284.0,2024-11-13T14:59:56.883473,777.0,1382,777.15,6918.6
44,2024-11-14,227,BFC,Best Finance Company Ltd.,792.5,792.5,766.0,772.0,188985,147704705.1,777.0,800.0,284.0,2024-11-14T14:59:59.782969,772.0,1091,781.56,6874.07
43,2024-11-17,227,BFC,Best Finance Company Ltd.,787.4,787.4,712.0,735.0,235566,176089962.4,772.0,800.0,284.0,2024-11-17T14:59:58.855511,735.0,1453,747.51,6544.62
45,2024-11-19,227,BFC,Best Finance Company Ltd.,721.0,747.0,721.0,724.2,172862,126971721.5,735.0,800.0,284.0,2024-11-19T14:59:49.59577,724.2,915,734.52,6448.45
43,2024-11-20,227,BFC,Best Finance Company Ltd.,738.6,770.0,725.0,767.0,204986,155147667.0,724.2,800.0,285.0,2024-11-20T14:59:57.691878,767.0,1087,756.86,6829.55
44,2024-11-21,227,BFC,Best Finance Company Ltd.,767.0,787.0,749.0,770.0,210693,161815326.7,767.0,800.0,285.0,2024-11-21T14:59:59.22675,770.0,962,768.01,6856.27
44,2024-11-24,227,BFC,Best Finance Company Ltd.,785.4,820.0,775.1,817.0,299140,239891879.6,770.0,820.0,285.0,2024-11-24T14:59:58.620521,817.0,1760,801.93,7274.77
