Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
220,2024-10-15,8055,BHL,Balephi Hydropower Limited,439.9,448.8,432.0,448.8,7662,3385502.2,448.8,499.0,195.0,2024-10-15T14:59:54.454599,448.8,87,441.85,8203.93
228,2024-10-16,8055,BHL,Balephi Hydropower Limited,439.9,453.0,435.0,447.0,16886,7548388.1,448.8,499.0,195.0,2024-10-16T14:59:57.737671,447.0,136,447.02,8171.03
225,2024-10-17,8055,BHL,Balephi Hydropower Limited,439.1,447.0,437.4,440.0,16714,7380997.1,447.0,499.0,195.0,2024-10-17T14:59:11.274127,440.0,134,441.6,8043.07
224,2024-10-20,8055,BHL,Balephi Hydropower Limited,440.0,440.0,431.3,438.0,18767,8137132.7,440.0,499.0,195.0,2024-10-20T14:59:59.923606,438.0,146,433.58,8006.51
229,2024-10-21,8055,BHL,Balephi Hydropower Limited,446.0,454.9,438.3,453.0,42615,19010778.1,438.0,499.0,195.0,2024-10-21T14:59:51.272122,453.0,348,446.1,8280.7
223,2024-10-22,8055,BHL,Balephi Hydropower Limited,455.0,460.0,450.0,453.0,17213,7804841.5,453.0,499.0,195.0,2024-10-22T14:57:08.72448,453.0,195,453.42,8280.7
232,2024-10-23,8055,BHL,Balephi Hydropower Limited,455.0,455.0,431.0,443.8,15561,6863854.4,453.0,499.0,195.0,2024-10-23T14:59:58.636723,443.8,146,441.09,8112.53
225,2024-10-24,8055,BHL,Balephi Hydropower Limited,440.0,443.7,430.0,438.1,8278,3609247.1,443.8,499.0,195.0,2024-10-24T14:59:42.993437,438.1,121,436.0,8008.34
227,2024-10-27,8055,BHL,Balephi Hydropower Limited,442.0,450.0,431.5,442.0,25168,11126487.7,438.1,499.0,195.0,2024-10-27T14:59:18.858247,442.0,289,442.08,8079.63
219,2024-10-28,8055,BHL,Balephi Hydropower Limited,445.0,450.0,443.0,449.0,26734,11941550.8,442.0,499.0,195.0,2024-10-28T14:59:55.067651,449.0,198,446.68,8207.59
227,2024-10-29,8055,BHL,Balephi Hydropower Limited,456.7,459.9,450.0,458.0,31522,14361082.0,449.0,499.0,195.0,2024-10-29T14:59:22.918212,458.0,255,455.58,8372.1
216,2024-10-30,8055,BHL,Balephi Hydropower Limited,465.0,496.0,456.0,483.0,69537,33329622.0,458.0,499.0,195.0,2024-10-30T14:59:53.707007,483.0,534,479.3,8829.1
215,2024-11-05,8055,BHL,Balephi Hydropower Limited,491.9,520.0,483.0,513.2,133401,66328901.1,483.0,520.0,195.0,2024-11-05T14:59:59.686607,513.2,1102,497.21,9381.14
228,2024-11-06,8055,BHL,Balephi Hydropower Limited,312.7,337.2,312.7,337.2,5247,1767640.4,306.6,520.0,195.0,2024-11-06T14:58:37.593765,337.2,58,336.88,12327.83
230,2024-11-10,8055,BHL,Balephi Hydropower Limited,343.9,370.9,343.9,370.9,63084,23173259.3,337.2,520.0,195.0,2024-11-10T14:53:52.215568,370.9,330,367.33,13559.88
214,2024-11-11,8055,BHL,Balephi Hydropower Limited,378.3,407.9,374.0,395.0,157509,63087881.0,370.9,520.0,195.0,2024-11-11T14:59:03.307305,395.0,988,400.53,14440.96
224,2024-11-12,8055,BHL,Balephi Hydropower Limited,402.9,407.0,384.0,386.8,21037,8227977.3,395.0,520.0,195.0,2024-11-12T14:59:59.188113,386.8,260,391.11,14141.18
221,2024-11-13,8055,BHL,Balephi Hydropower Limited,392.0,425.0,385.1,425.0,37426,14649047.5,386.8,520.0,195.0,2024-11-13T14:59:24.659378,425.0,298,391.41,15537.75
231,2024-11-14,8055,BHL,Balephi Hydropower Limited,425.0,433.5,399.0,410.0,84484,34378226.9,425.0,520.0,195.0,2024-11-14T14:59:59.120614,410.0,591,406.91,14989.35
236,2024-11-17,8055,BHL,Balephi Hydropower Limited,410.0,418.2,396.0,398.5,57919,23258842.6,410.0,520.0,195.0,2024-11-17T14:59:50.048031,398.5,353,401.57,14568.92
223,2024-11-19,8055,BHL,Balephi Hydropower Limited,395.0,399.8,385.0,386.1,27507,10746818.8,398.5,520.0,195.0,2024-11-19T14:59:54.782856,386.1,245,390.69,14115.58
232,2024-11-20,8055,BHL,Balephi Hydropower Limited,386.1,386.1,377.1,377.1,21524,8232045.2,386.1,520.0,196.0,2024-11-20T14:59:10.871521,377.1,183,382.45,13786.55
226,2024-11-21,8055,BHL,Balephi Hydropower Limited,384.6,390.0,375.0,376.0,16686,6399431.5,377.1,520.0,196.0,2024-11-21T14:59:58.758255,376.0,190,383.52,13746.33
233,2024-11-24,8055,BHL,Balephi Hydropower Limited,383.0,390.0,367.1,367.1,14358,5338379.0,376.0,520.0,198.1,2024-11-24T14:59:55.344281,367.1,183,371.8,13420.96
225,2024-11-25,8055,BHL,Balephi Hydropower Limited,367.1,376.0,363.0,370.0,12431,4573507.5,367.1,520.0,198.1,2024-11-25T14:59:58.787104,370.0,157,367.91,13526.98
225,2024-11-26,8055,BHL,Balephi Hydropower Limited,377.0,395.0,370.1,394.9,33643,13064020.3,370.0,520.0,198.1,2024-11-26T14:59:58.021404,394.9,200,388.31,14437.31
227,2024-11-27,8055,BHL,Balephi Hydropower Limited,402.7,410.0,397.0,401.5,38846,15671596.4,394.9,520.0,198.1,2024-11-27T15:00:02.632298,401.5,282,403.42,14678.6
209,2024-11-28,8055,BHL,Balephi Hydropower Limited,407.0,407.0,385.1,385.5,17708,6909219.3,401.5,520.0,198.1,2024-11-28T14:59:59.415362,385.5,172,390.17,14093.65
