Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
217,2024-11-25,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,518.0,528.0,509.0,510.0,17549,9063201.1,518.0,742.0,316.1,2024-11-25T14:59:59.125009,510.0,163,516.45,2040.0
192,2024-11-26,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,516.0,540.0,507.0,538.0,39519,20638485.5,510.0,742.0,316.1,2024-11-26T14:59:54.516499,538.0,320,522.24,2152.0
220,2024-11-27,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,545.0,553.0,534.1,547.0,55706,30479440.7,538.0,742.0,316.1,2024-11-27T14:59:30.275282,547.0,350,547.14,2188.0
230,2024-11-28,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,551.0,557.9,528.3,528.5,30532,16588772.4,547.0,742.0,316.1,2024-11-28T14:59:48.997603,528.5,263,543.32,2114.0
223,2024-12-01,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,527.0,528.0,518.0,518.1,24436,12763696.9,528.5,742.0,316.1,2024-12-01T14:59:32.171729,518.1,193,522.33,2072.4
216,2024-12-02,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,518.0,535.0,517.0,517.5,64244,33408754.5,518.1,742.0,316.1,2024-12-02T14:59:51.617778,517.5,366,520.02,2070.0
213,2024-12-03,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,520.0,531.4,520.0,525.0,20473,10789407.4,517.5,742.0,316.1,2024-12-03T14:59:39.284458,525.0,167,527.0,2100.0
226,2024-12-04,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,522.1,532.5,518.0,518.0,21219,11154527.3,525.0,742.0,316.1,2024-12-04T14:59:57.389998,518.0,189,525.68,2072.0
213,2024-12-05,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,516.0,520.5,515.0,515.1,17113,8854758.5,518.0,742.0,316.1,2024-12-05T14:59:57.57055,515.1,169,517.42,2060.4
220,2024-12-08,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,510.0,520.0,503.0,503.0,13975,7081728.0,515.1,742.0,333.0,2024-12-08T14:59:56.044859,503.0,141,506.74,2012.0
216,2024-12-09,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,513.0,516.0,500.0,502.0,10469,5288198.6,503.0,742.0,333.0,2024-12-09T14:59:38.501364,502.0,163,505.12,2008.0
210,2024-12-10,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,504.0,510.0,503.0,508.0,10903,5518106.2,502.0,742.0,339.2,2024-12-10T14:59:51.340598,508.0,138,506.1,2032.0
212,2024-12-11,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,518.0,518.0,503.0,510.0,19013,9662533.3,508.0,742.0,339.5,2024-12-11T14:59:57.901916,510.0,126,508.2,2040.0
201,2024-12-12,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,511.1,517.0,507.1,507.1,12614,6445533.6,510.0,742.0,340.0,2024-12-12T14:59:31.432932,507.1,114,510.98,2028.4
209,2024-12-16,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,505.0,505.0,481.3,482.0,20689,10180060.1,507.1,742.0,353.6,2024-12-16T14:59:47.655592,482.0,216,492.05,1928.0
181,2024-12-17,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,484.0,490.0,475.0,480.0,10464,5049259.4,482.0,742.0,353.6,2024-12-17T14:59:19.640846,480.0,145,482.53,1920.0
257,2024-12-18,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,480.0,497.0,480.0,480.5,9698,4714968.6,480.0,742.0,353.6,2024-12-18T14:59:38.865905,480.5,106,486.17,1922.0
215,2024-12-19,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,480.0,489.6,470.0,479.5,13058,6195946.2,480.5,742.0,353.6,2024-12-19T14:59:21.753521,479.5,131,474.49,1918.0
219,2024-12-22,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,489.0,489.0,465.1,477.0,11083,5222358.1,479.5,742.0,353.6,2024-12-22T14:59:57.840062,477.0,142,471.2,1908.0
196,2024-12-23,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,477.3,495.7,477.0,494.0,11471,5545636.4,477.0,742.0,353.6,2024-12-23T14:59:56.950366,494.0,120,483.44,1976.0
189,2024-12-24,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,501.9,506.7,485.4,489.0,12796,6375660.0,494.0,742.0,353.6,2024-12-24T14:59:59.443847,489.0,168,498.25,1956.0
188,2024-12-26,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,496.5,496.5,477.2,485.0,8372,4025135.0,489.0,742.0,353.6,2024-12-26T14:59:54.511817,485.0,101,480.78,1940.0
202,2024-12-29,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,476.0,485.0,472.0,475.0,14570,6928103.9,485.0,742.0,353.6,2024-12-29T14:59:26.799461,475.0,161,475.5,1900.0
