Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
49,2024-10-15,245,CFCL,Central Finance Co. Ltd.,620.0,674.3,620.0,652.0,36118,23256469.9,613.0,820.0,298.0,2024-10-15T14:59:46.714218,652.0,308,643.9,6186.67
50,2024-10-16,245,CFCL,Central Finance Co. Ltd.,664.9,669.0,640.0,645.0,46121,30195590.0,652.0,820.0,298.0,2024-10-16T14:59:58.754151,645.0,393,654.7,6120.25
50,2024-10-17,245,CFCL,Central Finance Co. Ltd.,656.0,656.0,635.0,640.0,44519,28689651.1,645.0,820.0,298.0,2024-10-17T14:59:59.379104,640.0,299,644.43,6072.8
50,2024-10-20,245,CFCL,Central Finance Co. Ltd.,627.2,644.0,614.7,618.0,80069,50177014.1,640.0,820.0,298.0,2024-10-20T14:59:47.618029,618.0,537,626.67,5864.05
50,2024-10-21,245,CFCL,Central Finance Co. Ltd.,618.0,620.0,595.9,598.1,51889,31355951.7,618.0,820.0,298.0,2024-10-21T14:59:55.641407,598.1,400,604.28,5675.22
50,2024-10-22,245,CFCL,Central Finance Co. Ltd.,595.0,621.9,595.0,619.9,47514,28944242.4,598.1,820.0,298.0,2024-10-22T14:59:59.387087,619.9,370,609.17,5882.08
50,2024-10-23,245,CFCL,Central Finance Co. Ltd.,632.2,681.8,620.0,641.0,161181,105193937.0,619.9,820.0,298.0,2024-10-23T14:59:59.143073,641.0,1027,652.64,6082.29
50,2024-10-24,245,CFCL,Central Finance Co. Ltd.,653.8,681.0,648.0,650.0,128923,85161455.8,641.0,820.0,298.0,2024-10-24T14:59:54.351652,650.0,910,660.56,6167.69
49,2024-10-27,245,CFCL,Central Finance Co. Ltd.,650.0,663.0,640.2,656.8,68932,45146969.2,650.0,820.0,298.0,2024-10-27T14:59:54.240171,656.8,413,654.94,6232.21
49,2024-10-28,245,CFCL,Central Finance Co. Ltd.,667.5,699.0,666.3,692.0,120939,82844246.2,656.8,820.0,298.0,2024-10-28T14:59:58.115891,692.0,796,685.0,6566.22
49,2024-10-29,245,CFCL,Central Finance Co. Ltd.,705.0,715.0,672.0,679.0,138095,96265911.2,692.0,820.0,298.0,2024-10-29T14:59:51.109795,679.0,849,697.09,6442.87
50,2024-10-30,245,CFCL,Central Finance Co. Ltd.,692.0,692.0,665.0,670.0,68143,45766556.4,679.0,820.0,298.0,2024-10-30T14:59:56.500832,670.0,470,671.62,6357.47
49,2024-11-05,245,CFCL,Central Finance Co. Ltd.,675.0,679.0,653.0,659.0,43533,28871697.1,670.0,820.0,298.0,2024-11-05T14:59:57.021627,659.0,280,663.21,6253.09
50,2024-11-06,245,CFCL,Central Finance Co. Ltd.,669.9,699.0,658.2,689.0,82271,56040915.7,659.0,820.0,298.0,2024-11-06T14:59:57.733361,689.0,489,681.17,6537.75
50,2024-11-10,245,CFCL,Central Finance Co. Ltd.,680.0,710.0,680.0,697.0,97338,68277288.6,689.0,820.0,298.0,2024-11-10T14:59:50.871638,697.0,619,701.44,6613.66
50,2024-11-11,245,CFCL,Central Finance Co. Ltd.,708.0,714.0,677.2,688.0,110768,76826401.1,697.0,820.0,298.0,2024-11-11T14:59:51.333706,688.0,727,693.57,6528.26
50,2024-11-12,245,CFCL,Central Finance Co. Ltd.,688.0,712.0,685.0,697.0,99960,70013452.6,688.0,820.0,298.0,2024-11-12T14:59:58.843383,697.0,575,700.41,6613.66
50,2024-11-13,245,CFCL,Central Finance Co. Ltd.,705.0,729.0,705.0,723.0,145760,105125551.8,697.0,820.0,298.0,2024-11-13T14:59:58.948561,723.0,945,721.22,6860.37
50,2024-11-14,245,CFCL,Central Finance Co. Ltd.,737.4,745.9,724.0,727.4,113931,83986605.1,723.0,820.0,298.0,2024-11-14T14:59:56.451863,727.4,778,737.17,6902.12
49,2024-11-17,245,CFCL,Central Finance Co. Ltd.,729.0,739.0,702.0,711.0,106180,76161877.0,727.4,820.0,298.0,2024-11-17T14:59:46.413352,711.0,679,717.29,6746.51
51,2024-11-19,245,CFCL,Central Finance Co. Ltd.,710.0,719.0,687.1,690.0,97438,68192670.7,711.0,820.0,298.0,2024-11-19T14:59:59.323435,690.0,738,699.85,6547.24
49,2024-11-20,245,CFCL,Central Finance Co. Ltd.,690.9,703.8,679.0,690.0,65631,45606018.4,690.0,820.0,300.0,2024-11-20T14:59:59.040328,690.0,497,694.88,6547.24
50,2024-11-21,245,CFCL,Central Finance Co. Ltd.,702.0,705.0,675.0,676.4,79284,54577652.3,690.0,820.0,300.0,2024-11-21T14:59:53.585504,676.4,477,688.38,6418.19
50,2024-11-24,245,CFCL,Central Finance Co. Ltd.,680.1,701.0,676.2,680.0,67477,46431829.9,676.4,820.0,305.1,2024-11-24T14:59:55.698725,680.0,428,688.11,6452.35
54,2024-11-25,245,CFCL,Central Finance Co. Ltd.,689.0,703.8,685.0,690.0,59376,41297812.5,680.0,820.0,305.1,2024-11-25T14:59:58.841104,690.0,341,695.53,6547.24
21,2024-11-26,245,CFCL,Central Finance Co. Ltd.,685.0,712.0,685.0,702.9,56792,39726033.6,690.0,820.0,305.1,2024-11-26T14:59:59.161434,702.9,320,699.5,6669.65
50,2024-11-27,245,CFCL,Central Finance Co. Ltd.,706.1,721.0,701.7,707.0,68392,48481110.6,702.9,820.0,305.1,2024-11-27T14:59:36.774379,707.0,436,708.87,6708.55
57,2024-11-28,245,CFCL,Central Finance Co. Ltd.,716.0,716.0,697.3,698.0,78820,55472736.6,707.0,820.0,305.1,2024-11-28T14:59:58.370644,698.0,457,703.79,6623.15
