Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
275,2024-11-25,9173,CITY,City Hotel Limited,900.0,918.0,878.1,898.0,18293,16517875.5,890.0,1168.5,540.2,2024-11-25T14:59:58.770935,898.0,217,902.96,15032.52
243,2024-11-26,9173,CITY,City Hotel Limited,915.0,930.0,905.0,928.0,15621,14324367.8,898.0,1168.5,540.2,2024-11-26T14:59:58.567134,928.0,217,916.99,15534.72
278,2024-11-27,9173,CITY,City Hotel Limited,945.9,945.9,927.1,937.0,10062,9395768.3,928.0,1168.5,540.2,2024-11-27T15:00:02.630449,937.0,137,933.78,15685.38
262,2024-11-28,9173,CITY,City Hotel Limited,920.0,947.0,901.6,914.0,14780,13510394.3,937.0,1168.5,540.2,2024-11-28T14:59:55.753607,914.0,185,914.09,15300.36
278,2024-12-01,9173,CITY,City Hotel Limited,932.2,969.0,922.0,949.9,67386,64014826.4,914.0,1168.5,540.2,2024-12-01T14:59:44.410018,949.9,644,949.97,15901.33
272,2024-12-02,9173,CITY,City Hotel Limited,963.0,1025.0,950.0,992.9,74336,73595183.8,949.9,1168.5,540.2,2024-12-02T14:59:51.656425,992.9,825,990.03,16621.15
267,2024-12-03,9173,CITY,City Hotel Limited,1000.0,1002.0,960.0,972.0,21704,21157396.1,992.9,1168.5,540.2,2024-12-03T14:59:58.434931,972.0,288,974.81,16271.28
280,2024-12-04,9173,CITY,City Hotel Limited,972.0,977.0,948.0,948.0,21334,20499505.5,972.0,1168.5,540.2,2024-12-04T14:59:56.033314,948.0,279,960.88,15869.52
267,2024-12-05,9173,CITY,City Hotel Limited,935.0,952.8,920.1,921.0,15208,14127275.3,948.0,1168.5,542.4,2024-12-05T14:59:56.556277,921.0,220,928.93,15417.54
278,2024-12-08,9173,CITY,City Hotel Limited,921.0,938.0,905.0,905.0,19069,17471286.2,921.0,1168.5,557.0,2024-12-08T14:59:57.082156,905.0,245,916.21,15149.7
272,2024-12-09,9173,CITY,City Hotel Limited,900.0,922.9,900.0,912.0,10415,9493895.4,905.0,1168.5,559.0,2024-12-09T14:59:18.754698,912.0,145,911.55,15266.88
263,2024-12-10,9173,CITY,City Hotel Limited,912.0,922.0,907.5,921.0,8045,7348171.5,912.0,1168.5,559.0,2024-12-10T14:59:56.421948,921.0,124,913.38,15417.54
266,2024-12-11,9173,CITY,City Hotel Limited,910.1,931.0,910.0,929.0,6725,6215769.0,921.0,1168.5,559.0,2024-12-11T14:59:18.394544,929.0,106,924.27,15551.46
222,2024-12-12,9173,CITY,City Hotel Limited,910.5,936.0,902.0,902.0,9209,8438764.2,929.0,1168.5,559.0,2024-12-12T14:59:21.800081,902.0,152,916.36,15099.48
281,2024-12-16,9173,CITY,City Hotel Limited,902.0,902.0,875.1,880.0,17167,15184602.3,902.0,1168.5,559.0,2024-12-16T14:59:10.773545,880.0,194,884.52,14731.2
296,2024-12-17,9173,CITY,City Hotel Limited,866.0,892.0,866.0,874.0,5442,4772608.5,880.0,1168.5,559.0,2024-12-17T14:59:22.585382,874.0,113,876.99,14630.76
292,2024-12-18,9173,CITY,City Hotel Limited,890.0,906.0,869.0,872.0,15372,13516822.9,874.0,1168.5,559.0,2024-12-18T14:59:47.473767,872.0,180,879.31,14597.28
271,2024-12-19,9173,CITY,City Hotel Limited,889.0,889.0,863.0,863.0,14929,12968878.7,872.0,1168.5,559.0,2024-12-19T14:58:57.328115,863.0,135,868.7,14446.62
277,2024-12-22,9173,CITY,City Hotel Limited,858.3,880.0,851.0,859.9,9805,8436807.3,863.0,1168.5,559.0,2024-12-22T14:59:29.231357,859.9,134,860.45,14394.73
281,2024-12-23,9173,CITY,City Hotel Limited,870.0,872.0,855.0,872.0,4800,4151518.4,859.9,1168.5,559.0,2024-12-23T14:59:38.239476,872.0,90,864.89,14597.28
290,2024-12-24,9173,CITY,City Hotel Limited,872.0,888.9,870.0,876.9,9903,8713146.0,872.0,1168.5,559.0,2024-12-24T14:59:52.718836,876.9,145,879.84,14679.31
275,2024-12-26,9173,CITY,City Hotel Limited,870.1,885.0,870.0,878.1,4930,4315285.4,876.9,1168.5,559.0,2024-12-26T14:59:56.851574,878.1,89,875.31,14699.39
292,2024-12-29,9173,CITY,City Hotel Limited,879.0,892.0,865.0,865.0,8557,7491897.0,878.1,1168.5,559.0,2024-12-29T14:59:32.478079,865.0,141,875.52,14480.1
