Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
138,2024-11-25,2862,CMF2,CITIZENS MUTUAL FUND 2,9.61,9.65,9.59,9.65,38630,370645.5,9.78,10.68,7.13,2024-11-25T14:25:27.072999,9.65,9,9.59,540.4
164,2024-11-26,2862,CMF2,CITIZENS MUTUAL FUND 2,9.46,9.65,9.46,9.65,6170,59477.5,9.65,10.68,7.13,2024-11-26T14:37:18.841625,9.65,4,9.63,540.4
160,2024-11-27,2862,CMF2,CITIZENS MUTUAL FUND 2,9.55,9.55,9.55,9.55,1300,12415.0,9.65,10.68,7.13,2024-11-27T14:49:05.434784,9.55,3,9.55,534.8
156,2024-11-28,2862,CMF2,CITIZENS MUTUAL FUND 2,9.36,9.38,9.36,9.38,300,2812.0,9.55,10.68,7.13,2024-11-28T13:27:14.826145,9.38,3,9.37,525.28
199,2024-12-01,2862,CMF2,CITIZENS MUTUAL FUND 2,9.56,9.56,9.56,9.56,4900,46844.0,9.38,10.68,7.13,2024-12-01T13:59:52.902544,9.56,1,9.56,535.36
158,2024-12-02,2862,CMF2,CITIZENS MUTUAL FUND 2,9.74,9.92,9.74,9.9,80800,795951.0,9.56,10.68,7.13,2024-12-02T12:37:21.666477,9.9,9,9.85,554.4
161,2024-12-03,2862,CMF2,CITIZENS MUTUAL FUND 2,9.71,9.71,9.57,9.57,20200,196128.0,9.9,10.68,7.13,2024-12-03T13:52:25.58378,9.57,3,9.7,535.92
161,2024-12-04,2862,CMF2,CITIZENS MUTUAL FUND 2,9.51,9.7,9.51,9.61,7800,75584.0,9.57,10.68,7.13,2024-12-04T14:53:13.216345,9.61,8,9.69,538.16
156,2024-12-05,2862,CMF2,CITIZENS MUTUAL FUND 2,9.47,9.47,9.47,9.47,600,5682.0,9.61,10.68,7.13,2024-12-05T14:50:16.582713,9.47,2,9.47,530.32
161,2024-12-08,2862,CMF2,CITIZENS MUTUAL FUND 2,9.29,9.5,9.29,9.45,900,8418.0,9.47,10.68,7.13,2024-12-08T14:25:37.119837,9.45,8,9.35,529.2
158,2024-12-09,2862,CMF2,CITIZENS MUTUAL FUND 2,9.55,9.55,9.55,9.55,4995,47702.25,9.45,10.68,7.13,2024-12-09T14:43:08.922685,9.55,5,9.55,534.8
157,2024-12-10,2862,CMF2,CITIZENS MUTUAL FUND 2,9.56,9.74,9.55,9.55,24200,231158.5,9.55,10.68,7.13,2024-12-10T14:59:43.850714,9.55,6,9.55,534.8
156,2024-12-11,2862,CMF2,CITIZENS MUTUAL FUND 2,9.36,9.54,9.36,9.54,11335,107973.9,9.55,10.68,7.13,2024-12-11T13:46:57.398873,9.54,4,9.52,534.24
172,2024-12-12,2862,CMF2,CITIZENS MUTUAL FUND 2,9.5,9.59,9.41,9.59,13850,131485.0,9.54,10.68,7.44,2024-12-12T14:59:41.710198,9.59,6,9.49,537.04
139,2024-12-16,2862,CMF2,CITIZENS MUTUAL FUND 2,9.46,9.59,9.46,9.59,1000,9525.0,9.59,10.68,7.44,2024-12-16T13:50:42.167835,9.59,3,9.52,537.04
198,2024-12-17,2862,CMF2,CITIZENS MUTUAL FUND 2,9.48,9.51,9.48,9.51,3000,28527.0,9.59,10.68,7.44,2024-12-17T13:36:13.590916,9.51,3,9.5,532.56
232,2024-12-18,2862,CMF2,CITIZENS MUTUAL FUND 2,9.51,9.59,9.5,9.59,14900,142578.0,9.51,10.68,7.44,2024-12-18T12:52:34.242685,9.59,9,9.56,537.04
160,2024-12-22,2862,CMF2,CITIZENS MUTUAL FUND 2,9.4,9.4,9.35,9.36,700,6571.0,9.59,10.68,7.44,2024-12-22T12:08:44.668829,9.36,3,9.38,524.16
164,2024-12-23,2862,CMF2,CITIZENS MUTUAL FUND 2,9.36,9.4,9.36,9.4,1000,9364.0,9.36,10.68,7.44,2024-12-23T14:56:13.620432,9.4,4,9.36,526.4
165,2024-12-26,2862,CMF2,CITIZENS MUTUAL FUND 2,9.4,9.4,9.4,9.4,500,4700.0,9.4,10.68,7.44,2024-12-26T11:09:21.618179,9.4,1,9.4,526.4
174,2024-12-29,2862,CMF2,CITIZENS MUTUAL FUND 2,9.35,9.58,9.35,9.58,750,7073.0,9.4,10.68,7.44,2024-12-29T13:43:50.266944,9.58,4,9.43,536.48
