Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
85,2024-11-25,348,CZBIL,Citizens Bank International Limited,230.0,230.0,224.0,227.0,57241,12921636.5,225.5,296.0,152.5,2024-11-25T14:59:58.680972,227.0,179,225.74,33525.66
27,2024-11-26,348,CZBIL,Citizens Bank International Limited,231.5,235.0,224.5,233.7,53496,12276630.8,227.0,296.0,152.5,2024-11-26T14:59:59.721072,233.7,202,229.48,34515.18
61,2024-11-27,348,CZBIL,Citizens Bank International Limited,233.7,237.0,230.5,237.0,125609,29405845.5,233.7,296.0,152.5,2024-11-27T15:00:02.627464,237.0,253,234.1,35002.56
55,2024-11-28,348,CZBIL,Citizens Bank International Limited,237.0,237.0,230.0,232.0,58571,13578763.6,237.0,296.0,152.5,2024-11-28T14:59:57.570182,232.0,204,231.83,34264.11
59,2024-12-01,348,CZBIL,Citizens Bank International Limited,236.3,236.3,225.0,227.0,80817,18307938.3,232.0,296.0,152.5,2024-12-01T14:59:37.969232,227.0,228,226.53,33525.66
61,2024-12-02,348,CZBIL,Citizens Bank International Limited,231.5,231.5,222.2,223.7,88736,19971464.8,227.0,296.0,152.5,2024-12-02T14:59:58.61061,223.7,304,225.06,33038.28
61,2024-12-03,348,CZBIL,Citizens Bank International Limited,221.0,227.5,221.0,226.0,80923,18284229.8,223.7,296.0,152.5,2024-12-03T14:59:57.630165,226.0,199,225.94,33377.97
61,2024-12-04,348,CZBIL,Citizens Bank International Limited,230.5,230.5,222.2,224.0,53528,12051515.0,226.0,296.0,152.5,2024-12-04T14:59:45.018842,224.0,186,225.14,33082.59
61,2024-12-05,348,CZBIL,Citizens Bank International Limited,226.0,226.0,222.2,223.7,32968,7362017.1,224.0,296.0,152.5,2024-12-05T14:59:59.676111,223.7,148,223.3,33038.28
61,2024-12-08,348,CZBIL,Citizens Bank International Limited,221.0,225.0,217.0,221.0,121332,26621782.2,223.7,296.0,152.5,2024-12-08T14:59:58.88825,221.0,282,219.41,32639.52
60,2024-12-09,348,CZBIL,Citizens Bank International Limited,223.8,224.0,215.0,216.0,72509,15740989.5,221.0,296.0,152.5,2024-12-09T14:59:56.233129,216.0,234,217.09,31901.07
60,2024-12-10,348,CZBIL,Citizens Bank International Limited,218.0,218.0,215.0,217.7,38918,8412346.5,216.0,296.0,152.5,2024-12-10T14:59:59.389563,217.7,189,216.15,32152.14
60,2024-12-11,348,CZBIL,Citizens Bank International Limited,214.0,226.9,214.0,226.9,82719,18242673.8,217.7,296.0,152.5,2024-12-11T14:59:55.729032,226.9,288,220.53,33510.89
51,2024-12-12,348,CZBIL,Citizens Bank International Limited,231.4,231.4,220.0,220.0,89740,20319174.6,226.9,296.0,152.5,2024-12-12T14:59:57.67275,220.0,225,226.42,32491.83
65,2024-12-16,348,CZBIL,Citizens Bank International Limited,218.0,220.0,215.7,217.6,78992,17119560.2,220.0,296.0,152.5,2024-12-16T14:59:57.968376,217.6,179,216.72,32137.37
98,2024-12-17,348,CZBIL,Citizens Bank International Limited,217.0,219.7,216.0,217.5,46502,10138871.9,217.6,296.0,152.5,2024-12-17T14:58:56.708173,217.5,148,218.03,32122.6
34,2024-12-18,348,CZBIL,Citizens Bank International Limited,219.9,220.4,217.0,217.0,40085,8748273.8,217.5,296.0,152.5,2024-12-18T14:59:01.662824,217.0,156,218.24,32048.76
62,2024-12-19,348,CZBIL,Citizens Bank International Limited,215.2,219.0,214.0,214.0,45081,9729396.3,217.0,296.0,152.5,2024-12-19T14:59:26.761345,214.0,168,215.82,31605.69
61,2024-12-22,348,CZBIL,Citizens Bank International Limited,209.8,222.0,209.8,213.7,39326,8437563.6,214.0,296.0,152.5,2024-12-22T14:59:59.49933,213.7,165,214.55,31561.38
88,2024-12-23,348,CZBIL,Citizens Bank International Limited,215.0,217.9,213.0,217.9,59326,12728917.6,213.7,296.0,152.5,2024-12-23T14:59:58.181421,217.9,179,214.55,32181.68
85,2024-12-24,348,CZBIL,Citizens Bank International Limited,213.8,222.0,213.8,219.5,55258,12080283.7,217.9,296.0,152.5,2024-12-24T14:59:58.837183,219.5,195,218.61,32417.98
54,2024-12-26,348,CZBIL,Citizens Bank International Limited,221.5,228.0,214.3,223.9,119205,26692084.3,219.5,296.0,152.5,2024-12-26T14:58:35.703985,223.9,393,223.91,33067.82
86,2024-12-29,348,CZBIL,Citizens Bank International Limited,228.0,228.2,220.5,221.9,36183,8117442.0,223.9,296.0,152.5,2024-12-29T14:59:58.191446,221.9,205,224.34,32772.44
