Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
13,2024-11-25,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,895.0,908.0,891.0,893.0,3930,3524151.8,895.0,1099.0,650.0,2024-11-25T14:59:54.256766,893.0,78,896.73,15236.34
43,2024-11-26,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,887.1,907.8,887.1,903.9,5444,4889304.6,893.0,1099.0,650.0,2024-11-26T14:58:03.783353,903.9,72,898.1,15422.32
22,2024-11-27,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,904.0,920.0,903.2,910.9,8510,7735518.0,903.9,1099.0,650.0,2024-11-27T14:59:51.611313,910.9,91,908.99,15541.75
35,2024-11-28,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,912.0,915.0,893.1,900.0,10019,9015686.6,910.9,1099.0,650.0,2024-11-28T14:59:45.342041,900.0,99,899.85,15355.77
39,2024-12-01,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,885.0,902.0,882.0,895.3,11456,10232445.4,900.0,1099.0,650.0,2024-12-01T14:59:26.729021,895.3,89,893.19,15275.58
22,2024-12-02,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,895.0,910.0,890.0,910.0,11948,10757858.0,895.3,1099.0,651.3,2024-12-02T14:59:53.117287,910.0,102,900.38,15526.39
22,2024-12-03,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,892.3,904.0,892.3,894.0,5377,4811237.2,910.0,1099.0,662.1,2024-12-03T14:59:14.885796,894.0,68,894.78,15253.4
22,2024-12-04,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,903.0,903.0,890.2,895.0,6380,5706356.8,894.0,1099.0,665.0,2024-12-04T14:59:59.739616,895.0,77,894.41,15270.46
22,2024-12-05,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,890.0,900.0,871.0,875.0,7543,6643841.8,895.0,1099.0,670.0,2024-12-05T14:59:45.78317,875.0,119,880.79,14929.22
22,2024-12-08,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,875.0,878.0,860.1,878.0,11647,10090771.9,875.0,1099.0,670.0,2024-12-08T14:54:57.580953,878.0,118,866.38,14980.41
22,2024-12-09,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,863.7,880.0,863.7,875.0,8146,7064168.3,878.0,1099.0,670.0,2024-12-09T14:59:56.596492,875.0,61,867.19,14929.22
22,2024-12-10,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,867.1,874.0,866.2,868.1,2662,2312303.2,875.0,1099.0,670.0,2024-12-10T14:59:36.932073,868.1,45,868.63,14811.5
22,2024-12-11,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,885.0,885.0,867.4,867.4,6800,5909931.4,868.1,1099.0,670.0,2024-12-11T14:59:42.571579,867.4,55,869.1,14799.55
13,2024-12-12,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,880.0,880.0,867.1,875.1,4001,3494452.2,867.4,1099.0,670.0,2024-12-12T14:59:45.53862,875.1,49,873.39,14930.93
36,2024-12-16,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,882.9,883.0,862.0,863.0,12873,11196599.4,875.1,1099.0,670.0,2024-12-16T14:59:36.380101,863.0,90,869.77,14724.48
46,2024-12-17,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,862.5,869.5,855.0,868.0,4922,4237128.2,863.0,1099.0,670.0,2024-12-17T14:58:14.259141,868.0,89,860.85,14809.79
98,2024-12-18,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,869.9,873.0,861.5,862.0,4299,3727750.2,868.0,1099.0,670.0,2024-12-18T14:59:57.277677,862.0,66,867.12,14707.42
22,2024-12-19,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,854.0,865.0,852.7,855.0,4080,3496231.2,862.0,1099.0,670.0,2024-12-19T14:59:14.675565,855.0,69,856.91,14587.99
22,2024-12-22,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,856.0,865.0,856.0,865.0,3301,2846088.3,855.0,1099.0,670.0,2024-12-22T14:59:14.764805,865.0,50,862.18,14758.6
13,2024-12-23,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,874.0,874.0,860.0,869.0,2741,2380352.8,865.0,1099.0,670.0,2024-12-23T14:59:07.241878,869.0,60,868.42,14826.85
39,2024-12-24,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,874.2,882.4,868.0,870.0,5344,4680073.5,869.0,1099.0,670.0,2024-12-24T14:59:38.223976,870.0,64,875.76,14843.91
11,2024-12-26,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,871.0,887.4,871.0,871.0,6320,5551920.3,870.0,1099.0,670.0,2024-12-26T14:59:47.077427,871.0,70,878.46,14860.98
8,2024-12-29,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,880.0,888.4,873.2,873.2,10743,9444012.7,871.0,1099.0,670.0,2024-12-29T14:58:28.710863,873.2,112,879.08,14898.51
