Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
56,2024-10-15,274,EDBL,Excel Development Bank Ltd.,660.0,660.0,648.3,656.0,10561,6896795.9,648.0,742.0,290.2,2024-10-15T14:59:59.685903,656.0,60,653.04,8198.0
57,2024-10-16,274,EDBL,Excel Development Bank Ltd.,669.0,674.0,653.0,656.0,29972,19839381.1,656.0,742.0,290.2,2024-10-16T14:59:56.110173,656.0,130,661.93,8198.0
57,2024-10-17,274,EDBL,Excel Development Bank Ltd.,668.9,680.0,650.0,650.0,30195,20052592.6,656.0,742.0,290.2,2024-10-17T14:59:55.090337,650.0,145,664.1,8123.01
57,2024-10-20,274,EDBL,Excel Development Bank Ltd.,656.0,662.9,643.0,643.1,32227,20944343.0,650.0,742.0,290.2,2024-10-20T14:59:59.496059,643.1,158,649.9,8036.79
57,2024-10-21,274,EDBL,Excel Development Bank Ltd.,643.0,652.7,632.1,647.0,30037,19368956.7,643.1,742.0,290.2,2024-10-21T14:57:51.545566,647.0,106,644.83,8085.52
57,2024-10-22,274,EDBL,Excel Development Bank Ltd.,640.2,658.0,640.0,646.9,15375,9900598.4,647.0,742.0,290.2,2024-10-22T14:59:24.482582,646.9,72,643.94,8084.27
57,2024-10-23,274,EDBL,Excel Development Bank Ltd.,655.0,685.0,640.0,645.0,9932,6444864.8,646.9,742.0,290.2,2024-10-23T14:59:48.669376,645.0,63,648.89,8060.53
57,2024-10-24,274,EDBL,Excel Development Bank Ltd.,654.9,654.9,630.0,631.0,20920,13305989.4,645.0,742.0,290.2,2024-10-24T14:59:52.836537,631.0,110,636.04,7885.57
56,2024-10-27,274,EDBL,Excel Development Bank Ltd.,643.0,643.0,620.4,621.0,9523,5973752.9,631.0,742.0,290.2,2024-10-27T14:59:50.729925,621.0,60,627.29,7760.6
56,2024-10-28,274,EDBL,Excel Development Bank Ltd.,633.4,646.0,631.0,637.0,14064,8996688.1,621.0,742.0,290.2,2024-10-28T14:59:59.250457,637.0,79,639.69,7960.55
56,2024-10-29,274,EDBL,Excel Development Bank Ltd.,648.0,656.0,630.1,655.0,24339,15760306.0,637.0,742.0,290.2,2024-10-29T14:59:59.232856,655.0,114,647.53,8185.5
57,2024-10-30,274,EDBL,Excel Development Bank Ltd.,667.0,720.0,654.0,720.0,132821,88696031.3,655.0,742.0,290.2,2024-10-30T14:59:58.127473,720.0,311,667.78,8997.8
56,2024-11-05,274,EDBL,Excel Development Bank Ltd.,705.6,705.6,665.0,677.0,40782,27457180.9,720.0,742.0,290.2,2024-11-05T14:59:57.121382,677.0,209,673.26,8460.43
57,2024-11-06,274,EDBL,Excel Development Bank Ltd.,688.0,720.0,661.0,679.0,92158,62565710.6,677.0,742.0,290.2,2024-11-06T14:59:58.136517,679.0,318,678.89,8485.43
57,2024-11-10,274,EDBL,Excel Development Bank Ltd.,690.0,690.0,670.0,682.7,52534,35839902.0,679.0,742.0,290.2,2024-11-10T14:59:58.862745,682.7,213,682.22,8531.66
57,2024-11-11,274,EDBL,Excel Development Bank Ltd.,695.0,738.0,677.0,684.8,85975,59424398.1,682.7,742.0,290.2,2024-11-11T14:59:58.946303,684.8,318,691.18,8557.91
57,2024-11-12,274,EDBL,Excel Development Bank Ltd.,695.0,726.0,672.0,681.0,116383,80069162.5,684.8,742.0,290.2,2024-11-12T14:59:57.923258,681.0,321,687.97,8510.42
57,2024-11-13,274,EDBL,Excel Development Bank Ltd.,685.0,695.6,668.0,681.0,104414,71142509.5,681.0,742.0,290.2,2024-11-13T14:59:59.740758,681.0,361,681.35,8510.42
