Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
56,2024-11-25,341,GBIME,Global IME Bank Limited,241.5,241.5,235.0,235.5,93907,22188710.3,236.8,302.0,170.0,2024-11-25T14:59:58.352081,235.5,524,236.28,89762.83
90,2024-11-26,341,GBIME,Global IME Bank Limited,230.8,242.9,230.8,239.0,140447,33366645.6,235.5,302.0,170.0,2024-11-26T14:59:53.889319,239.0,536,237.57,91096.89
60,2024-11-27,341,GBIME,Global IME Bank Limited,242.0,242.0,238.0,239.0,99121,23743639.2,239.0,302.0,170.0,2024-11-27T15:00:02.622808,239.0,484,239.54,91096.89
54,2024-11-28,341,GBIME,Global IME Bank Limited,239.0,241.0,236.0,237.0,97490,23200679.3,239.0,302.0,170.0,2024-11-28T14:59:49.051097,237.0,444,237.98,90334.57
87,2024-12-01,341,GBIME,Global IME Bank Limited,237.0,237.0,232.0,233.0,75953,17741151.6,237.0,302.0,170.0,2024-12-01T14:59:39.442231,233.0,535,233.58,88809.94
60,2024-12-02,341,GBIME,Global IME Bank Limited,237.6,237.6,229.0,229.4,148285,34326171.9,233.0,302.0,170.0,2024-12-02T14:59:55.684294,229.4,698,231.48,87437.77
60,2024-12-03,341,GBIME,Global IME Bank Limited,230.0,232.0,228.0,228.5,120563,27609909.8,229.4,302.0,170.0,2024-12-03T14:59:48.550336,228.5,584,229.0,87094.72
60,2024-12-04,341,GBIME,Global IME Bank Limited,233.0,233.0,225.5,228.2,147819,33768289.8,228.5,302.0,170.0,2024-12-04T14:59:36.312619,228.2,526,228.44,86980.38
60,2024-12-05,341,GBIME,Global IME Bank Limited,228.3,230.0,225.4,225.8,137659,31336776.4,228.2,302.0,170.0,2024-12-05T14:59:59.406932,225.8,524,227.64,86065.6
60,2024-12-08,341,GBIME,Global IME Bank Limited,226.0,226.0,220.0,221.9,197930,44100818.4,225.8,302.0,170.0,2024-12-08T14:59:59.569824,221.9,873,222.81,84579.08
59,2024-12-09,341,GBIME,Global IME Bank Limited,224.9,224.9,220.0,221.0,97044,21564456.0,221.9,302.0,170.0,2024-12-09T14:59:57.833354,221.0,439,222.21,84236.03
59,2024-12-10,341,GBIME,Global IME Bank Limited,222.0,224.7,220.0,221.7,76310,16906155.2,221.0,302.0,170.0,2024-12-10T14:59:55.144911,221.7,380,221.54,84502.85
59,2024-12-11,341,GBIME,Global IME Bank Limited,224.0,235.0,221.0,232.5,168543,38268064.4,221.7,302.0,170.0,2024-12-11T14:59:58.877921,232.5,608,227.05,88619.36
50,2024-12-12,341,GBIME,Global IME Bank Limited,237.1,237.1,226.0,226.0,166841,38264412.9,232.5,302.0,170.0,2024-12-12T14:59:58.780655,226.0,635,229.34,86141.83
52,2024-12-16,341,GBIME,Global IME Bank Limited,227.0,227.9,222.5,224.0,95717,21412232.6,226.0,302.0,170.0,2024-12-16T14:59:27.661578,224.0,408,223.7,85379.51
97,2024-12-17,341,GBIME,Global IME Bank Limited,224.0,239.0,220.1,228.0,117092,26555865.4,224.0,302.0,170.0,2024-12-17T14:59:55.010443,228.0,482,226.79,86904.14
109,2024-12-18,341,GBIME,Global IME Bank Limited,230.0,230.0,223.9,224.3,71990,16256768.9,228.0,302.0,170.0,2024-12-18T14:59:56.221768,224.3,385,225.81,85493.86
61,2024-12-19,341,GBIME,Global IME Bank Limited,226.0,226.3,221.0,222.0,72133,16065850.4,224.3,302.0,170.0,2024-12-19T14:59:48.815873,222.0,416,222.72,84617.19
60,2024-12-22,341,GBIME,Global IME Bank Limited,217.6,223.9,217.6,218.5,94349,20702193.5,222.0,302.0,170.0,2024-12-22T14:59:56.917396,218.5,513,219.42,83283.14
58,2024-12-23,341,GBIME,Global IME Bank Limited,220.5,231.8,218.0,229.5,76892,17085032.05,218.5,302.0,170.0,2024-12-23T14:59:57.294841,229.5,431,222.19,87475.88
60,2024-12-24,341,GBIME,Global IME Bank Limited,230.0,230.5,225.5,227.0,88682,20208874.3,229.5,302.0,170.0,2024-12-24T14:59:59.240613,227.0,444,227.88,86522.99
90,2024-12-26,341,GBIME,Global IME Bank Limited,227.0,238.0,225.0,233.0,159743,37107804.3,227.0,302.0,170.0,2024-12-26T14:59:52.123476,233.0,702,232.29,88809.94
58,2024-12-29,341,GBIME,Global IME Bank Limited,233.1,237.5,229.0,229.5,131859,30675016.9,233.0,302.0,170.0,2024-12-29T14:59:37.203104,229.5,625,232.63,87475.88
