Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
234,2024-10-15,8106,GIBF1,Global IME Balanced Fund-1,9.07,9.08,9.01,9.01,1300,11786.0,9.25,10.6,7.2,2024-10-15T14:04:16.740991,9.01,4,9.06,924.21
242,2024-10-16,8106,GIBF1,Global IME Balanced Fund-1,9.19,9.37,9.19,9.25,1800,16749.0,9.01,10.6,7.2,2024-10-16T14:54:45.399555,9.25,7,9.3,948.83
240,2024-10-17,8106,GIBF1,Global IME Balanced Fund-1,9.43,9.61,9.42,9.6,1400,13241.0,9.25,10.6,7.2,2024-10-17T14:51:58.393609,9.6,7,9.45,984.73
239,2024-10-20,8106,GIBF1,Global IME Balanced Fund-1,9.43,9.79,9.15,9.79,2700,25177.0,9.6,10.6,7.2,2024-10-20T14:49:13.408536,9.79,19,9.32,1004.22
244,2024-10-21,8106,GIBF1,Global IME Balanced Fund-1,9.98,10.17,9.23,9.97,700,6834.0,9.79,10.6,7.2,2024-10-21T14:07:51.840773,9.97,7,9.76,1022.69
239,2024-10-22,8106,GIBF1,Global IME Balanced Fund-1,10.1,10.1,9.32,9.59,20450,194025.0,9.97,10.6,7.2,2024-10-22T14:51:15.041842,9.59,17,9.48,983.71
248,2024-10-23,8106,GIBF1,Global IME Balanced Fund-1,9.74,9.74,9.5,9.69,22010,209281.0,9.59,10.6,7.2,2024-10-23T14:41:20.702563,9.69,10,9.5,993.96
240,2024-10-24,8106,GIBF1,Global IME Balanced Fund-1,9.51,9.51,9.14,9.32,900,8338.2,9.69,10.6,7.2,2024-10-24T14:52:57.688301,9.32,8,9.26,956.01
243,2024-10-27,8106,GIBF1,Global IME Balanced Fund-1,9.32,9.32,9.16,9.17,1600,14821.0,9.32,10.6,7.2,2024-10-27T14:41:59.782132,9.17,9,9.26,940.63
234,2024-10-28,8106,GIBF1,Global IME Balanced Fund-1,9.25,9.3,9.2,9.3,3600,33138.0,9.17,10.6,7.2,2024-10-28T13:57:30.104984,9.3,7,9.2,953.96
243,2024-10-29,8106,GIBF1,Global IME Balanced Fund-1,9.3,9.3,9.2,9.26,2930,26987.0,9.3,10.6,7.2,2024-10-29T14:26:21.955234,9.26,8,9.21,949.86
232,2024-10-30,8106,GIBF1,Global IME Balanced Fund-1,9.28,9.46,9.28,9.46,1100,10226.0,9.26,10.6,7.2,2024-10-30T14:41:37.389232,9.46,2,9.29,970.37
230,2024-11-05,8106,GIBF1,Global IME Balanced Fund-1,9.28,9.64,9.11,9.64,5716,53707.08,9.46,10.6,7.2,2024-11-05T14:59:10.017597,9.64,7,9.39,988.84
243,2024-11-06,8106,GIBF1,Global IME Balanced Fund-1,9.45,9.45,9.28,9.3,1500,13975.0,9.64,10.6,7.2,2024-11-06T14:07:45.171749,9.3,5,9.31,953.96
244,2024-11-10,8106,GIBF1,Global IME Balanced Fund-1,9.3,9.66,9.3,9.65,32700,313378.0,9.3,10.6,7.2,2024-11-10T14:29:26.909748,9.65,21,9.58,989.86
228,2024-11-11,8106,GIBF1,Global IME Balanced Fund-1,9.46,9.84,9.45,9.84,3700,35598.0,9.65,10.6,7.2,2024-11-11T14:58:49.691062,9.84,16,9.62,1009.35
238,2024-11-12,8106,GIBF1,Global IME Balanced Fund-1,9.65,9.9,9.65,9.72,61400,605777.0,9.84,10.6,7.2,2024-11-12T14:55:26.711644,9.72,12,9.86,997.04
235,2024-11-13,8106,GIBF1,Global IME Balanced Fund-1,9.91,10.1,9.91,10.0,317907,3169032.3,9.72,10.6,7.2,2024-11-13T14:55:30.130465,10.0,30,9.96,1025.76
247,2024-11-14,8106,GIBF1,Global IME Balanced Fund-1,10.0,10.32,9.8,10.32,629350,6317177.0,10.0,10.6,7.2,2024-11-14T14:55:57.775716,10.32,35,10.03,1058.59
251,2024-11-17,8106,GIBF1,Global IME Balanced Fund-1,10.35,10.5,9.8,9.8,127600,1336267.0,10.32,10.6,7.2,2024-11-17T14:57:07.415106,9.8,25,10.47,1005.25
237,2024-11-19,8106,GIBF1,Global IME Balanced Fund-1,9.8,10.25,9.8,9.98,5150,51145.5,9.8,10.6,7.2,2024-11-19T14:38:11.362135,9.98,28,9.93,1023.71
247,2024-11-20,8106,GIBF1,Global IME Balanced Fund-1,9.79,9.9,9.79,9.9,11550,113692.0,9.98,10.6,7.2,2024-11-20T13:43:02.877269,9.9,11,9.84,1015.51
241,2024-11-21,8106,GIBF1,Global IME Balanced Fund-1,9.8,9.8,9.62,9.68,1750,17030.0,9.9,10.6,7.2,2024-11-21T14:03:47.387381,9.68,14,9.73,992.94
248,2024-11-24,8106,GIBF1,Global IME Balanced Fund-1,9.65,9.76,9.65,9.76,5900,57447.0,9.68,10.6,7.2,2024-11-24T14:21:10.88056,9.76,12,9.73,1001.15
231,2024-11-25,8106,GIBF1,Global IME Balanced Fund-1,9.95,9.95,9.77,9.84,35363,350455.91,9.76,10.6,7.2,2024-11-25T14:58:47.726117,9.84,8,9.91,1009.35
264,2024-11-26,8106,GIBF1,Global IME Balanced Fund-1,9.8,9.87,9.8,9.87,1900,18661.0,9.84,10.6,7.2,2024-11-26T13:48:13.298602,9.87,6,9.82,1012.43
243,2024-11-27,8106,GIBF1,Global IME Balanced Fund-1,9.87,10.18,9.87,9.98,80040,806817.0,9.87,10.6,7.2,2024-11-27T14:45:32.584506,9.98,20,10.08,1023.71
216,2024-11-28,8106,GIBF1,Global IME Balanced Fund-1,9.86,10.05,9.86,9.98,1900,18980.0,9.98,10.6,7.2,2024-11-28T14:59:35.243244,9.98,10,9.98,1023.71
258,2024-12-01,8106,GIBF1,Global IME Balanced Fund-1,9.85,10.35,9.85,10.08,38923,397117.07,9.98,10.6,7.2,2024-12-01T14:56:04.11978,10.08,34,10.2,1033.97
238,2024-12-02,8106,GIBF1,Global IME Balanced Fund-1,9.88,10.15,9.88,10.11,10900,110095.0,10.08,10.6,7.2,2024-12-02T14:59:15.269329,10.11,21,10.1,1037.05
234,2024-12-03,8106,GIBF1,Global IME Balanced Fund-1,10.0,10.25,10.0,10.23,421400,4299890.5,10.11,10.6,7.2,2024-12-03T14:57:20.777469,10.23,48,10.2,1049.36
246,2024-12-04,8106,GIBF1,Global IME Balanced Fund-1,10.28,10.35,10.22,10.25,157550,1618083.5,10.23,10.6,7.25,2024-12-04T14:54:35.895145,10.25,22,10.27,1051.41
234,2024-12-05,8106,GIBF1,Global IME Balanced Fund-1,10.21,10.27,10.21,10.23,54070,554770.1,10.25,10.6,7.25,2024-12-05T14:43:09.94743,10.23,26,10.26,1049.36
243,2024-12-08,8106,GIBF1,Global IME Balanced Fund-1,10.43,10.43,10.1,10.1,2550,25854.0,10.23,10.6,7.25,2024-12-08T14:53:59.856056,10.1,16,10.13,1036.02
239,2024-12-09,8106,GIBF1,Global IME Balanced Fund-1,10.0,10.19,10.0,10.06,16300,165777.0,10.1,10.6,7.25,2024-12-09T14:44:03.106148,10.06,13,10.17,1031.92
230,2024-12-10,8106,GIBF1,Global IME Balanced Fund-1,9.96,10.1,9.96,10.1,6400,64154.0,10.06,10.6,7.27,2024-12-10T14:57:35.946069,10.1,15,10.02,1036.02
232,2024-12-11,8106,GIBF1,Global IME Balanced Fund-1,9.92,10.1,9.92,10.01,2500,25100.0,10.1,10.6,7.27,2024-12-11T14:52:41.578946,10.01,10,10.04,1026.79
243,2024-12-12,8106,GIBF1,Global IME Balanced Fund-1,9.96,10.21,9.96,10.04,11100,112415.5,10.01,10.6,7.27,2024-12-12T14:53:23.148719,10.04,24,10.12,1029.87
240,2024-12-16,8106,GIBF1,Global IME Balanced Fund-1,9.9,10.13,9.9,10.13,1900,19057.0,10.04,10.6,7.27,2024-12-16T14:58:48.493147,10.13,10,10.03,1039.1
273,2024-12-17,8106,GIBF1,Global IME Balanced Fund-1,10.0,10.2,10.0,10.03,11950,121619.5,10.13,10.6,7.55,2024-12-17T14:29:40.704917,10.03,13,10.17,1028.84
269,2024-12-18,8106,GIBF1,Global IME Balanced Fund-1,9.9,10.14,9.9,10.14,1200,12043.0,10.03,10.6,7.92,2024-12-18T14:59:39.721235,10.14,6,10.03,1040.12
235,2024-12-19,8106,GIBF1,Global IME Balanced Fund-1,10.05,10.1,9.91,10.1,13710,138110.0,10.14,10.6,7.92,2024-12-19T14:55:56.627475,10.1,12,10.07,1036.02
239,2024-12-22,8106,GIBF1,Global IME Balanced Fund-1,9.9,9.99,9.8,9.99,3200,31789.0,10.1,10.6,7.92,2024-12-22T14:59:13.929745,9.99,9,9.93,1024.74
266,2024-12-23,8106,GIBF1,Global IME Balanced Fund-1,9.8,9.99,9.8,9.8,3600,35376.0,9.99,10.6,7.92,2024-12-23T14:58:18.491661,9.8,14,9.82,1005.25
198,2024-12-24,8106,GIBF1,Global IME Balanced Fund-1,9.7,9.99,9.7,9.99,2400,23573.0,9.8,10.6,7.92,2024-12-24T14:59:53.305973,9.99,19,9.82,1024.74
230,2024-12-26,8106,GIBF1,Global IME Balanced Fund-1,10.01,10.07,9.87,10.07,156750,1567551.5,9.99,10.6,7.92,2024-12-26T14:57:32.735264,10.07,17,10.0,1032.94
210,2024-12-29,8106,GIBF1,Global IME Balanced Fund-1,9.88,9.91,9.88,9.91,11000,108923.0,10.07,10.6,7.92,2024-12-29T14:06:34.324585,9.91,7,9.9,1016.53
