Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
178,2024-11-25,2924,GLH,GreenLife Hydropower Limited,252.0,255.0,249.1,250.0,34614,8710465.5,248.5,336.0,196.0,2024-11-25T14:59:47.94395,250.0,191,251.64,4500.0
205,2024-11-26,2924,GLH,GreenLife Hydropower Limited,254.0,263.0,251.0,258.0,45192,11511301.4,250.0,336.0,196.0,2024-11-26T14:59:27.184858,258.0,234,254.71,4644.0
191,2024-11-27,2924,GLH,GreenLife Hydropower Limited,261.0,263.0,258.0,258.7,98277,25592308.7,258.0,336.0,196.0,2024-11-27T14:59:56.866077,258.7,321,260.4,4656.6
167,2024-11-28,2924,GLH,GreenLife Hydropower Limited,258.0,262.0,253.0,253.5,89523,22845461.4,258.7,336.0,196.0,2024-11-28T14:59:49.487088,253.5,314,255.19,4563.0
177,2024-12-01,2924,GLH,GreenLife Hydropower Limited,250.1,255.0,247.0,253.0,59126,14935972.4,253.5,336.0,196.0,2024-12-01T14:59:59.792045,253.0,275,252.61,4554.0
181,2024-12-02,2924,GLH,GreenLife Hydropower Limited,248.6,266.0,248.6,253.5,61934,15910158.2,253.0,336.0,196.0,2024-12-02T14:59:58.690101,253.5,322,256.88,4563.0
185,2024-12-03,2924,GLH,GreenLife Hydropower Limited,255.0,270.0,255.0,265.0,175078,45898927.7,253.5,336.0,196.0,2024-12-03T14:59:59.107456,265.0,602,262.16,4770.0
191,2024-12-04,2924,GLH,GreenLife Hydropower Limited,268.0,270.0,261.0,265.0,106415,28189611.0,265.0,336.0,196.0,2024-12-04T14:59:56.459472,265.0,439,264.9,4770.0
183,2024-12-05,2924,GLH,GreenLife Hydropower Limited,270.3,270.3,257.0,259.0,41551,10825091.7,265.0,336.0,196.0,2024-12-05T14:59:41.958334,259.0,226,260.52,4662.0
183,2024-12-08,2924,GLH,GreenLife Hydropower Limited,255.0,261.9,248.0,248.3,75422,19050911.5,259.0,336.0,196.0,2024-12-08T14:59:59.306629,248.3,346,252.59,4469.4
183,2024-12-09,2924,GLH,GreenLife Hydropower Limited,250.0,255.0,246.0,250.0,64678,16179228.1,248.3,336.0,196.0,2024-12-09T14:59:57.833095,250.0,269,250.15,4500.0
179,2024-12-10,2924,GLH,GreenLife Hydropower Limited,254.0,254.5,247.0,247.1,21108,5257551.5,250.0,336.0,196.0,2024-12-10T14:59:58.861204,247.1,158,249.07,4447.8
179,2024-12-11,2924,GLH,GreenLife Hydropower Limited,246.5,257.0,246.5,253.6,41155,10372794.9,247.1,336.0,196.0,2024-12-11T14:59:56.838743,253.6,174,252.04,4564.8
162,2024-12-12,2924,GLH,GreenLife Hydropower Limited,256.6,258.0,248.6,249.0,22794,5704801.6,253.6,336.0,196.0,2024-12-12T14:59:55.058738,249.0,176,250.27,4482.0
198,2024-12-16,2924,GLH,GreenLife Hydropower Limited,245.2,249.0,240.2,242.0,44225,10767928.6,249.0,336.0,196.0,2024-12-16T14:59:36.739494,242.0,248,243.48,4356.0
138,2024-12-17,2924,GLH,GreenLife Hydropower Limited,240.0,246.8,238.0,239.9,58874,14154158.3,242.0,336.0,196.0,2024-12-17T14:59:54.118549,239.9,274,240.41,4318.2
245,2024-12-18,2924,GLH,GreenLife Hydropower Limited,241.9,246.7,237.0,237.5,40698,9801940.1,239.9,336.0,196.0,2024-12-18T14:56:40.520599,237.5,209,240.84,4275.0
183,2024-12-19,2924,GLH,GreenLife Hydropower Limited,237.0,240.0,235.6,237.0,22933,5432109.13,237.5,336.0,196.0,2024-12-19T14:59:57.046088,237.0,173,236.86,4266.0
187,2024-12-22,2924,GLH,GreenLife Hydropower Limited,238.0,244.0,236.0,239.9,38121,9078145.0,237.0,336.0,196.0,2024-12-22T14:59:58.681561,239.9,195,238.14,4318.2
175,2024-12-23,2924,GLH,GreenLife Hydropower Limited,237.0,243.8,237.0,241.3,19965,4816253.2,239.9,336.0,196.0,2024-12-23T14:59:08.954861,241.3,149,241.23,4343.4
176,2024-12-24,2924,GLH,GreenLife Hydropower Limited,240.0,248.0,238.0,242.2,26936,6584992.6,241.3,336.0,196.0,2024-12-24T14:59:49.759355,242.2,202,244.46,4359.6
205,2024-12-26,2924,GLH,GreenLife Hydropower Limited,238.0,244.5,238.0,240.6,22649,5473076.4,242.2,336.0,196.0,2024-12-26T14:59:46.02276,240.6,153,241.64,4330.8
164,2024-12-29,2924,GLH,GreenLife Hydropower Limited,240.1,243.3,235.2,235.2,32503,7729173.4,240.6,336.0,196.0,2024-12-29T14:59:52.807891,235.2,227,237.79,4233.6
