Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
165,2024-11-25,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1260.0,1260.0,1260.0,1260.0,50,63000.0,1280.0,1280.0,1060.0,2024-11-25T12:17:10.03272,1260.0,1,1260.0,315.0
173,2024-11-27,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1270.0,1270.0,1250.0,1250.0,530,668770.0,1260.0,1280.0,1060.0,2024-11-27T14:38:39.240192,1250.0,4,1261.83,312.5
158,2024-11-28,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1260.0,1260.0,1260.0,1260.0,25,31500.0,1250.0,1280.0,1060.0,2024-11-28T13:55:08.317773,1260.0,1,1260.0,315.0
170,2024-12-03,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1265.0,1265.0,1265.0,1265.0,175,221375.0,1260.0,1280.0,1065.0,2024-12-03T13:23:56.037936,1265.0,2,1265.0,316.25
172,2024-12-04,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1290.0,1315.0,1290.0,1315.0,500,649800.0,1265.0,1315.0,1065.0,2024-12-04T13:35:05.037656,1315.0,4,1299.6,328.75
167,2024-12-08,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1290.0,1290.0,1290.0,1290.0,50,64500.0,1315.0,1315.0,1065.0,2024-12-08T14:59:40.260191,1290.0,1,1290.0,322.5
168,2024-12-09,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1285.0,1285.0,1285.0,1285.0,40,51400.0,1290.0,1315.0,1065.0,2024-12-09T14:29:34.115853,1285.0,1,1285.0,321.25
163,2024-12-11,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1280.0,1285.0,1280.0,1285.0,100,128250.0,1285.0,1315.0,1065.0,2024-12-11T14:26:00.85099,1285.0,2,1282.5,321.25
172,2024-12-16,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1265.0,1265.0,1265.0,1265.0,50,63250.0,1285.0,1315.0,1065.0,2024-12-16T14:29:22.186759,1265.0,1,1265.0,316.25
133,2024-12-17,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1290.3,1295.0,1290.3,1295.0,115,148854.5,1265.0,1315.0,1065.0,2024-12-17T14:47:15.859574,1295.0,3,1294.38,323.75
116,2024-12-18,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1290.0,1290.0,1285.0,1285.0,290,373150.0,1295.0,1315.0,1065.0,2024-12-18T14:58:25.326351,1285.0,3,1286.72,321.25
169,2024-12-22,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1290.1,1290.1,1290.0,1290.0,175,225760.0,1285.0,1315.0,1065.0,2024-12-22T13:17:50.855755,1290.0,2,1290.05,322.5
198,2024-12-23,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1295.0,1295.0,1295.0,1295.0,68,88060.0,1290.0,1315.0,1065.0,2024-12-23T13:30:02.415657,1295.0,2,1295.0,323.75
139,2024-12-24,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1315.9,1315.9,1315.9,1315.9,50,65795.0,1295.0,1315.9,1065.0,2024-12-24T14:59:16.508888,1315.9,1,1315.9,328.98
138,2024-12-26,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1310.0,1326.0,1310.0,1326.0,30,39360.4,1315.9,1326.0,1065.0,2024-12-26T14:57:55.155309,1326.0,4,1312.01,331.5
153,2024-12-29,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1329.0,1330.0,1325.0,1325.0,480,637370.0,1326.0,1330.0,1065.0,2024-12-29T14:58:01.408303,1325.0,3,1327.85,331.25
