Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
298,2024-10-15,9221,H8020,Himalayan 80-20,10.21,10.21,10.11,10.2,35600,363196.3,10.21,10.4,8.3,2024-10-15T14:26:40.62889,10.2,20,10.2,102.0
309,2024-10-16,9221,H8020,Himalayan 80-20,10.39,10.39,10.11,10.12,24000,245068.0,10.2,10.4,8.3,2024-10-16T14:59:30.288609,10.12,17,10.21,101.2
306,2024-10-17,9221,H8020,Himalayan 80-20,10.01,10.32,10.01,10.18,29550,301148.0,10.12,10.4,8.3,2024-10-17T14:59:36.940245,10.18,21,10.19,101.8
305,2024-10-20,9221,H8020,Himalayan 80-20,10.23,10.29,10.18,10.2,39920,408058.4,10.18,10.4,8.3,2024-10-20T14:59:03.525428,10.2,21,10.22,102.0
309,2024-10-21,9221,H8020,Himalayan 80-20,10.22,10.22,10.18,10.18,41600,424418.0,10.2,10.4,8.3,2024-10-21T14:41:06.00722,10.18,19,10.2,101.8
302,2024-10-22,9221,H8020,Himalayan 80-20,10.18,10.25,10.18,10.25,40500,413291.0,10.18,10.4,8.3,2024-10-22T13:33:34.062271,10.25,12,10.2,102.5
314,2024-10-23,9221,H8020,Himalayan 80-20,10.24,10.3,10.2,10.2,11105,113494.5,10.25,10.4,8.3,2024-10-23T14:58:41.695532,10.2,9,10.22,102.0
307,2024-10-24,9221,H8020,Himalayan 80-20,10.3,10.3,9.85,10.0,60190,608384.8,10.2,10.4,8.3,2024-10-24T14:58:37.584003,10.0,34,10.1,100.0
308,2024-10-27,9221,H8020,Himalayan 80-20,9.81,10.19,9.6,9.7,31700,307922.0,10.0,10.4,8.3,2024-10-27T14:31:49.047993,9.7,32,9.71,97.0
298,2024-10-28,9221,H8020,Himalayan 80-20,9.7,9.89,9.7,9.89,2300,22533.0,9.7,10.4,8.3,2024-10-28T14:59:20.203012,9.89,10,9.79,98.9
309,2024-10-29,9221,H8020,Himalayan 80-20,9.75,9.85,9.75,9.85,15870,156267.0,9.89,10.4,8.3,2024-10-29T14:45:24.50277,9.85,12,9.84,98.5
295,2024-10-30,9221,H8020,Himalayan 80-20,10.04,10.83,9.71,10.08,5371,53134.48,9.85,10.83,8.3,2024-10-30T14:59:56.393967,10.08,20,9.89,100.8
291,2024-11-05,9221,H8020,Himalayan 80-20,9.91,10.0,9.9,10.0,18820,187928.0,10.08,10.83,8.3,2024-11-05T14:43:51.41932,10.0,8,9.98,100.0
310,2024-11-06,9221,H8020,Himalayan 80-20,9.84,10.03,9.84,9.86,17800,175917.0,10.0,10.83,8.3,2024-11-06T14:58:43.00369,9.86,13,9.88,98.6
315,2024-11-10,9221,H8020,Himalayan 80-20,9.81,10.01,9.8,9.8,8770,86547.0,9.86,10.83,8.3,2024-11-10T14:11:42.771556,9.8,10,9.86,98.0
291,2024-11-11,9221,H8020,Himalayan 80-20,9.8,10.0,9.8,10.0,11225,112054.25,9.8,10.83,8.3,2024-11-11T14:56:16.071541,10.0,14,9.98,100.0
303,2024-11-12,9221,H8020,Himalayan 80-20,9.86,10.05,9.85,10.05,1592,15770.0,10.0,10.83,8.3,2024-11-12T14:56:51.599115,10.05,11,9.9,100.5
297,2024-11-13,9221,H8020,Himalayan 80-20,9.85,10.0,9.67,10.0,1000,9827.0,10.05,10.83,8.3,2024-11-13T13:30:14.199092,10.0,7,9.82,100.0
311,2024-11-14,9221,H8020,Himalayan 80-20,9.93,10.14,9.93,10.03,7405,74917.65,10.0,10.83,8.3,2024-11-14T14:57:00.047254,10.03,12,10.11,100.3
315,2024-11-17,9221,H8020,Himalayan 80-20,10.03,10.1,10.0,10.0,6200,62140.0,10.03,10.83,8.3,2024-11-17T14:55:13.938507,10.0,9,10.02,100.0
300,2024-11-19,9221,H8020,Himalayan 80-20,10.0,10.19,10.0,10.05,82750,837670.5,10.0,10.83,8.3,2024-11-19T14:59:30.320266,10.05,27,10.12,100.5
312,2024-11-20,9221,H8020,Himalayan 80-20,9.85,10.15,9.85,10.13,25150,253404.5,10.05,10.83,8.3,2024-11-20T14:37:05.059127,10.13,13,10.07,101.3
304,2024-11-21,9221,H8020,Himalayan 80-20,9.93,10.0,9.75,9.98,1700,16931.0,10.13,10.83,8.3,2024-11-21T14:46:01.305782,9.98,8,9.95,99.8
311,2024-11-24,9221,H8020,Himalayan 80-20,9.85,10.0,9.84,10.0,3300,32841.0,9.98,10.83,8.3,2024-11-24T14:54:35.965217,10.0,13,9.95,100.0
304,2024-11-25,9221,H8020,Himalayan 80-20,10.19,10.3,10.1,10.17,39807,408018.27,10.0,10.83,8.3,2024-11-25T14:57:57.88851,10.17,20,10.24,101.7
307,2024-11-26,9221,H8020,Himalayan 80-20,10.0,10.34,10.0,10.14,33050,335842.5,10.17,10.83,8.3,2024-11-26T14:32:13.027141,10.14,15,10.16,101.4
307,2024-11-27,9221,H8020,Himalayan 80-20,9.98,10.21,9.98,10.2,20700,211300.0,10.14,10.83,8.3,2024-11-27T14:53:14.464471,10.2,16,10.2,102.0
300,2024-11-28,9221,H8020,Himalayan 80-20,10.16,10.2,10.16,10.2,52300,533444.0,10.2,10.83,8.3,2024-11-28T14:23:23.038015,10.2,12,10.19,102.0
293,2024-12-01,9221,H8020,Himalayan 80-20,10.01,10.21,10.01,10.05,1400,14145.0,10.2,10.83,8.3,2024-12-01T14:48:32.288662,10.05,10,10.1,100.5
303,2024-12-02,9221,H8020,Himalayan 80-20,9.92,10.21,9.92,10.07,50509,514257.85,10.05,10.83,8.3,2024-12-02T14:39:19.178008,10.07,15,10.18,100.7
297,2024-12-03,9221,H8020,Himalayan 80-20,9.89,10.26,9.87,10.26,13050,131042.0,10.07,10.83,8.3,2024-12-03T14:58:26.841529,10.26,16,10.04,102.6
310,2024-12-04,9221,H8020,Himalayan 80-20,10.2,10.37,10.2,10.37,2800,28985.0,10.26,10.83,8.3,2024-12-04T12:48:42.053205,10.37,5,10.35,103.7
297,2024-12-05,9221,H8020,Himalayan 80-20,10.28,10.44,10.2,10.4,35161,362315.44,10.37,10.83,8.3,2024-12-05T14:35:54.587778,10.4,18,10.3,104.0
310,2024-12-08,9221,H8020,Himalayan 80-20,10.25,10.35,10.25,10.32,5750,59238.0,10.4,10.83,8.3,2024-12-08T14:46:35.5217,10.32,10,10.3,103.2
305,2024-12-09,9221,H8020,Himalayan 80-20,10.25,10.34,10.14,10.3,45448,467082.32,10.32,10.83,8.3,2024-12-09T14:22:46.045453,10.3,11,10.27,103.0
292,2024-12-10,9221,H8020,Himalayan 80-20,10.1,10.27,10.1,10.14,46500,472048.0,10.3,10.83,8.3,2024-12-10T14:59:56.313521,10.14,15,10.15,101.4
296,2024-12-11,9221,H8020,Himalayan 80-20,10.14,10.2,10.1,10.2,41750,422599.0,10.14,10.83,8.3,2024-12-11T14:50:40.056507,10.2,11,10.12,102.0
