Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
162,2024-10-15,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.0,218.0,212.2,216.8,78953,17039693.5,212.1,273.0,118.0,2024-10-15T14:59:58.096339,216.8,315,215.82,6070.4
167,2024-10-16,2880,HDHPC,Himal Dolakha Hydropower Company Limited,221.1,226.0,217.5,222.0,288601,64288846.7,216.8,273.0,118.0,2024-10-16T14:59:58.165696,222.0,982,222.76,6216.0
166,2024-10-17,2880,HDHPC,Himal Dolakha Hydropower Company Limited,224.0,227.0,218.6,218.9,302277,67617150.8,222.0,273.0,118.0,2024-10-17T14:59:56.591554,218.9,1025,223.69,6129.2
168,2024-10-20,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.0,222.7,209.0,212.5,355249,76271199.3,218.9,273.0,118.0,2024-10-20T14:59:50.226061,212.5,1275,214.69,5950.0
167,2024-10-21,2880,HDHPC,Himal Dolakha Hydropower Company Limited,212.0,215.0,205.2,210.0,321122,66947259.1,212.5,273.0,118.0,2024-10-21T14:59:59.738683,210.0,1049,208.47,5880.0
166,2024-10-22,2880,HDHPC,Himal Dolakha Hydropower Company Limited,206.0,214.0,206.0,212.9,206319,43504023.2,210.0,273.0,118.0,2024-10-22T14:59:55.771474,212.9,658,210.85,5961.2
171,2024-10-23,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.9,216.0,208.7,208.8,130905,27661800.2,212.9,273.0,118.0,2024-10-23T14:59:58.535415,208.8,467,211.31,5846.4
172,2024-10-24,2880,HDHPC,Himal Dolakha Hydropower Company Limited,206.1,211.0,206.1,207.9,118184,24615685.9,208.8,273.0,118.0,2024-10-24T14:59:57.884647,207.9,506,208.28,5821.2
167,2024-10-27,2880,HDHPC,Himal Dolakha Hydropower Company Limited,210.0,211.0,205.0,207.7,102852,21371366.5,207.9,273.0,118.0,2024-10-27T14:59:55.702406,207.7,543,207.78,5815.6
162,2024-10-28,2880,HDHPC,Himal Dolakha Hydropower Company Limited,203.6,212.8,203.6,211.5,114406,24128090.0,207.7,273.0,118.0,2024-10-28T14:59:50.525513,211.5,477,210.89,5922.0
167,2024-10-29,2880,HDHPC,Himal Dolakha Hydropower Company Limited,214.0,216.9,213.5,216.0,209329,45090675.2,211.5,273.0,118.0,2024-10-29T14:59:58.736303,216.0,646,215.4,6048.0
163,2024-10-30,2880,HDHPC,Himal Dolakha Hydropower Company Limited,220.0,220.0,214.0,214.1,134341,28913410.7,216.0,273.0,118.0,2024-10-30T14:59:58.059607,214.1,427,215.22,5994.8
160,2024-11-05,2880,HDHPC,Himal Dolakha Hydropower Company Limited,213.0,216.2,212.3,213.4,75834,16227562.3,214.1,273.0,118.0,2024-11-05T14:59:40.926082,213.4,281,213.98,5975.2
171,2024-11-06,2880,HDHPC,Himal Dolakha Hydropower Company Limited,213.5,216.0,211.3,213.0,93688,19934085.8,213.4,273.0,118.0,2024-11-06T14:59:58.859647,213.0,341,212.77,5964.0
170,2024-11-10,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.0,224.0,214.0,222.0,347949,76629385.9,213.0,273.0,118.0,2024-11-10T14:59:58.574072,222.0,1088,220.23,6216.0
163,2024-11-11,2880,HDHPC,Himal Dolakha Hydropower Company Limited,225.0,228.8,217.6,221.9,352726,79253720.7,222.0,273.0,118.0,2024-11-11T14:59:55.759571,221.9,1093,224.68,6213.2
168,2024-11-12,2880,HDHPC,Himal Dolakha Hydropower Company Limited,220.0,225.0,217.7,218.0,133631,29493392.3,221.9,273.0,118.0,2024-11-12T14:59:53.572769,218.0,514,220.7,6104.0
166,2024-11-13,2880,HDHPC,Himal Dolakha Hydropower Company Limited,219.0,219.5,214.0,214.9,126478,27416676.2,218.0,273.0,118.0,2024-11-13T14:59:59.304907,214.9,448,216.77,6017.2
171,2024-11-14,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.0,219.7,214.0,216.0,210916,45824829.1,214.9,273.0,118.0,2024-11-14T14:59:58.013086,216.0,600,217.26,6048.0
168,2024-11-17,2880,HDHPC,Himal Dolakha Hydropower Company Limited,220.3,224.7,217.0,217.0,249732,55082241.2,216.0,273.0,118.0,2024-11-17T14:59:57.28022,217.0,827,220.56,6076.0
169,2024-11-19,2880,HDHPC,Himal Dolakha Hydropower Company Limited,216.1,219.7,212.1,213.3,204463,43997353.9,217.0,273.0,118.0,2024-11-19T14:59:58.092807,213.3,732,215.18,5972.4
169,2024-11-20,2880,HDHPC,Himal Dolakha Hydropower Company Limited,214.0,215.0,210.0,214.9,163176,34856082.0,213.3,273.0,118.0,2024-11-20T14:59:58.578146,214.9,485,213.61,6017.2
165,2024-11-21,2880,HDHPC,Himal Dolakha Hydropower Company Limited,214.9,217.0,209.0,210.5,205029,43297655.1,214.9,273.0,118.5,2024-11-21T14:59:59.920015,210.5,704,211.17,5894.0
169,2024-11-24,2880,HDHPC,Himal Dolakha Hydropower Company Limited,209.1,213.0,207.0,207.3,131436,27561666.0,210.5,273.0,119.2,2024-11-24T14:59:42.969929,207.3,516,209.69,5804.4
168,2024-11-25,2880,HDHPC,Himal Dolakha Hydropower Company Limited,210.0,211.4,206.0,208.0,115730,24169633.2,207.3,273.0,119.2,2024-11-25T14:59:44.910133,208.0,414,208.84,5824.0
139,2024-11-26,2880,HDHPC,Himal Dolakha Hydropower Company Limited,211.0,215.0,210.0,213.0,147725,31490151.5,208.0,273.0,119.2,2024-11-26T14:59:59.318285,213.0,431,213.16,5964.0
170,2024-11-27,2880,HDHPC,Himal Dolakha Hydropower Company Limited,215.0,217.9,213.0,215.5,136758,29595695.6,213.0,273.0,119.2,2024-11-27T14:59:55.986685,215.5,514,216.4,6034.0
