Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
50,2024-11-25,235,HDL,Himalayan Distillery Limited,1310.0,1324.0,1300.0,1305.0,31011,40549494.9,1308.9,2155.0,1140.0,2024-11-25T14:59:58.994491,1305.0,610,1307.58,34876.43
18,2024-11-26,235,HDL,Himalayan Distillery Limited,1331.1,1332.0,1305.0,1332.0,27897,36722350.4,1305.0,2155.0,1140.0,2024-11-26T14:59:59.144709,1332.0,502,1316.35,35598.01
46,2024-11-27,235,HDL,Himalayan Distillery Limited,1350.0,1352.0,1332.0,1340.0,25391,34067460.6,1332.0,2155.0,1140.0,2024-11-27T14:59:59.433111,1340.0,454,1341.71,35811.81
26,2024-11-28,235,HDL,Himalayan Distillery Limited,1366.0,1366.7,1338.1,1338.1,34288,46208864.6,1340.0,2155.0,1140.0,2024-11-28T14:59:53.943538,1338.1,619,1347.66,35761.03
52,2024-12-01,235,HDL,Himalayan Distillery Limited,1338.1,1338.1,1312.5,1323.0,28601,37886997.7,1338.1,2155.0,1140.0,2024-12-01T14:59:55.841496,1323.0,524,1324.67,35357.48
46,2024-12-02,235,HDL,Himalayan Distillery Limited,1324.0,1338.0,1318.0,1318.0,26548,35138125.5,1323.0,2155.0,1140.0,2024-12-02T14:59:43.060973,1318.0,485,1323.56,35223.86
46,2024-12-03,235,HDL,Himalayan Distillery Limited,1314.0,1330.0,1310.1,1314.0,30446,40117606.8,1318.0,2155.0,1140.0,2024-12-03T14:59:57.221527,1314.0,620,1317.66,35116.96
46,2024-12-04,235,HDL,Himalayan Distillery Limited,1340.2,1340.2,1315.0,1317.0,30118,39728334.2,1314.0,2155.0,1140.0,2024-12-04T14:59:51.350967,1317.0,457,1319.08,35197.13
46,2024-12-05,235,HDL,Himalayan Distillery Limited,1320.0,1327.7,1307.0,1309.0,40780,53713679.8,1317.0,2155.0,1140.0,2024-12-05T14:59:53.858787,1309.0,525,1317.15,34983.33
46,2024-12-08,235,HDL,Himalayan Distillery Limited,1311.0,1315.0,1299.1,1303.0,42985,56176903.4,1309.0,2155.0,1140.0,2024-12-08T14:59:52.838304,1303.0,629,1306.89,34822.98
45,2024-12-09,235,HDL,Himalayan Distillery Limited,1329.0,1400.0,1320.0,1381.0,204307,279150633.5,1303.0,2155.0,1140.0,2024-12-09T14:59:59.772964,1381.0,3083,1366.32,36907.55
45,2024-12-10,235,HDL,Himalayan Distillery Limited,1408.6,1408.6,1360.0,1368.0,81507,112766108.8,1381.0,2155.0,1140.0,2024-12-10T14:59:59.87593,1368.0,1441,1383.51,36560.12
45,2024-12-11,235,HDL,Himalayan Distillery Limited,1368.0,1375.0,1350.0,1365.0,35830,48694094.5,1368.0,2155.0,1140.0,2024-12-11T14:59:39.730839,1365.0,684,1359.03,36479.94
43,2024-12-12,235,HDL,Himalayan Distillery Limited,1392.3,1392.3,1350.0,1350.0,46380,62981905.5,1365.0,2155.0,1140.0,2024-12-12T14:59:58.218375,1350.0,851,1357.95,36079.06
28,2024-12-16,235,HDL,Himalayan Distillery Limited,1353.1,1360.0,1320.2,1325.5,46468,61927269.55,1350.0,2155.0,1140.0,2024-12-16T14:59:51.627425,1325.5,998,1332.68,35424.3
15,2024-12-17,235,HDL,Himalayan Distillery Limited,1324.0,1350.0,1323.1,1339.0,33508,44699424.2,1325.5,2155.0,1140.0,2024-12-17T14:59:56.878097,1339.0,580,1333.99,35785.09
24,2024-12-18,235,HDL,Himalayan Distillery Limited,1350.0,1350.0,1331.0,1335.0,24392,32618290.7,1339.0,2155.0,1140.0,2024-12-18T14:59:50.172693,1335.0,419,1337.25,35678.19
45,2024-12-19,235,HDL,Himalayan Distillery Limited,1333.0,1348.0,1329.0,1334.0,23779,31708741.9,1335.0,2155.0,1140.0,2024-12-19T14:59:59.012549,1334.0,467,1333.47,35651.46
46,2024-12-22,235,HDL,Himalayan Distillery Limited,1307.4,1351.0,1307.4,1335.0,43485,58116149.1,1334.0,2078.0,1140.0,2024-12-22T14:59:47.725568,1335.0,661,1336.46,35678.19
23,2024-12-23,235,HDL,Himalayan Distillery Limited,1352.0,1352.0,1336.0,1344.1,21622,29011036.1,1335.0,1960.0,1140.0,2024-12-23T14:59:59.678326,1344.1,379,1341.73,35921.39
53,2024-12-24,235,HDL,Himalayan Distillery Limited,1353.0,1355.0,1345.0,1349.0,31452,42435274.4,1344.1,1960.0,1140.0,2024-12-24T14:59:52.533818,1349.0,567,1349.2,36052.34
51,2024-12-26,235,HDL,Himalayan Distillery Limited,1325.0,1370.0,1325.0,1364.0,41025,55815634.7,1349.0,1909.0,1140.0,2024-12-26T14:59:57.80966,1364.0,653,1360.52,36453.22
23,2024-12-29,235,HDL,Himalayan Distillery Limited,1367.0,1384.0,1365.0,1366.0,46258,63349352.9,1364.0,1819.0,1140.0,2024-12-29T14:59:49.934017,1366.0,758,1369.47,36506.67
