Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
28,2024-10-15,179,HEI,Himalayan Everest Insurance Limited,649.1,673.2,649.1,657.1,13797,9102066.5,659.5,810.0,459.7,2024-10-15T14:59:30.827759,657.1,83,659.71,16428.53
28,2024-10-16,179,HEI,Himalayan Everest Insurance Limited,669.0,676.0,658.0,676.0,22229,14858863.1,657.1,810.0,459.7,2024-10-16T14:59:27.359792,676.0,107,668.44,16901.06
28,2024-10-17,179,HEI,Himalayan Everest Insurance Limited,672.1,686.4,670.5,682.0,19731,13393468.2,676.0,810.0,459.7,2024-10-17T14:59:42.335681,682.0,113,678.8,17051.07
28,2024-10-20,179,HEI,Himalayan Everest Insurance Limited,669.0,680.0,661.0,666.2,28927,19370904.4,682.0,810.0,459.7,2024-10-20T14:59:12.802649,666.2,166,669.64,16656.05
28,2024-10-21,179,HEI,Himalayan Everest Insurance Limited,655.0,659.1,640.1,649.5,14605,9525245.2,666.2,810.0,459.7,2024-10-21T14:59:42.508747,649.5,122,652.19,16238.52
28,2024-10-22,179,HEI,Himalayan Everest Insurance Limited,650.6,662.0,646.0,658.0,6743,4387511.9,649.5,810.0,459.7,2024-10-22T14:58:40.147341,658.0,60,650.67,16451.04
28,2024-10-23,179,HEI,Himalayan Everest Insurance Limited,647.0,658.9,640.0,648.0,23360,15095166.6,658.0,810.0,459.7,2024-10-23T14:58:31.317394,648.0,127,646.19,16201.02
28,2024-10-24,179,HEI,Himalayan Everest Insurance Limited,640.0,647.5,635.5,638.0,18477,11803871.1,648.0,810.0,459.7,2024-10-24T14:59:48.831906,638.0,113,638.84,15951.0
28,2024-10-27,179,HEI,Himalayan Everest Insurance Limited,638.0,643.0,631.0,634.0,10518,6655761.0,638.0,810.0,459.7,2024-10-27T14:59:58.172706,634.0,91,632.79,15851.0
28,2024-10-28,179,HEI,Himalayan Everest Insurance Limited,636.1,645.0,636.0,638.0,12814,8193510.5,634.0,810.0,459.7,2024-10-28T14:59:59.128822,638.0,79,639.41,15951.0
28,2024-10-29,179,HEI,Himalayan Everest Insurance Limited,648.8,699.2,648.8,680.0,43125,28948159.4,638.0,810.0,459.7,2024-10-29T14:59:58.016102,680.0,218,671.26,17001.07
28,2024-10-30,179,HEI,Himalayan Everest Insurance Limited,693.6,695.1,675.0,684.0,50506,34647735.5,680.0,810.0,459.7,2024-10-30T14:59:57.791204,684.0,272,686.01,17101.08
28,2024-11-05,179,HEI,Himalayan Everest Insurance Limited,689.9,711.0,689.9,692.5,52296,36523886.2,684.0,810.0,472.0,2024-11-05T14:59:54.142388,692.5,230,698.4,17313.59
28,2024-11-06,179,HEI,Himalayan Everest Insurance Limited,706.3,706.3,680.0,686.0,17795,12234350.3,692.5,810.0,472.0,2024-11-06T14:57:50.502187,686.0,116,687.51,17151.08
28,2024-11-10,179,HEI,Himalayan Everest Insurance Limited,690.0,703.8,690.0,700.0,54112,37759251.0,686.0,810.0,472.0,2024-11-10T14:59:55.791357,700.0,232,697.79,17501.1
28,2024-11-11,179,HEI,Himalayan Everest Insurance Limited,705.0,715.0,691.0,703.9,77049,54284721.6,700.0,810.0,472.0,2024-11-11T14:59:58.455301,703.9,332,704.54,17598.61
28,2024-11-12,179,HEI,Himalayan Everest Insurance Limited,700.0,713.6,696.1,698.0,22377,15728163.6,703.9,810.0,472.0,2024-11-12T14:59:55.98973,698.0,135,702.87,17451.1
28,2024-11-13,179,HEI,Himalayan Everest Insurance Limited,698.0,698.0,687.0,691.0,17755,12247621.9,698.0,810.0,472.0,2024-11-13T14:59:00.91753,691.0,120,689.81,17276.09
28,2024-11-14,179,HEI,Himalayan Everest Insurance Limited,683.1,693.5,678.0,683.0,27554,18897896.5,691.0,810.0,472.0,2024-11-14T14:59:54.842111,683.0,182,685.84,17076.08
28,2024-11-17,179,HEI,Himalayan Everest Insurance Limited,696.6,698.9,678.0,680.0,24097,16626878.2,683.0,810.0,472.0,2024-11-17T14:59:43.778393,680.0,123,689.99,17001.07
