Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
223,2024-11-25,8076,HHL,Himalayan Hydropower Limited,488.0,501.0,480.5,496.0,49822,24683955.4,489.0,560.0,194.1,2024-11-25T14:59:59.128842,496.0,360,495.44,5431.2
258,2024-11-26,8076,HHL,Himalayan Hydropower Limited,500.0,510.1,495.0,510.0,64392,32366758.2,496.0,560.0,194.1,2024-11-26T14:59:59.68879,510.0,416,502.65,5584.5
236,2024-11-27,8076,HHL,Himalayan Hydropower Limited,520.0,520.0,502.0,502.0,40899,20965107.9,510.0,560.0,194.1,2024-11-27T14:59:37.955616,502.0,313,512.6,5496.9
238,2024-11-28,8076,HHL,Himalayan Hydropower Limited,508.0,509.0,500.0,500.3,50514,25367341.8,502.0,560.0,194.1,2024-11-28T14:59:56.31523,500.3,304,502.18,5478.28
257,2024-12-01,8076,HHL,Himalayan Hydropower Limited,496.0,506.8,496.0,505.0,29075,14639356.7,500.3,560.0,194.1,2024-12-01T14:59:51.038376,505.0,256,503.5,5529.75
232,2024-12-02,8076,HHL,Himalayan Hydropower Limited,505.0,513.9,505.0,505.3,31750,16170651.5,505.0,560.0,196.0,2024-12-02T14:59:09.484265,505.3,261,509.31,5533.03
228,2024-12-03,8076,HHL,Himalayan Hydropower Limited,505.6,514.0,505.6,514.0,36804,18798336.7,505.3,560.0,201.4,2024-12-03T14:59:52.993715,514.0,263,510.76,5628.3
240,2024-12-04,8076,HHL,Himalayan Hydropower Limited,522.0,535.0,512.5,525.0,56552,29735284.6,514.0,560.0,201.4,2024-12-04T14:59:58.761856,525.0,423,525.8,5748.75
229,2024-12-05,8076,HHL,Himalayan Hydropower Limited,521.0,525.0,509.6,510.0,37922,19607672.3,525.0,560.0,207.0,2024-12-05T14:59:46.708133,510.0,282,517.05,5584.5
236,2024-12-08,8076,HHL,Himalayan Hydropower Limited,500.1,513.0,495.0,509.0,46230,23285712.2,510.0,560.0,212.0,2024-12-08T14:59:51.439233,509.0,245,503.69,5573.55
232,2024-12-09,8076,HHL,Himalayan Hydropower Limited,518.0,518.0,497.1,514.0,26677,13513147.8,509.0,560.0,222.6,2024-12-09T14:59:52.09065,514.0,219,506.54,5628.3
224,2024-12-10,8076,HHL,Himalayan Hydropower Limited,514.1,521.0,502.5,504.0,27255,13852481.6,514.0,560.0,223.1,2024-12-10T14:59:20.574705,504.0,163,508.25,5518.8
226,2024-12-11,8076,HHL,Himalayan Hydropower Limited,505.0,519.9,501.1,519.9,23213,11879667.5,504.0,560.0,231.0,2024-12-11T14:59:58.019686,519.9,193,511.76,5692.9
206,2024-12-12,8076,HHL,Himalayan Hydropower Limited,527.9,535.0,512.0,512.0,55500,29170259.2,519.9,560.0,231.0,2024-12-12T14:59:48.467679,512.0,363,525.59,5606.4
236,2024-12-16,8076,HHL,Himalayan Hydropower Limited,522.0,522.0,502.0,504.0,28739,14523015.6,512.0,560.0,257.0,2024-12-16T14:59:52.989278,504.0,172,505.34,5518.8
270,2024-12-17,8076,HHL,Himalayan Hydropower Limited,497.3,527.9,497.3,525.0,47723,24703252.3,504.0,560.0,273.3,2024-12-17T14:59:53.600521,525.0,349,517.63,5748.75
265,2024-12-18,8076,HHL,Himalayan Hydropower Limited,518.0,537.0,517.5,523.0,44082,23203276.2,525.0,560.0,299.5,2024-12-18T14:59:34.949358,523.0,266,526.36,5726.85
229,2024-12-19,8076,HHL,Himalayan Hydropower Limited,513.5,526.0,506.0,511.5,30950,16015467.7,523.0,560.0,307.8,2024-12-19T14:59:26.35693,511.5,204,517.46,5600.93
233,2024-12-22,8076,HHL,Himalayan Hydropower Limited,521.0,536.0,511.4,522.0,63609,33271862.3,511.5,560.0,313.1,2024-12-22T14:59:53.822152,522.0,353,523.06,5715.9
262,2024-12-23,8076,HHL,Himalayan Hydropower Limited,525.0,544.0,522.0,538.7,56150,29920164.0,522.0,560.0,313.1,2024-12-23T14:59:57.731082,538.7,445,532.86,5898.77
264,2024-12-24,8076,HHL,Himalayan Hydropower Limited,536.0,555.0,530.1,554.0,91113,49515189.7,538.7,560.0,313.1,2024-12-24T14:59:59.598691,554.0,677,543.44,6066.3
225,2024-12-26,8076,HHL,Himalayan Hydropower Limited,555.0,555.0,531.0,538.7,56310,30436471.0,554.0,560.0,313.1,2024-12-26T14:59:57.109149,538.7,370,540.51,5898.77
207,2024-12-29,8076,HHL,Himalayan Hydropower Limited,549.4,549.4,500.8,507.1,56653,29561535.2,538.7,560.0,314.0,2024-12-29T14:59:58.580475,507.1,288,521.79,5552.74
