Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
257,2024-11-25,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,178.3,178.3,173.9,174.0,170319,29804038.9,174.9,212.0,97.2,2024-11-25T14:59:59.235215,174.0,325,174.98,17.4
228,2024-11-26,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,176.0,180.0,174.0,176.4,224231,39411860.3,174.0,212.0,97.2,2024-11-26T14:59:59.305766,176.4,317,175.76,17.64
246,2024-11-27,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,179.9,179.9,176.0,177.0,185776,32934831.0,176.4,212.0,97.2,2024-11-27T15:00:02.606866,177.0,328,177.28,17.7
243,2024-11-28,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,177.0,179.9,174.7,175.0,213177,37575327.4,177.0,212.0,97.2,2024-11-28T14:59:59.556559,175.0,354,176.26,17.5
260,2024-12-01,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,171.5,175.0,171.5,173.8,206600,35805612.4,175.0,212.0,97.2,2024-12-01T14:59:48.845397,173.8,328,173.3,17.38
240,2024-12-02,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,177.2,177.2,171.6,172.9,158653,27506845.4,173.8,212.0,97.2,2024-12-02T14:59:52.239863,172.9,286,173.37,17.29
236,2024-12-03,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,174.0,174.0,170.0,172.5,343779,58867320.8,172.9,212.0,97.2,2024-12-03T14:59:51.592225,172.5,467,171.23,17.25
248,2024-12-04,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,175.9,175.9,170.1,171.6,134336,23229855.7,172.5,212.0,97.2,2024-12-04T14:59:58.353555,171.6,271,172.92,17.16
236,2024-12-05,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,171.5,172.0,168.6,169.0,213223,36228274.5,171.6,212.0,97.2,2024-12-05T14:59:57.064127,169.0,392,169.9,16.9
246,2024-12-08,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,171.0,171.9,167.0,168.0,131961,22200709.6,169.0,212.0,97.2,2024-12-08T14:59:32.961018,168.0,293,168.23,16.8
241,2024-12-09,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,168.0,169.5,166.0,167.5,150869,25232618.2,168.0,212.0,97.2,2024-12-09T14:59:51.310658,167.5,266,167.24,16.75
233,2024-12-10,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,167.0,168.8,165.8,166.5,114496,19108240.1,167.5,212.0,97.2,2024-12-10T14:59:22.722343,166.5,209,166.89,16.65
235,2024-12-11,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,169.8,173.1,166.9,172.0,232391,39324403.1,166.5,212.0,97.2,2024-12-11T14:59:58.895392,172.0,412,169.21,17.2
245,2024-12-12,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,174.0,178.0,168.8,170.0,111651,19137231.6,172.0,212.0,97.2,2024-12-12T14:59:56.466341,170.0,260,171.4,5610.0
218,2024-12-16,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,169.0,171.8,165.7,167.0,614096,102156825.6,170.0,212.0,97.2,2024-12-16T14:59:59.464252,167.0,309,166.35,5511.0
194,2024-12-17,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,167.5,168.9,166.0,167.0,92344,15460770.6,167.0,212.0,97.2,2024-12-17T14:59:52.219051,167.0,205,167.42,5511.0
272,2024-12-18,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,167.0,169.0,166.0,167.0,68829,11488202.6,167.0,212.0,97.2,2024-12-18T14:59:21.257959,167.0,140,166.9,5511.0
238,2024-12-19,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,168.0,168.9,165.1,165.3,155545,25877095.3,167.0,212.0,97.2,2024-12-19T14:59:59.244203,165.3,231,166.36,5454.9
242,2024-12-22,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,166.5,167.0,163.9,164.0,136968,22557082.7,165.3,212.0,97.2,2024-12-22T14:59:51.143935,164.0,252,164.68,5412.0
237,2024-12-23,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,164.0,167.9,163.3,167.0,97310,16138843.3,164.0,212.0,97.2,2024-12-23T14:59:44.502478,167.0,193,165.84,5511.0
201,2024-12-24,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,163.7,169.8,163.7,168.5,142786,24042102.6,167.0,212.0,97.2,2024-12-24T14:59:50.639137,168.5,257,168.37,5560.5
259,2024-12-26,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,169.8,174.0,166.7,174.0,271394,46705525.3,168.5,212.0,97.2,2024-12-26T14:59:59.940573,174.0,448,172.09,5742.0
212,2024-12-29,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,170.8,170.8,165.5,169.5,154512,25784664.9,174.0,212.0,97.2,2024-12-29T14:59:59.137336,169.5,365,166.87,5593.5
