Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
98,2024-10-15,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,909.8,915.0,903.2,915.0,2132,1935934.5,892.0,1447.0,519.1,2024-10-15T14:59:57.536324,915.0,29,908.03,2926.34
99,2024-10-16,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,916.0,953.9,916.0,951.0,6362,5980873.7,915.0,1447.0,519.1,2024-10-16T14:59:59.361743,951.0,101,940.09,3041.47
100,2024-10-17,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,968.0,1020.0,968.0,996.0,21132,21074978.2,951.0,1447.0,519.1,2024-10-17T14:59:29.146099,996.0,315,997.3,3185.39
101,2024-10-20,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,976.1,1065.0,954.0,1055.0,34351,35512812.3,996.0,1447.0,519.1,2024-10-20T14:59:57.49504,1055.0,508,1033.82,3374.08
101,2024-10-21,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1035.0,1040.0,994.7,1006.0,12832,13030710.4,1055.0,1447.0,519.1,2024-10-21T14:59:42.453673,1006.0,188,1015.48,3217.37
99,2024-10-22,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1026.0,1067.0,975.0,1020.0,8530,8581638.6,1006.0,1447.0,519.1,2024-10-22T14:59:58.667374,1020.0,151,1006.05,3262.15
101,2024-10-23,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1006.0,1061.2,980.0,1010.0,6289,6350664.3,1020.0,1447.0,519.1,2024-10-23T14:59:51.157406,1010.0,126,1009.8,3230.16
101,2024-10-24,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1014.0,1035.1,975.0,994.0,12782,12634726.7,1010.0,1447.0,519.1,2024-10-24T14:59:58.489176,994.0,172,988.47,3178.99
101,2024-10-27,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1012.0,1013.0,961.4,978.1,11101,10912689.5,994.0,1447.0,519.1,2024-10-27T14:59:56.048377,978.1,131,983.03,3128.14
98,2024-10-28,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,989.9,989.9,961.0,979.0,8322,8073969.1,978.1,1447.0,519.1,2024-10-28T14:59:31.28508,979.0,107,970.19,3131.02
99,2024-10-29,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,960.4,970.0,950.0,968.0,17153,16451136.9,979.0,1447.0,519.1,2024-10-29T14:59:59.317254,968.0,188,959.08,3095.84
99,2024-10-30,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,948.7,986.0,948.7,968.8,2330,2233626.4,968.0,1447.0,519.1,2024-10-30T14:59:33.021512,968.8,46,958.63,3098.4
97,2024-11-05,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,955.0,976.0,952.0,970.0,3287,3144113.3,968.8,1447.0,519.1,2024-11-05T14:59:59.756318,970.0,59,956.52,3102.24
101,2024-11-06,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,965.0,973.0,950.0,968.0,6988,6717951.8,970.0,1447.0,519.1,2024-11-06T14:59:58.820034,968.0,72,961.35,3095.84
101,2024-11-10,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,956.0,979.0,956.0,979.0,7225,7009848.8,968.0,1447.0,519.1,2024-11-10T14:59:59.111154,979.0,112,970.22,3131.02
100,2024-11-11,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,985.0,1030.0,983.0,1023.0,16314,16487824.6,979.0,1447.0,519.1,2024-11-11T14:59:56.043116,1023.0,217,1010.65,3271.74
100,2024-11-12,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1027.0,1039.0,995.0,1000.0,5796,5911730.2,1023.0,1447.0,519.1,2024-11-12T14:59:19.01392,1000.0,80,1019.96,3198.18
101,2024-11-13,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1000.0,1018.0,994.0,994.0,3681,3695737.8,1000.0,1447.0,519.1,2024-11-13T14:55:54.595691,994.0,69,1004.0,3178.99
101,2024-11-14,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1010.0,1020.0,995.0,1007.0,10934,11025666.9,994.0,1447.0,519.1,2024-11-14T14:59:59.658006,1007.0,145,1008.38,3220.57
101,2024-11-17,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1027.1,1070.0,1027.1,1050.0,40892,43091597.7,1007.0,1447.0,519.1,2024-11-17T14:59:31.669406,1050.0,420,1053.79,3358.09
