Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
144,2024-11-25,2767,HPPL,Himalayan Power Partner Ltd.,393.7,398.0,380.3,389.0,71232,27776153.9,386.0,463.0,199.0,2024-11-25T14:59:58.543491,389.0,272,389.93,4144.47
144,2024-11-26,2767,HPPL,Himalayan Power Partner Ltd.,396.7,404.9,392.2,400.1,93376,37272622.4,389.0,463.0,199.0,2024-11-26T14:59:29.796544,400.1,317,399.16,4262.73
123,2024-11-27,2767,HPPL,Himalayan Power Partner Ltd.,400.1,432.0,400.1,428.0,242664,102059222.3,400.1,463.0,199.0,2024-11-27T14:59:56.850501,428.0,1034,420.57,4559.98
129,2024-11-28,2767,HPPL,Himalayan Power Partner Ltd.,436.5,436.5,408.1,425.1,290363,122063257.6,428.0,463.0,199.0,2024-11-28T14:59:50.125377,425.1,799,420.38,4529.09
84,2024-12-01,2767,HPPL,Himalayan Power Partner Ltd.,433.6,433.6,414.0,419.3,116623,49217364.4,425.1,463.0,199.0,2024-12-01T14:59:57.905358,419.3,416,422.02,4467.29
122,2024-12-02,2767,HPPL,Himalayan Power Partner Ltd.,425.0,431.0,419.1,425.0,114632,48810412.2,419.3,463.0,199.0,2024-12-02T14:59:57.782239,425.0,464,425.8,4528.02
123,2024-12-03,2767,HPPL,Himalayan Power Partner Ltd.,430.0,430.0,417.0,417.9,79780,33833430.5,425.0,463.0,199.0,2024-12-03T14:59:55.362009,417.9,336,424.08,4452.38
123,2024-12-04,2767,HPPL,Himalayan Power Partner Ltd.,425.0,429.0,416.0,418.0,72156,30503074.7,417.9,463.0,199.0,2024-12-04T14:59:54.113844,418.0,327,422.73,4453.44
120,2024-12-05,2767,HPPL,Himalayan Power Partner Ltd.,426.3,426.3,409.0,416.0,79420,32901322.9,418.0,463.0,199.0,2024-12-05T14:59:58.91589,416.0,322,414.26,4432.13
125,2024-12-08,2767,HPPL,Himalayan Power Partner Ltd.,419.0,424.0,413.6,416.8,76972,32150668.0,416.0,463.0,204.3,2024-12-08T14:59:59.70176,416.8,324,417.69,4440.66
121,2024-12-09,2767,HPPL,Himalayan Power Partner Ltd.,424.0,424.0,414.0,416.4,34675,14441367.2,416.8,463.0,211.7,2024-12-09T14:59:53.683847,416.4,205,416.47,4436.4
120,2024-12-10,2767,HPPL,Himalayan Power Partner Ltd.,419.5,419.5,410.0,411.0,46164,19091910.4,416.4,463.0,215.0,2024-12-10T14:59:55.857041,411.0,173,413.56,4378.86
120,2024-12-11,2767,HPPL,Himalayan Power Partner Ltd.,413.0,414.0,409.0,413.0,31425,12950714.7,411.0,463.0,221.0,2024-12-11T14:59:59.591698,413.0,122,412.11,4400.17
125,2024-12-12,2767,HPPL,Himalayan Power Partner Ltd.,415.0,418.8,408.0,408.0,56982,23598251.9,413.0,463.0,221.0,2024-12-12T14:59:59.605278,408.0,212,414.13,4346.9
142,2024-12-16,2767,HPPL,Himalayan Power Partner Ltd.,410.0,410.0,388.0,388.0,99248,39349204.6,408.0,463.0,224.5,2024-12-16T14:59:57.161466,388.0,355,396.47,4133.82
113,2024-12-17,2767,HPPL,Himalayan Power Partner Ltd.,388.0,394.4,380.1,386.0,171973,66020210.1,388.0,463.0,224.5,2024-12-17T14:59:58.135372,386.0,323,383.89,4112.51
67,2024-12-18,2767,HPPL,Himalayan Power Partner Ltd.,393.0,396.0,384.0,384.2,51673,20061721.6,386.0,463.0,224.5,2024-12-18T14:59:59.307535,384.2,190,388.24,4093.33
123,2024-12-19,2767,HPPL,Himalayan Power Partner Ltd.,389.9,402.8,379.2,389.0,158217,61086065.5,384.2,463.0,224.5,2024-12-19T14:59:59.396841,389.0,392,386.09,4144.47
124,2024-12-22,2767,HPPL,Himalayan Power Partner Ltd.,394.0,397.7,388.0,393.9,46374,18209765.6,389.0,463.0,224.5,2024-12-22T14:59:33.6261,393.9,201,392.67,4196.68
148,2024-12-23,2767,HPPL,Himalayan Power Partner Ltd.,393.0,420.0,393.0,409.0,89993,36340418.1,393.9,463.0,224.5,2024-12-23T14:59:57.225966,409.0,418,403.81,4357.56
147,2024-12-24,2767,HPPL,Himalayan Power Partner Ltd.,410.0,414.9,402.0,409.9,49116,20046161.7,409.0,463.0,224.5,2024-12-24T14:59:57.620388,409.9,226,408.13,4367.14
116,2024-12-26,2767,HPPL,Himalayan Power Partner Ltd.,415.0,415.0,397.0,398.0,35092,14043530.0,409.9,463.0,224.5,2024-12-26T14:59:58.925516,398.0,191,400.19,4240.36
123,2024-12-29,2767,HPPL,Himalayan Power Partner Ltd.,396.0,403.0,388.0,388.1,35333,13920715.8,398.0,463.0,224.5,2024-12-29T14:59:52.9195,388.1,187,393.98,4134.88
