Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
303,2024-10-15,9234,HRL,Himalayan Reinsurance Limited,893.0,897.9,881.0,896.1,122647,109373399.1,879.0,1060.0,309.2,2024-10-15T14:59:57.238794,896.1,1278,891.77,93194.4
314,2024-10-16,9234,HRL,Himalayan Reinsurance Limited,896.1,914.0,890.0,896.0,166803,150404104.7,896.1,1060.0,309.2,2024-10-16T14:59:59.591836,896.0,1850,901.68,93184.0
311,2024-10-17,9234,HRL,Himalayan Reinsurance Limited,901.0,907.0,885.0,885.0,225174,202341484.1,896.0,1060.0,309.2,2024-10-17T14:59:56.816594,885.0,2068,898.6,92040.0
310,2024-10-20,9234,HRL,Himalayan Reinsurance Limited,885.0,899.0,868.0,878.0,295964,260589466.2,885.0,1060.0,309.2,2024-10-20T14:59:58.819883,878.0,2666,880.47,91312.0
314,2024-10-21,9234,HRL,Himalayan Reinsurance Limited,878.0,885.0,853.0,855.0,255570,220367859.5,878.0,1060.0,309.2,2024-10-21T14:59:59.563034,855.0,2262,862.26,88920.0
308,2024-10-22,9234,HRL,Himalayan Reinsurance Limited,855.0,870.0,853.0,865.0,142346,122848093.6,855.0,1060.0,309.2,2024-10-22T14:59:59.182756,865.0,1510,863.02,89960.0
320,2024-10-23,9234,HRL,Himalayan Reinsurance Limited,865.0,880.0,860.1,861.1,113796,98780582.6,865.0,1060.0,309.2,2024-10-23T14:59:59.263112,861.1,1259,868.04,89554.4
312,2024-10-24,9234,HRL,Himalayan Reinsurance Limited,861.1,868.0,851.0,855.0,106578,91316396.3,861.1,1060.0,309.2,2024-10-24T14:59:58.334238,855.0,1337,856.8,88920.0
314,2024-10-27,9234,HRL,Himalayan Reinsurance Limited,855.0,860.0,848.1,854.7,73616,62923895.1,855.0,1060.0,309.2,2024-10-27T14:59:54.051941,854.7,1292,854.75,88888.8
303,2024-10-28,9234,HRL,Himalayan Reinsurance Limited,854.7,869.9,854.7,862.0,98805,85339458.5,854.7,1060.0,309.2,2024-10-28T14:59:57.675769,862.0,1120,863.71,89648.0
314,2024-10-29,9234,HRL,Himalayan Reinsurance Limited,862.0,884.5,862.0,880.0,134076,117534334.3,862.0,1060.0,309.2,2024-10-29T14:59:59.742352,880.0,1374,876.62,91520.0
301,2024-10-30,9234,HRL,Himalayan Reinsurance Limited,887.0,898.0,871.6,874.0,101878,89678028.7,880.0,1060.0,309.2,2024-10-30T14:59:57.825021,874.0,1173,880.24,90896.0
297,2024-11-05,9234,HRL,Himalayan Reinsurance Limited,874.0,885.0,865.3,870.9,60732,53170662.5,874.0,1060.0,309.2,2024-11-05T14:59:57.656183,870.9,874,875.49,90573.6
316,2024-11-06,9234,HRL,Himalayan Reinsurance Limited,870.0,902.0,869.1,870.0,71041,62020798.5,870.9,1060.0,309.2,2024-11-06T14:59:59.602913,870.0,1097,873.02,90480.0
320,2024-11-10,9234,HRL,Himalayan Reinsurance Limited,870.0,892.0,870.0,890.9,197701,175061405.9,870.0,1060.0,309.2,2024-11-10T14:59:46.867429,890.9,2216,885.48,92653.6
297,2024-11-11,9234,HRL,Himalayan Reinsurance Limited,890.0,914.0,888.0,894.0,289679,261535594.3,890.9,1060.0,309.2,2024-11-11T14:59:59.408638,894.0,2862,902.84,92976.0
308,2024-11-12,9234,HRL,Himalayan Reinsurance Limited,907.0,912.0,885.0,890.0,108223,96997265.3,894.0,1060.0,309.2,2024-11-12T14:59:58.802942,890.0,1655,896.27,92560.0
302,2024-11-13,9234,HRL,Himalayan Reinsurance Limited,881.0,898.6,880.0,881.0,94717,83854521.8,890.0,1060.0,309.2,2024-11-13T14:59:55.766112,881.0,1280,885.31,91624.0
316,2024-11-14,9234,HRL,Himalayan Reinsurance Limited,875.0,890.0,875.0,877.0,127830,112633130.1,881.0,1060.0,309.2,2024-11-14T14:59:59.902772,877.0,1565,881.11,91208.0
320,2024-11-17,9234,HRL,Himalayan Reinsurance Limited,894.0,900.0,878.0,880.0,165932,147528313.2,877.0,1060.0,309.2,2024-11-17T14:59:53.760989,880.0,2046,889.08,91520.0
305,2024-11-19,9234,HRL,Himalayan Reinsurance Limited,875.0,884.0,865.0,866.0,169232,147541998.7,880.0,1060.0,309.2,2024-11-19T14:59:59.903736,866.0,1744,871.83,90064.0
318,2024-11-20,9234,HRL,Himalayan Reinsurance Limited,866.5,871.0,860.0,861.0,106912,92300791.6,866.0,1060.0,309.2,2024-11-20T14:59:52.366944,861.0,1479,863.33,89544.0
310,2024-11-21,9234,HRL,Himalayan Reinsurance Limited,861.0,867.9,845.2,847.0,121493,103764173.8,861.0,1060.0,309.2,2024-11-21T14:59:53.809667,847.0,1520,854.07,88088.0
316,2024-11-24,9234,HRL,Himalayan Reinsurance Limited,850.0,860.0,838.0,839.1,106931,90763383.1,847.0,1060.0,309.2,2024-11-24T14:59:47.236151,839.1,1436,848.8,87266.4
307,2024-11-25,9234,HRL,Himalayan Reinsurance Limited,855.0,863.0,836.5,848.0,103463,88128577.3,839.1,1060.0,309.2,2024-11-25T14:59:58.990302,848.0,1429,851.78,88192.0
289,2024-11-26,9234,HRL,Himalayan Reinsurance Limited,850.0,869.9,850.0,865.0,83993,72410076.7,848.0,1060.0,309.2,2024-11-26T14:59:59.718951,865.0,1183,862.09,89960.0
312,2024-11-27,9234,HRL,Himalayan Reinsurance Limited,848.0,881.2,848.0,870.0,89279,77966742.2,865.0,1060.0,309.2,2024-11-27T14:59:56.252032,870.0,1418,873.29,90480.0
303,2024-11-28,9234,HRL,Himalayan Reinsurance Limited,870.0,880.0,855.2,855.2,111120,96069888.8,870.0,1060.0,309.2,2024-11-28T14:59:56.302552,855.2,1279,864.55,88940.8
296,2024-12-01,9234,HRL,Himalayan Reinsurance Limited,850.0,854.0,842.5,845.0,166608,141371911.6,855.2,1060.0,309.2,2024-12-01T14:59:37.608547,845.0,1451,848.53,87880.0
309,2024-12-02,9234,HRL,Himalayan Reinsurance Limited,845.0,855.0,840.0,842.0,84649,71737995.0,845.0,1060.0,309.2,2024-12-02T14:59:57.258746,842.0,1354,847.47,87568.0
302,2024-12-03,9234,HRL,Himalayan Reinsurance Limited,847.0,852.0,841.0,843.0,84526,71570929.2,842.0,1060.0,309.2,2024-12-03T14:59:53.953591,843.0,1382,846.73,87672.0
315,2024-12-04,9234,HRL,Himalayan Reinsurance Limited,859.0,860.0,841.0,841.0,107864,91676401.0,843.0,1060.0,309.2,2024-12-04T14:59:59.951996,841.0,1277,849.92,87464.0
303,2024-12-05,9234,HRL,Himalayan Reinsurance Limited,841.1,848.0,830.0,833.0,137241,114687389.6,841.0,1060.0,309.2,2024-12-05T14:59:58.9691,833.0,1279,835.66,86632.0
316,2024-12-08,9234,HRL,Himalayan Reinsurance Limited,839.0,844.0,820.0,824.0,117257,96953042.9,833.0,1060.0,309.2,2024-12-08T14:59:56.633284,824.0,1257,826.84,85696.0
311,2024-12-09,9234,HRL,Himalayan Reinsurance Limited,824.0,837.4,817.0,820.0,81286,66792048.6,824.0,1060.0,309.2,2024-12-09T14:59:57.772078,820.0,1097,821.69,85280.0
297,2024-12-10,9234,HRL,Himalayan Reinsurance Limited,817.0,830.0,815.2,819.8,51818,42454431.7,820.0,1060.0,309.2,2024-12-10T14:59:49.725488,819.8,830,819.29,85259.2
301,2024-12-11,9234,HRL,Himalayan Reinsurance Limited,819.8,830.0,813.0,823.4,75709,62119997.7,819.8,1060.0,309.2,2024-12-11T14:59:54.213872,823.4,881,820.51,85633.6
266,2024-12-12,9234,HRL,Himalayan Reinsurance Limited,839.8,839.8,819.0,820.0,92638,76539931.8,823.4,1060.0,309.2,2024-12-12T14:59:52.77858,820.0,1131,826.22,85280.0
274,2024-12-16,9234,HRL,Himalayan Reinsurance Limited,820.0,820.0,805.0,808.8,188460,152369256.9,820.0,1060.0,309.2,2024-12-16T14:59:57.452149,808.8,1333,808.49,84115.2
248,2024-12-17,9234,HRL,Himalayan Reinsurance Limited,808.0,820.0,802.0,809.0,66294,53711652.0,808.8,1060.0,309.2,2024-12-17T14:59:57.465153,809.0,1057,810.2,84136.0
311,2024-12-18,9234,HRL,Himalayan Reinsurance Limited,809.0,815.0,800.3,801.0,75351,60670935.1,809.0,1060.0,309.2,2024-12-18T14:59:53.21956,801.0,1010,805.17,83304.0
306,2024-12-19,9234,HRL,Himalayan Reinsurance Limited,785.0,810.0,785.0,791.5,69267,55114013.1,801.0,1060.0,309.2,2024-12-19T14:59:58.36765,791.5,1041,795.67,82316.0
314,2024-12-22,9234,HRL,Himalayan Reinsurance Limited,792.0,800.0,782.3,787.1,62708,49428272.1,791.5,1060.0,309.2,2024-12-22T14:59:43.45413,787.1,1017,788.22,81858.4
296,2024-12-23,9234,HRL,Himalayan Reinsurance Limited,787.1,798.6,781.0,795.8,52947,42008643.8,787.1,1060.0,309.2,2024-12-23T14:59:58.720771,795.8,900,793.4,82763.2
309,2024-12-24,9234,HRL,Himalayan Reinsurance Limited,795.0,810.0,795.0,802.5,63100,50769209.4,795.8,1060.0,309.2,2024-12-24T14:59:58.175114,802.5,1152,804.58,83460.0
306,2024-12-26,9234,HRL,Himalayan Reinsurance Limited,801.0,814.0,796.0,800.0,54712,43911290.4,802.5,1060.0,309.2,2024-12-26T14:59:59.476199,800.0,1059,802.58,83200.0
250,2024-12-29,9234,HRL,Himalayan Reinsurance Limited,801.0,805.0,793.0,796.0,57077,45518511.0,800.0,1060.0,309.2,2024-12-29T14:59:58.519245,796.0,1039,797.49,82784.0
