Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
59,2024-11-25,273,ICFC,ICFC Finance Limited,755.2,778.1,755.1,769.0,36978,28425281.1,750.0,910.0,435.5,2024-11-25T14:59:47.551929,769.0,310,768.7,9100.89
89,2024-11-26,273,ICFC,ICFC Finance Limited,774.0,783.8,773.0,777.0,37066,28848639.1,769.0,910.0,435.5,2024-11-26T14:59:59.679581,777.0,248,778.3,9195.57
56,2024-11-27,273,ICFC,ICFC Finance Limited,780.1,784.9,773.0,775.0,45516,35428916.5,777.0,910.0,436.0,2024-11-27T14:59:54.300294,775.0,330,778.38,9171.9
62,2024-11-28,273,ICFC,ICFC Finance Limited,780.0,780.0,757.0,761.0,71364,54720007.8,775.0,910.0,436.0,2024-11-28T14:59:55.973566,761.0,429,766.77,9006.21
28,2024-12-01,273,ICFC,ICFC Finance Limited,764.0,764.0,748.0,752.1,47763,36106831.7,761.0,910.0,436.0,2024-12-01T14:59:54.922438,752.1,278,755.95,8900.89
56,2024-12-02,273,ICFC,ICFC Finance Limited,757.9,760.3,740.0,745.0,56999,42711912.4,752.1,910.0,436.0,2024-12-02T14:59:26.7885,745.0,396,749.34,8816.86
56,2024-12-03,273,ICFC,ICFC Finance Limited,750.0,779.0,747.2,760.5,44762,34227430.6,745.0,910.0,436.1,2024-12-03T14:59:45.564799,760.5,332,764.65,9000.3
56,2024-12-04,273,ICFC,ICFC Finance Limited,764.0,769.9,752.0,753.0,30452,23179551.5,760.5,910.0,438.0,2024-12-04T14:59:46.065984,753.0,237,761.18,8911.54
56,2024-12-05,273,ICFC,ICFC Finance Limited,753.0,760.0,734.0,738.0,56214,41648578.1,753.0,910.0,439.0,2024-12-05T14:59:55.760574,738.0,375,740.89,8734.02
56,2024-12-08,273,ICFC,ICFC Finance Limited,730.6,735.0,722.0,723.1,39686,28801874.2,738.0,910.0,443.0,2024-12-08T14:59:49.815508,723.1,291,725.74,8557.68
55,2024-12-09,273,ICFC,ICFC Finance Limited,723.2,735.9,705.0,715.0,38740,27773852.3,723.1,910.0,451.0,2024-12-09T14:59:53.451505,715.0,262,716.92,8461.82
55,2024-12-10,273,ICFC,ICFC Finance Limited,715.0,720.0,700.0,703.0,28402,20035132.8,715.0,910.0,455.0,2024-12-10T14:59:45.83066,703.0,308,705.41,8319.8
55,2024-12-11,273,ICFC,ICFC Finance Limited,703.0,726.0,702.0,720.0,31062,22206363.3,703.0,910.0,455.0,2024-12-11T14:59:59.185902,720.0,235,714.9,8520.99
48,2024-12-12,273,ICFC,ICFC Finance Limited,720.0,734.4,708.0,717.9,24891,17813715.7,720.0,910.0,455.0,2024-12-12T14:59:57.861467,717.9,201,715.66,8496.14
49,2024-12-16,273,ICFC,ICFC Finance Limited,704.0,708.9,686.0,691.9,36234,25090173.0,717.9,910.0,455.0,2024-12-16T14:59:58.086431,691.9,296,692.44,8188.44
18,2024-12-17,273,ICFC,ICFC Finance Limited,686.1,705.0,683.0,696.0,20919,14580812.1,691.9,910.0,455.0,2024-12-17T14:59:57.900477,696.0,164,697.01,8236.96
31,2024-12-18,273,ICFC,ICFC Finance Limited,708.0,708.0,695.0,697.0,16235,11385445.2,696.0,910.0,455.0,2024-12-18T14:59:58.568526,697.0,121,701.29,8248.79
55,2024-12-19,273,ICFC,ICFC Finance Limited,692.0,697.0,678.0,678.0,29981,20482376.0,697.0,910.0,455.0,2024-12-19T14:59:45.949643,678.0,231,683.17,8023.93
56,2024-12-22,273,ICFC,ICFC Finance Limited,675.1,680.0,663.0,671.0,37960,25471631.2,678.0,910.0,455.0,2024-12-22T14:59:37.016832,671.0,230,671.01,7941.09
57,2024-12-23,273,ICFC,ICFC Finance Limited,684.4,684.4,656.6,671.1,24607,16381210.0,671.0,910.0,455.0,2024-12-23T14:59:59.889866,671.1,185,665.71,7942.27
58,2024-12-24,273,ICFC,ICFC Finance Limited,680.0,688.1,663.5,682.0,24058,16370428.5,671.1,910.0,455.0,2024-12-24T14:59:50.811652,682.0,245,680.45,8071.27
86,2024-12-26,273,ICFC,ICFC Finance Limited,682.0,685.0,665.0,665.0,13666,9168936.7,682.0,910.0,455.0,2024-12-26T14:59:57.214549,665.0,109,670.93,7870.08
56,2024-12-29,273,ICFC,ICFC Finance Limited,651.7,670.9,651.7,652.1,27551,18119586.4,665.0,910.0,455.0,2024-12-29T14:59:55.836232,652.1,254,657.67,7717.41
