Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
92,2024-11-25,418,JBBL,Jyoti Bikas Bank Limited,375.0,386.0,372.0,379.0,62489,23695701.5,374.0,445.0,265.0,2024-11-25T14:59:51.182303,379.0,287,379.19,16660.03
62,2024-11-26,418,JBBL,Jyoti Bikas Bank Limited,386.5,386.5,376.4,381.0,51808,19731557.2,379.0,445.0,265.0,2024-11-26T14:59:42.114671,381.0,277,380.85,16747.94
73,2024-11-27,418,JBBL,Jyoti Bikas Bank Limited,381.0,391.0,379.0,387.2,138841,53514538.8,381.0,445.0,265.0,2024-11-27T14:59:59.819968,387.2,536,385.43,17020.48
69,2024-11-28,418,JBBL,Jyoti Bikas Bank Limited,392.0,418.0,388.0,394.0,429847,173418941.3,387.2,445.0,265.0,2024-11-28T14:59:58.138834,394.0,1823,403.44,17319.4
64,2024-12-01,418,JBBL,Jyoti Bikas Bank Limited,393.9,419.0,381.1,417.0,497428,203438994.62,394.0,445.0,265.0,2024-12-01T14:59:58.410404,417.0,1883,408.98,18330.43
73,2024-12-02,418,JBBL,Jyoti Bikas Bank Limited,425.0,430.9,403.0,406.3,402432,168669576.6,417.0,445.0,265.0,2024-12-02T14:59:56.459355,406.3,1738,419.12,17860.08
73,2024-12-03,418,JBBL,Jyoti Bikas Bank Limited,412.0,414.0,398.0,400.0,132852,53652478.9,406.3,445.0,265.0,2024-12-03T14:59:38.242873,400.0,610,403.85,17583.14
73,2024-12-04,418,JBBL,Jyoti Bikas Bank Limited,408.0,408.0,393.5,393.5,152028,60836691.6,400.0,445.0,267.1,2024-12-04T14:59:51.218223,393.5,541,400.16,17297.42
73,2024-12-05,418,JBBL,Jyoti Bikas Bank Limited,400.0,404.0,388.0,392.0,202190,80174436.3,393.5,445.0,267.5,2024-12-05T14:59:55.273586,392.0,613,396.53,17231.48
73,2024-12-08,418,JBBL,Jyoti Bikas Bank Limited,395.0,401.7,383.5,385.0,178959,69961445.0,392.0,445.0,275.0,2024-12-08T14:59:49.180463,385.0,611,390.93,16923.78
72,2024-12-09,418,JBBL,Jyoti Bikas Bank Limited,390.0,395.0,385.1,388.0,101933,39623855.3,385.0,445.0,275.0,2024-12-09T14:59:58.818603,388.0,358,388.72,17055.65
72,2024-12-10,418,JBBL,Jyoti Bikas Bank Limited,395.0,395.0,380.0,380.1,88287,34011538.0,388.0,445.0,275.0,2024-12-10T14:59:58.535854,380.1,389,385.23,16708.38
72,2024-12-11,418,JBBL,Jyoti Bikas Bank Limited,381.0,390.0,377.0,389.9,71583,27467684.9,380.1,445.0,275.0,2024-12-11T14:59:54.630778,389.9,311,383.71,17139.17
76,2024-12-12,418,JBBL,Jyoti Bikas Bank Limited,385.0,390.5,378.0,380.0,78833,30213841.7,389.9,445.0,275.0,2024-12-12T14:59:18.416701,380.0,324,383.26,16703.99
86,2024-12-16,418,JBBL,Jyoti Bikas Bank Limited,372.4,375.0,365.0,367.0,100000,36972418.4,380.0,445.0,275.0,2024-12-16T14:59:56.152376,367.0,453,369.72,16132.53
57,2024-12-17,418,JBBL,Jyoti Bikas Bank Limited,363.0,370.0,362.0,365.0,64098,23461975.9,367.0,445.0,275.0,2024-12-17T14:59:59.950254,365.0,280,366.03,16044.62
188,2024-12-18,418,JBBL,Jyoti Bikas Bank Limited,370.0,370.0,365.0,367.0,32977,12111436.9,365.0,445.0,275.0,2024-12-18T14:59:57.773853,367.0,179,367.26,16132.53
74,2024-12-19,418,JBBL,Jyoti Bikas Bank Limited,366.0,369.0,355.3,356.9,65566,23634530.3,367.0,445.0,275.0,2024-12-19T14:59:38.35505,356.9,312,360.46,15688.56
73,2024-12-22,418,JBBL,Jyoti Bikas Bank Limited,354.0,362.0,354.0,356.8,48357,17296379.0,356.9,445.0,275.0,2024-12-22T14:59:58.431888,356.8,228,357.68,15684.16
62,2024-12-23,418,JBBL,Jyoti Bikas Bank Limited,360.0,365.0,357.0,365.0,38121,13753887.2,356.8,445.0,275.0,2024-12-23T14:59:53.279648,365.0,195,360.79,16044.62
90,2024-12-24,418,JBBL,Jyoti Bikas Bank Limited,368.2,377.0,365.3,371.9,81398,30191797.3,365.0,445.0,275.0,2024-12-24T14:59:24.637556,371.9,336,370.91,16347.93
57,2024-12-26,418,JBBL,Jyoti Bikas Bank Limited,364.5,370.0,361.5,368.0,42226,15433612.8,371.9,445.0,275.0,2024-12-26T14:59:49.848266,368.0,210,365.5,16176.49
92,2024-12-29,418,JBBL,Jyoti Bikas Bank Limited,361.1,366.9,356.0,359.9,65841,23769277.1,368.0,445.0,275.0,2024-12-29T14:59:54.720588,359.9,225,361.01,15820.43
