Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
50,2024-10-15,250,JFL,Janaki Finance Company Limited,628.0,677.6,628.0,677.6,75093,49940964.8,616.0,880.0,316.7,2024-10-15T14:59:59.521743,677.6,525,665.05,4678.64
51,2024-10-16,250,JFL,Janaki Finance Company Limited,691.1,713.8,679.0,694.0,118924,83376655.2,677.6,880.0,316.7,2024-10-16T14:59:55.755201,694.0,841,701.09,4791.88
51,2024-10-17,250,JFL,Janaki Finance Company Limited,681.0,703.9,675.0,686.0,53534,36991752.2,694.0,880.0,316.7,2024-10-17T14:59:59.898281,686.0,357,690.99,4736.64
51,2024-10-20,250,JFL,Janaki Finance Company Limited,672.3,688.0,650.0,656.0,80543,53645234.4,686.0,880.0,316.7,2024-10-20T14:59:50.335964,656.0,650,666.04,4529.5
51,2024-10-21,250,JFL,Janaki Finance Company Limited,669.0,669.0,625.0,629.5,46007,29415889.9,656.0,880.0,316.7,2024-10-21T14:59:41.829416,629.5,454,639.37,4346.53
51,2024-10-22,250,JFL,Janaki Finance Company Limited,640.0,655.0,630.1,649.0,28033,18074493.3,629.5,880.0,316.7,2024-10-22T14:59:49.117909,649.0,301,644.75,4481.17
51,2024-10-23,250,JFL,Janaki Finance Company Limited,650.0,680.0,642.4,660.0,43339,28753546.0,649.0,880.0,316.7,2024-10-23T14:59:58.725389,660.0,315,663.45,4557.12
51,2024-10-24,250,JFL,Janaki Finance Company Limited,673.2,699.0,661.0,666.0,71661,48394866.9,660.0,880.0,316.7,2024-10-24T14:59:50.106337,666.0,655,675.33,4598.55
50,2024-10-27,250,JFL,Janaki Finance Company Limited,679.3,727.0,679.0,705.3,189009,132571996.0,666.0,880.0,316.7,2024-10-27T14:59:51.739359,705.3,1447,701.4,4869.9
50,2024-10-28,250,JFL,Janaki Finance Company Limited,710.1,775.8,710.0,775.8,220461,166481674.0,705.3,880.0,316.7,2024-10-28T14:59:20.996978,775.8,1396,755.15,5356.69
50,2024-10-29,250,JFL,Janaki Finance Company Limited,791.3,823.0,787.1,789.5,174472,138583771.0,775.8,880.0,316.7,2024-10-29T14:59:57.902633,789.5,1157,794.3,5451.28
51,2024-10-30,250,JFL,Janaki Finance Company Limited,775.0,785.0,750.0,750.8,118125,90265756.7,789.5,880.0,316.7,2024-10-30T14:59:57.145874,750.8,1086,764.15,5184.07
50,2024-11-05,250,JFL,Janaki Finance Company Limited,751.0,785.0,750.0,771.9,57607,44302654.4,750.8,880.0,316.7,2024-11-05T14:59:57.74804,771.9,412,769.04,5329.76
51,2024-11-06,250,JFL,Janaki Finance Company Limited,758.0,809.0,758.0,790.4,98919,78137078.5,771.9,880.0,316.7,2024-11-06T14:59:57.751717,790.4,648,789.9,5457.5
51,2024-11-10,250,JFL,Janaki Finance Company Limited,790.0,831.3,790.0,830.0,165421,135222198.5,790.4,880.0,316.7,2024-11-10T14:59:58.112642,830.0,1006,817.44,5730.92
51,2024-11-11,250,JFL,Janaki Finance Company Limited,838.0,851.0,817.0,849.9,191070,159976453.8,830.0,880.0,316.7,2024-11-11T14:59:56.218517,849.9,1237,837.26,5868.33
51,2024-11-12,250,JFL,Janaki Finance Company Limited,866.0,923.0,836.0,899.0,234336,205903508.1,849.9,923.0,316.7,2024-11-12T14:59:59.451272,899.0,1555,878.66,6207.35
51,2024-11-13,250,JFL,Janaki Finance Company Limited,916.9,980.0,880.0,979.9,355310,338633011.5,899.0,980.0,316.7,2024-11-13T14:59:59.111394,979.9,1640,953.06,6765.94
51,2024-11-14,250,JFL,Janaki Finance Company Limited,960.4,1038.0,955.0,984.9,359609,352499389.1,979.9,1038.0,316.7,2024-11-14T14:59:59.633867,984.9,1545,980.22,6800.47
50,2024-11-17,250,JFL,Janaki Finance Company Limited,970.0,1083.3,927.1,1062.0,363922,354098888.8,984.9,1083.3,316.7,2024-11-17T14:59:58.795826,1062.0,1613,973.0,7332.82
52,2024-11-19,250,JFL,Janaki Finance Company Limited,1040.8,1040.8,955.8,974.9,205179,198415478.2,1062.0,1083.3,316.7,2024-11-19T14:59:58.926114,974.9,1212,967.03,6731.42
50,2024-11-20,250,JFL,Janaki Finance Company Limited,955.5,1072.3,918.3,1072.3,332130,322051558.1,974.9,1083.3,320.0,2024-11-20T14:59:58.181667,1072.3,1343,969.65,7403.94
51,2024-11-21,250,JFL,Janaki Finance Company Limited,1050.9,1050.9,965.1,965.1,117885,114718479.4,1072.3,1083.3,320.0,2024-11-21T14:59:58.33164,965.1,701,973.13,6663.75
51,2024-11-24,250,JFL,Janaki Finance Company Limited,945.8,1043.0,868.6,1043.0,649606,608736152.8,965.1,1083.3,320.0,2024-11-24T14:59:59.303705,1043.0,1728,937.08,7201.63
26,2024-11-25,250,JFL,Janaki Finance Company Limited,1022.2,1022.2,944.0,1006.9,137719,135321963.0,1043.0,1083.3,320.0,2024-11-25T14:59:59.470567,1006.9,775,982.59,6952.37
22,2024-11-26,250,JFL,Janaki Finance Company Limited,986.8,1080.0,960.4,970.2,221407,220494487.0,1006.9,1083.3,320.0,2024-11-26T14:59:57.282286,970.2,1049,995.87,6698.97
51,2024-11-27,250,JFL,Janaki Finance Company Limited,950.8,990.0,877.3,941.0,364475,340112238.3,970.2,1083.3,320.0,2024-11-27T14:59:55.670502,941.0,1551,933.15,6497.35
58,2024-11-28,250,JFL,Janaki Finance Company Limited,922.2,1035.1,856.9,1015.0,254625,231644893.5,941.0,1083.3,320.0,2024-11-28T14:59:58.966069,1015.0,1515,909.74,7008.3
25,2024-12-01,250,JFL,Janaki Finance Company Limited,994.7,994.7,913.5,913.5,103201,94719792.7,1015.0,1083.3,320.0,2024-12-01T14:59:55.138387,913.5,653,917.81,6307.47
51,2024-12-02,250,JFL,Janaki Finance Company Limited,895.3,967.5,822.2,948.6,325544,275130797.5,913.5,1083.3,327.0,2024-12-02T14:59:57.298938,948.6,2163,845.14,6549.82
51,2024-12-03,250,JFL,Janaki Finance Company Limited,929.7,972.0,855.0,885.1,286824,265185413.6,948.6,1083.3,327.0,2024-12-03T14:59:59.25768,885.1,1418,924.55,6111.37
51,2024-12-04,250,JFL,Janaki Finance Company Limited,902.8,937.9,902.8,928.9,115740,106681370.8,885.1,1083.3,327.0,2024-12-04T14:59:59.821996,928.9,811,921.73,6413.8
51,2024-12-05,250,JFL,Janaki Finance Company Limited,910.4,968.6,878.0,925.0,153492,139812397.1,928.9,1083.3,327.0,2024-12-05T14:59:59.479291,925.0,997,910.87,6386.87
51,2024-12-08,250,JFL,Janaki Finance Company Limited,925.0,925.0,890.4,899.9,60273,54249300.0,925.0,1083.3,334.2,2024-12-08T14:59:59.133015,899.9,503,900.05,6213.56
50,2024-12-09,250,JFL,Janaki Finance Company Limited,900.0,920.0,894.0,920.0,123032,111796205.6,899.9,1083.3,334.2,2024-12-09T14:59:59.491431,920.0,730,908.67,6352.35
50,2024-12-10,250,JFL,Janaki Finance Company Limited,901.6,954.0,901.6,947.9,182953,171744772.0,920.0,1083.3,334.2,2024-12-10T14:59:59.016794,947.9,1033,938.73,6544.99
50,2024-12-11,250,JFL,Janaki Finance Company Limited,929.0,984.0,910.5,956.8,384553,361502443.6,947.9,1083.3,334.2,2024-12-11T14:59:59.646438,956.8,1229,940.05,6606.44
61,2024-12-12,250,JFL,Janaki Finance Company Limited,937.7,950.0,861.2,885.9,293919,261214072.3,956.8,1083.3,334.2,2024-12-12T14:59:54.157678,885.9,1605,888.72,6116.9
60,2024-12-16,250,JFL,Janaki Finance Company Limited,869.0,869.0,798.1,801.0,226682,184910020.9,885.9,1083.3,334.2,2024-12-16T14:59:59.127742,801.0,1726,815.72,5530.69
91,2024-12-17,250,JFL,Janaki Finance Company Limited,801.0,880.0,775.0,879.9,263008,222403964.5,801.0,1083.3,334.2,2024-12-17T14:59:59.936906,879.9,972,845.61,6075.47
27,2024-12-18,250,JFL,Janaki Finance Company Limited,862.4,935.0,862.4,917.9,171486,155923286.8,879.9,1083.3,334.2,2024-12-18T14:59:59.614633,917.9,1243,909.24,6337.85
50,2024-12-19,250,JFL,Janaki Finance Company Limited,899.6,990.0,864.4,914.4,195572,176054603.3,917.9,1083.3,334.2,2024-12-19T14:59:59.879493,914.4,1081,900.2,6313.68
51,2024-12-22,250,JFL,Janaki Finance Company Limited,913.4,932.0,837.0,932.0,146937,129971811.3,914.4,1083.3,334.2,2024-12-22T14:59:58.707819,932.0,883,884.54,6435.21
55,2024-12-23,250,JFL,Janaki Finance Company Limited,913.4,987.0,864.4,987.0,209244,188466335.2,932.0,1083.3,334.2,2024-12-23T14:59:56.882225,987.0,951,900.7,6814.97
24,2024-12-24,250,JFL,Janaki Finance Company Limited,967.3,967.3,888.3,908.0,221576,200742653.7,987.0,1083.3,334.2,2024-12-24T14:59:59.623595,908.0,1311,905.97,6269.49
