Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
125,2024-11-25,2789,JOSHI,Joshi Hydropower Development Company Ltd,322.1,336.0,322.1,330.0,23577,7831672.2,327.0,412.0,183.0,2024-11-25T14:59:34.597463,330.0,136,332.17,1225.62
152,2024-11-26,2789,JOSHI,Joshi Hydropower Development Company Ltd,336.6,343.0,330.0,341.9,72138,24448574.1,330.0,412.0,183.0,2024-11-26T14:59:59.247117,341.9,255,338.91,1269.82
138,2024-11-27,2789,JOSHI,Joshi Hydropower Development Company Ltd,348.7,348.7,341.1,344.9,44016,15160144.5,341.9,412.0,183.0,2024-11-27T14:59:59.847094,344.9,220,344.42,1280.96
142,2024-11-28,2789,JOSHI,Joshi Hydropower Development Company Ltd,350.0,350.0,334.5,344.5,33699,11516330.2,344.9,412.0,183.0,2024-11-28T14:59:59.921706,344.5,232,341.74,1279.47
162,2024-12-01,2789,JOSHI,Joshi Hydropower Development Company Ltd,351.3,351.3,329.1,339.5,36236,12194669.4,344.5,412.0,183.0,2024-12-01T14:59:59.872769,339.5,187,336.53,1260.9
137,2024-12-02,2789,JOSHI,Joshi Hydropower Development Company Ltd,345.7,373.4,333.0,373.4,207380,76092173.4,339.5,412.0,183.0,2024-12-02T14:59:49.051125,373.4,558,366.92,1386.81
138,2024-12-03,2789,JOSHI,Joshi Hydropower Development Company Ltd,380.8,410.7,380.8,410.7,135359,55574134.3,373.4,412.0,183.0,2024-12-03T14:59:58.265983,410.7,437,410.56,1525.34
138,2024-12-04,2789,JOSHI,Joshi Hydropower Development Company Ltd,418.9,451.7,418.9,451.7,685647,303069225.3,410.7,451.7,184.2,2024-12-04T14:59:58.859235,451.7,2757,442.01,1677.61
135,2024-12-05,2789,JOSHI,Joshi Hydropower Development Company Ltd,460.7,490.0,447.0,475.0,296709,139726596.6,451.7,490.0,184.2,2024-12-05T14:59:58.430548,475.0,1710,470.92,1764.15
140,2024-12-08,2789,JOSHI,Joshi Hydropower Development Company Ltd,476.0,476.0,427.5,427.5,237245,104887144.8,475.0,490.0,193.8,2024-12-08T14:59:59.65181,427.5,1229,442.1,1587.73
136,2024-12-09,2789,JOSHI,Joshi Hydropower Development Company Ltd,436.0,444.9,418.0,443.0,288268,124694768.7,427.5,490.0,201.8,2024-12-09T14:59:57.356403,443.0,1122,432.56,1645.3
135,2024-12-10,2789,JOSHI,Joshi Hydropower Development Company Ltd,450.0,479.2,415.2,477.0,163312,72485620.6,443.0,490.0,201.8,2024-12-10T14:59:54.655609,477.0,701,443.84,1771.58
135,2024-12-11,2789,JOSHI,Joshi Hydropower Development Company Ltd,467.5,467.5,429.3,437.8,227140,98536381.3,477.0,490.0,207.8,2024-12-11T14:59:58.479069,437.8,899,433.81,1625.99
143,2024-12-12,2789,JOSHI,Joshi Hydropower Development Company Ltd,429.1,464.1,406.9,414.0,352579,152283987.7,437.8,490.0,207.8,2024-12-12T14:59:59.351135,414.0,1012,431.91,1537.6
126,2024-12-16,2789,JOSHI,Joshi Hydropower Development Company Ltd,422.2,455.2,422.2,452.9,424322,188945562.6,414.0,490.0,207.8,2024-12-16T14:59:58.60802,452.9,1618,445.28,1682.07
118,2024-12-17,2789,JOSHI,Joshi Hydropower Development Company Ltd,455.0,461.0,438.0,448.0,101089,45747424.4,452.9,490.0,207.8,2024-12-17T14:59:59.29732,448.0,700,452.54,1663.87
221,2024-12-18,2789,JOSHI,Joshi Hydropower Development Company Ltd,456.9,457.0,441.0,454.1,118327,53290187.5,448.0,490.0,207.8,2024-12-18T14:59:59.964044,454.1,490,450.36,1686.53
138,2024-12-19,2789,JOSHI,Joshi Hydropower Development Company Ltd,463.0,463.0,442.0,459.9,169989,77259303.9,454.1,490.0,207.8,2024-12-19T14:59:59.422546,459.9,742,454.49,1708.07
139,2024-12-22,2789,JOSHI,Joshi Hydropower Development Company Ltd,455.0,461.9,441.1,450.1,96812,43671954.2,459.9,490.0,207.8,2024-12-22T14:59:59.472947,450.1,506,451.1,1671.67
125,2024-12-23,2789,JOSHI,Joshi Hydropower Development Company Ltd,449.1,492.3,433.2,482.5,261529,117638700.6,450.1,492.3,207.8,2024-12-23T14:59:59.345676,482.5,800,449.81,1792.01
121,2024-12-24,2789,JOSHI,Joshi Hydropower Development Company Ltd,473.0,521.6,445.9,511.4,417753,192720466.9,482.5,521.6,207.8,2024-12-24T14:59:59.965085,511.4,1316,461.32,1899.34
123,2024-12-26,2789,JOSHI,Joshi Hydropower Development Company Ltd,510.4,510.4,460.3,460.3,202519,93633818.4,511.4,521.6,207.8,2024-12-26T14:59:45.705886,460.3,874,462.34,1709.55
133,2024-12-29,2789,JOSHI,Joshi Hydropower Development Company Ltd,451.1,451.1,414.3,420.0,183594,77931640.0,460.3,521.6,207.8,2024-12-29T14:59:59.466042,420.0,959,424.47,1559.88
