Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
103,2024-11-25,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1595.0,1630.0,1567.0,1567.0,6091,9680369.8,1605.0,1818.0,785.0,2024-11-25T14:59:59.792923,1567.0,82,1589.29,2665.34
113,2024-11-26,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1590.0,1620.0,1561.0,1620.0,2568,4074862.9,1567.0,1818.0,785.0,2024-11-26T14:55:52.089865,1620.0,61,1586.78,2755.49
102,2024-11-27,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1587.6,1684.0,1587.6,1628.0,6632,10691209.6,1620.0,1818.0,788.0,2024-11-27T14:56:51.815065,1628.0,93,1612.06,2769.1
116,2024-11-28,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1642.0,1642.0,1600.0,1617.0,6164,9966840.0,1628.0,1818.0,788.0,2024-11-28T14:59:59.002727,1617.0,77,1616.94,2750.39
113,2024-12-01,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1585.0,1600.0,1560.0,1595.0,1536,2434687.2,1617.0,1818.0,793.7,2024-12-01T14:59:58.101425,1595.0,32,1585.08,2712.97
101,2024-12-02,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1626.9,1677.0,1620.0,1677.0,6781,11154634.0,1595.0,1818.0,793.7,2024-12-02T14:59:59.318941,1677.0,86,1644.98,2852.44
103,2024-12-03,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1677.0,1677.0,1613.0,1665.8,1153,1901688.3,1677.0,1818.0,793.7,2024-12-03T14:59:58.846687,1665.8,34,1649.33,2833.39
103,2024-12-04,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1632.6,1694.0,1632.5,1692.0,5672,9476866.4,1665.8,1818.0,798.0,2024-12-04T14:59:58.294406,1692.0,84,1670.81,2877.95
100,2024-12-05,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1705.0,1707.0,1613.0,1638.0,1951,3210638.3,1692.0,1818.0,806.8,2024-12-05T14:59:56.456843,1638.0,44,1645.63,2786.11
102,2024-12-08,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1630.0,1630.0,1585.1,1586.0,3827,6178777.3,1638.0,1818.0,808.5,2024-12-08T14:57:56.216477,1586.0,28,1614.52,2697.66
