Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
8,2024-11-25,142,KBL,Kumari Bank Limited,222.3,222.5,218.0,220.0,175979,38703029.4,218.0,272.9,129.6,2024-11-25T14:59:56.048087,220.0,531,219.92,57696.89
36,2024-11-26,142,KBL,Kumari Bank Limited,224.4,231.0,221.8,230.5,324080,73279671.9,220.0,272.9,129.6,2024-11-26T14:59:55.656552,230.5,821,226.11,60450.61
10,2024-11-27,142,KBL,Kumari Bank Limited,230.5,235.0,229.0,231.0,312401,72558101.3,230.5,272.9,129.6,2024-11-27T15:00:02.619393,231.0,1040,232.25,60581.74
31,2024-11-28,142,KBL,Kumari Bank Limited,235.0,235.0,226.1,226.9,171958,39280127.0,231.0,272.9,129.6,2024-11-28T14:59:58.355653,226.9,555,228.42,59506.48
31,2024-12-01,142,KBL,Kumari Bank Limited,231.4,231.4,222.0,222.6,206417,46062556.7,226.9,272.9,129.6,2024-12-01T14:59:54.786777,222.6,613,223.15,58378.77
10,2024-12-02,142,KBL,Kumari Bank Limited,227.0,227.0,220.0,222.0,259133,57532314.9,222.6,272.9,129.6,2024-12-02T14:59:53.762887,222.0,707,222.01,58221.41
10,2024-12-03,142,KBL,Kumari Bank Limited,226.4,226.4,219.5,222.7,306992,68132183.0,222.0,272.9,129.6,2024-12-03T14:59:50.455313,222.7,655,221.93,58404.99
10,2024-12-04,142,KBL,Kumari Bank Limited,227.1,231.0,219.0,223.4,241490,54271766.6,222.7,272.9,129.6,2024-12-04T14:59:59.668411,223.4,598,224.73,58588.57
10,2024-12-05,142,KBL,Kumari Bank Limited,227.8,227.8,220.0,221.0,154089,34120574.3,223.4,272.9,129.6,2024-12-05T14:59:50.147809,221.0,540,221.43,57959.15
10,2024-12-08,142,KBL,Kumari Bank Limited,221.0,221.0,215.5,217.0,331112,72050158.5,221.0,272.9,129.6,2024-12-08T14:59:48.550142,217.0,832,217.6,56910.12
10,2024-12-09,142,KBL,Kumari Bank Limited,219.9,221.3,215.0,217.0,181436,39401114.5,217.0,272.9,129.6,2024-12-09T14:59:58.898552,217.0,548,217.16,56910.12
10,2024-12-10,142,KBL,Kumari Bank Limited,221.3,221.3,215.0,215.2,165563,35946649.7,217.0,272.9,129.6,2024-12-10T14:59:56.188849,215.2,499,217.11,56438.05
10,2024-12-11,142,KBL,Kumari Bank Limited,218.5,224.0,215.4,224.0,274900,60379998.3,215.2,272.9,129.6,2024-12-11T14:59:59.729021,224.0,746,219.64,58745.93
33,2024-12-12,142,KBL,Kumari Bank Limited,228.4,228.4,218.0,219.9,230808,50997760.8,224.0,272.9,129.6,2024-12-12T14:59:59.327059,219.9,628,220.95,57670.67
31,2024-12-16,142,KBL,Kumari Bank Limited,219.9,219.9,215.0,215.6,170151,36681151.0,219.9,272.9,129.6,2024-12-16T14:59:56.07484,215.6,603,215.57,56542.96
3,2024-12-17,142,KBL,Kumari Bank Limited,217.0,218.4,213.0,215.0,137237,29613909.8,215.6,272.9,129.6,2024-12-17T14:59:59.667861,215.0,468,215.78,56385.6
91,2024-12-18,142,KBL,Kumari Bank Limited,215.1,218.0,213.0,213.7,121161,26020700.8,215.0,272.9,129.6,2024-12-18T14:59:59.670934,213.7,406,214.76,56044.67
10,2024-12-19,142,KBL,Kumari Bank Limited,212.3,216.0,211.0,211.2,123891,26307044.3,213.7,272.9,129.6,2024-12-19T14:59:57.362794,211.2,493,212.34,55389.02
10,2024-12-22,142,KBL,Kumari Bank Limited,207.0,214.9,207.0,209.1,140012,29365074.0,211.2,272.9,129.6,2024-12-22T14:59:55.12244,209.1,506,209.73,54838.28
30,2024-12-23,142,KBL,Kumari Bank Limited,211.5,211.9,208.2,211.9,124211,26106734.7,209.1,272.9,129.6,2024-12-23T14:59:59.687408,211.9,418,210.18,55572.6
4,2024-12-24,142,KBL,Kumari Bank Limited,214.0,215.6,210.0,215.6,158037,33733963.5,211.9,272.9,129.6,2024-12-24T14:59:57.382054,215.6,596,213.45,56542.96
32,2024-12-26,142,KBL,Kumari Bank Limited,215.6,225.0,211.7,221.0,674638,148938883.1,215.6,272.9,129.6,2024-12-26T14:59:57.638984,221.0,1518,220.76,57959.15
35,2024-12-29,142,KBL,Kumari Bank Limited,224.0,225.4,218.7,219.3,496350,110558204.2,221.0,272.9,129.6,2024-12-29T14:59:53.556053,219.3,977,222.74,57513.31
