Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
174,2024-11-27,2885,KBLD86,10.25% KBL Debenture 2086,1163.3,1163.3,1095.0,1161.9,885,971787.0,1187.0,1187.0,974.0,2024-11-27T14:48:33.653091,1161.9,9,1098.06,3485.7
140,2024-12-01,2885,KBLD86,10.25% KBL Debenture 2086,1185.0,1232.8,1185.0,1209.0,925,1137496.0,1161.9,1232.8,974.0,2024-12-01T14:57:09.138266,1209.0,11,1229.72,3627.0
164,2024-12-02,2885,KBLD86,10.25% KBL Debenture 2086,1184.9,1184.9,1138.1,1207.6,375,429199.5,1209.0,1232.8,974.0,2024-12-02T13:20:39.258335,1207.6,7,1144.53,3622.8
173,2024-12-04,2885,KBLD86,10.25% KBL Debenture 2086,1185.0,1185.0,1115.4,1185.0,940,1057004.0,1207.6,1232.8,974.0,2024-12-04T13:30:48.694135,1185.0,14,1124.47,3555.0
164,2024-12-05,2885,KBLD86,10.25% KBL Debenture 2086,1208.7,1257.4,1208.7,1183.6,335,419266.0,1185.0,1257.4,974.0,2024-12-05T11:28:44.819509,1183.6,7,1251.54,3550.8
168,2024-12-08,2885,KBLD86,10.25% KBL Debenture 2086,1207.2,1231.3,1170.0,1170.0,930,1142351.0,1183.6,1257.4,974.0,2024-12-08T12:29:43.593355,1170.0,12,1228.33,3510.0
117,2024-12-18,2885,KBLD86,10.25% KBL Debenture 2086,1146.6,1146.6,1146.6,1146.6,25,28665.0,1170.0,1257.4,974.0,2024-12-18T14:33:00.208343,1146.6,2,1146.6,3439.8
167,2024-12-19,2885,KBLD86,10.25% KBL Debenture 2086,1146.6,1146.6,1146.6,1146.6,25,28665.0,1146.6,1257.4,974.0,2024-12-19T11:34:32.080534,1146.6,1,1146.6,3439.8
170,2024-12-22,2885,KBLD86,10.25% KBL Debenture 2086,1142.5,1142.5,1127.0,1127.0,140,158962.5,1146.6,1257.4,974.0,2024-12-22T14:46:51.422482,1127.0,7,1135.44,3381.0
168,2024-12-24,2885,KBLD86,10.25% KBL Debenture 2086,1136.1,1136.1,1136.1,1136.1,1240,1408764.0,1127.0,1257.4,974.0,2024-12-24T12:47:26.318098,1136.1,3,1136.1,3408.3
