Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
228,2024-11-25,8074,KDBY,Kumari Dhanabriddhi Yojana,9.41,9.5,9.41,9.47,4100,38846.0,9.55,11.0,7.31,2024-11-25T14:46:59.36969,9.47,20,9.47,37.88
256,2024-11-26,8074,KDBY,Kumari Dhanabriddhi Yojana,9.31,9.57,9.31,9.4,4200,39488.0,9.47,11.0,7.31,2024-11-26T14:46:10.793778,9.4,28,9.4,37.6
234,2024-11-27,8074,KDBY,Kumari Dhanabriddhi Yojana,9.4,9.77,9.37,9.45,8900,84030.0,9.4,11.0,7.31,2024-11-27T14:58:23.707162,9.45,21,9.44,37.8
237,2024-11-28,8074,KDBY,Kumari Dhanabriddhi Yojana,9.34,9.63,9.34,9.49,4500,42565.0,9.45,11.0,7.32,2024-11-28T14:45:27.487572,9.49,19,9.45,37.96
227,2024-12-01,8074,KDBY,Kumari Dhanabriddhi Yojana,9.31,9.7,9.31,9.7,3100,29165.0,9.49,11.0,7.32,2024-12-01T14:59:25.441714,9.7,20,9.4,38.8
230,2024-12-02,8074,KDBY,Kumari Dhanabriddhi Yojana,9.8,9.85,9.32,9.85,2400,22933.0,9.7,11.0,7.5,2024-12-02T14:23:32.321393,9.85,21,9.55,39.4
226,2024-12-03,8074,KDBY,Kumari Dhanabriddhi Yojana,9.66,9.67,9.34,9.66,16400,158263.0,9.85,11.0,7.5,2024-12-03T14:56:18.780395,9.66,31,9.65,38.64
238,2024-12-04,8074,KDBY,Kumari Dhanabriddhi Yojana,9.47,9.51,9.41,9.48,3100,29425.0,9.66,11.0,7.6,2024-12-04T14:51:32.21297,9.48,17,9.49,37.92
227,2024-12-05,8074,KDBY,Kumari Dhanabriddhi Yojana,9.6,9.79,9.5,9.75,23300,227214.5,9.48,11.0,7.6,2024-12-05T14:58:38.499085,9.75,29,9.75,39.0
234,2024-12-08,8074,KDBY,Kumari Dhanabriddhi Yojana,9.56,9.69,9.41,9.5,2700,25642.0,9.75,11.0,7.6,2024-12-08T14:51:59.519227,9.5,18,9.49,38.0
230,2024-12-09,8074,KDBY,Kumari Dhanabriddhi Yojana,9.32,9.51,9.32,9.48,1100,10389.0,9.5,11.0,7.6,2024-12-09T13:48:53.784999,9.48,11,9.44,37.92
222,2024-12-10,8074,KDBY,Kumari Dhanabriddhi Yojana,9.4,9.53,9.4,9.53,4430,42155.9,9.48,11.0,7.6,2024-12-10T14:55:26.008111,9.53,19,9.51,38.12
224,2024-12-11,8074,KDBY,Kumari Dhanabriddhi Yojana,9.34,9.55,9.32,9.55,4660,44185.0,9.53,11.0,7.6,2024-12-11T14:56:18.146179,9.55,25,9.48,38.2
205,2024-12-12,8074,KDBY,Kumari Dhanabriddhi Yojana,9.36,9.66,9.36,9.66,25705,244413.05,9.55,11.0,7.6,2024-12-12T14:59:24.156534,9.66,27,9.5,38.64
234,2024-12-16,8074,KDBY,Kumari Dhanabriddhi Yojana,9.47,9.5,9.47,9.5,3000,28413.0,9.66,11.0,8.0,2024-12-16T14:52:21.512731,9.5,17,9.47,38.0
188,2024-12-17,8074,KDBY,Kumari Dhanabriddhi Yojana,9.31,9.48,9.15,9.48,10400,96717.0,9.5,11.0,8.03,2024-12-17T14:34:50.454439,9.48,19,9.29,37.92
263,2024-12-18,8074,KDBY,Kumari Dhanabriddhi Yojana,9.4,9.48,9.4,9.46,2400,22689.0,9.48,11.0,8.03,2024-12-18T14:59:18.176798,9.46,14,9.45,37.84
227,2024-12-19,8074,KDBY,Kumari Dhanabriddhi Yojana,9.45,9.45,9.28,9.37,1200,11254.0,9.46,11.0,8.03,2024-12-19T14:52:37.798053,9.37,11,9.37,37.48
231,2024-12-22,8074,KDBY,Kumari Dhanabriddhi Yojana,9.19,9.45,9.19,9.34,15700,147177.0,9.37,11.0,8.03,2024-12-22T14:54:16.828737,9.34,29,9.37,37.36
231,2024-12-23,8074,KDBY,Kumari Dhanabriddhi Yojana,9.16,9.48,9.03,9.48,1700,15583.0,9.34,11.0,8.15,2024-12-23T14:50:53.389467,9.48,16,9.16,37.92
262,2024-12-24,8074,KDBY,Kumari Dhanabriddhi Yojana,9.4,9.4,9.4,9.4,5200,48880.0,9.48,11.0,8.15,2024-12-24T14:56:07.185902,9.4,17,9.4,37.6
196,2024-12-26,8074,KDBY,Kumari Dhanabriddhi Yojana,9.22,9.41,9.05,9.23,2400,22061.0,9.4,11.0,8.15,2024-12-26T14:59:45.923771,9.23,23,9.19,36.92
277,2024-12-29,8074,KDBY,Kumari Dhanabriddhi Yojana,9.05,9.55,9.05,9.55,4200,38729.0,9.23,11.0,8.15,2024-12-29T14:58:28.458691,9.55,27,9.22,38.2
