Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
180,2024-11-25,2933,KEF,Kumari Equity Fund,9.12,9.3,9.12,9.23,5400,49762.0,9.3,10.76,7.17,2024-11-25T14:34:36.768809,9.23,16,9.21,923.0
206,2024-11-26,2933,KEF,Kumari Equity Fund,9.19,9.4,9.18,9.22,14680,136138.9,9.23,10.76,7.17,2024-11-26T14:57:22.967347,9.22,34,9.27,922.0
194,2024-11-27,2933,KEF,Kumari Equity Fund,9.25,9.4,9.12,9.21,29600,274359.0,9.22,10.76,7.17,2024-11-27T14:45:37.577021,9.21,18,9.26,921.0
197,2024-11-28,2933,KEF,Kumari Equity Fund,9.05,9.3,9.05,9.16,4625,42470.25,9.21,10.76,7.17,2024-11-28T14:24:30.36542,9.16,20,9.18,916.0
210,2024-12-01,2933,KEF,Kumari Equity Fund,8.99,9.16,8.99,9.0,30000,270592.8,9.16,10.76,7.17,2024-12-01T14:57:48.838258,9.0,28,9.01,900.0
185,2024-12-02,2933,KEF,Kumari Equity Fund,8.87,9.4,8.87,9.09,37700,349726.0,9.0,10.76,7.17,2024-12-02T14:59:33.264201,9.09,18,9.27,909.0
187,2024-12-03,2933,KEF,Kumari Equity Fund,9.0,9.23,8.96,9.1,5650,51387.5,9.09,10.76,7.17,2024-12-03T14:42:04.383137,9.1,13,9.09,910.0
194,2024-12-04,2933,KEF,Kumari Equity Fund,9.28,9.28,9.0,9.0,1519,13762.32,9.1,10.76,7.17,2024-12-04T14:57:20.903743,9.0,9,9.06,900.0
186,2024-12-05,2933,KEF,Kumari Equity Fund,9.0,9.25,9.0,9.25,25762,237390.4,9.0,10.76,7.39,2024-12-05T14:56:40.76954,9.25,28,9.21,925.0
186,2024-12-08,2933,KEF,Kumari Equity Fund,9.08,9.26,9.08,9.26,7820,71648.6,9.25,10.76,7.5,2024-12-08T14:59:42.606614,9.26,19,9.16,926.0
187,2024-12-09,2933,KEF,Kumari Equity Fund,9.44,9.44,9.09,9.26,6200,57987.0,9.26,10.76,7.5,2024-12-09T14:16:55.391964,9.26,13,9.35,926.0
182,2024-12-10,2933,KEF,Kumari Equity Fund,9.25,9.25,9.08,9.08,3100,28343.0,9.26,10.76,7.5,2024-12-10T14:54:51.397881,9.08,13,9.14,908.0
182,2024-12-11,2933,KEF,Kumari Equity Fund,9.01,9.37,9.01,9.11,9215,83877.9,9.08,10.76,7.5,2024-12-11T14:56:13.307493,9.11,16,9.1,911.0
186,2024-12-12,2933,KEF,Kumari Equity Fund,9.1,9.15,9.0,9.02,23300,211478.6,9.11,10.76,7.5,2024-12-12T14:57:48.863953,9.02,24,9.07,902.0
200,2024-12-16,2933,KEF,Kumari Equity Fund,8.85,9.18,8.74,9.02,19350,175706.5,9.02,10.76,7.5,2024-12-16T14:48:40.830474,9.02,13,9.08,902.0
217,2024-12-17,2933,KEF,Kumari Equity Fund,9.2,9.38,9.02,9.04,17710,163341.0,9.02,10.76,7.5,2024-12-17T14:52:20.007778,9.04,22,9.22,904.0
127,2024-12-18,2933,KEF,Kumari Equity Fund,8.86,9.03,8.86,9.0,6730,60614.4,9.04,10.76,7.5,2024-12-18T14:58:17.405627,9.0,16,9.0,900.0
186,2024-12-19,2933,KEF,Kumari Equity Fund,9.18,9.18,9.0,9.0,101893,917165.0,9.0,10.76,7.5,2024-12-19T14:58:07.524812,9.0,19,9.0,900.0
190,2024-12-22,2933,KEF,Kumari Equity Fund,8.82,9.18,8.81,8.83,6425,57226.5,9.0,10.76,7.5,2024-12-22T14:27:29.171926,8.83,18,8.9,883.0
209,2024-12-23,2933,KEF,Kumari Equity Fund,8.68,9.25,8.68,9.25,8220,73720.8,8.83,10.76,7.5,2024-12-23T14:59:52.100543,9.25,13,8.96,925.0
180,2024-12-24,2933,KEF,Kumari Equity Fund,9.2,9.25,8.93,9.18,7850,71269.0,9.25,10.76,7.5,2024-12-24T14:57:47.503094,9.18,19,9.07,918.0
173,2024-12-26,2933,KEF,Kumari Equity Fund,9.0,9.36,8.91,8.92,4375,40285.0,9.18,10.76,7.5,2024-12-26T14:57:48.292734,8.92,8,9.2,892.0
190,2024-12-29,2933,KEF,Kumari Equity Fund,8.76,8.98,8.76,8.85,13100,116179.0,8.92,10.76,7.5,2024-12-29T14:32:43.281156,8.85,20,8.86,885.0
