Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
115,2024-11-25,2751,KKHC,Khanikhola Hydropower Co. Ltd.,286.0,292.0,283.0,287.9,15275,4399154.4,286.0,334.5,172.9,2024-11-25T14:59:35.765676,287.9,101,287.99,1340.79
117,2024-11-26,2751,KKHC,Khanikhola Hydropower Co. Ltd.,293.6,297.4,290.0,296.9,23181,6804577.7,287.9,334.5,172.9,2024-11-26T14:59:58.237376,296.9,134,293.54,1382.71
115,2024-11-27,2751,KKHC,Khanikhola Hydropower Co. Ltd.,302.0,303.0,298.0,303.0,40314,12138526.1,296.9,334.5,172.9,2024-11-27T14:59:55.762762,303.0,218,301.09,1411.11
125,2024-11-28,2751,KKHC,Khanikhola Hydropower Co. Ltd.,309.0,309.0,294.0,295.0,28769,8608708.0,303.0,334.5,172.9,2024-11-28T14:59:58.660775,295.0,162,299.23,1373.86
78,2024-12-01,2751,KKHC,Khanikhola Hydropower Co. Ltd.,295.0,295.0,288.0,293.0,25358,7365268.7,295.0,334.5,172.9,2024-12-01T14:59:20.230493,293.0,121,290.45,1364.54
114,2024-12-02,2751,KKHC,Khanikhola Hydropower Co. Ltd.,298.5,322.3,298.0,322.3,130726,41526019.6,293.0,334.5,172.9,2024-12-02T14:59:16.692536,322.3,360,317.65,1501.0
115,2024-12-03,2751,KKHC,Khanikhola Hydropower Co. Ltd.,328.7,354.5,328.7,354.5,55181,19529912.7,322.3,354.5,172.9,2024-12-03T14:59:55.081204,354.5,261,353.92,1650.96
115,2024-12-04,2751,KKHC,Khanikhola Hydropower Co. Ltd.,361.5,389.9,361.5,389.9,453578,173478305.1,354.5,389.9,172.9,2024-12-04T14:59:49.744434,389.9,1570,382.46,1815.82
112,2024-12-05,2751,KKHC,Khanikhola Hydropower Co. Ltd.,397.6,428.8,391.0,428.8,316522,132693170.1,389.9,428.8,178.0,2024-12-05T14:59:10.921088,428.8,1693,419.22,1996.98
117,2024-12-08,2751,KKHC,Khanikhola Hydropower Co. Ltd.,430.0,471.6,397.7,471.6,327937,137812709.4,428.8,471.6,186.1,2024-12-08T14:59:56.239943,471.6,1437,420.24,2196.31
113,2024-12-09,2751,KKHC,Khanikhola Hydropower Co. Ltd.,462.2,462.2,424.5,432.9,178926,76178518.5,471.6,471.6,191.5,2024-12-09T14:59:57.312014,432.9,687,425.75,2016.08
112,2024-12-10,2751,KKHC,Khanikhola Hydropower Co. Ltd.,424.3,475.0,399.5,465.5,212195,90715859.1,432.9,475.0,191.5,2024-12-10T14:59:59.661773,465.5,936,427.51,2167.9
112,2024-12-11,2751,KKHC,Khanikhola Hydropower Co. Ltd.,456.2,456.2,419.0,419.0,146490,61932934.0,465.5,475.0,191.5,2024-12-11T14:59:57.707945,419.0,645,422.77,1951.34
122,2024-12-12,2751,KKHC,Khanikhola Hydropower Co. Ltd.,417.0,417.5,391.0,400.0,128534,52450155.6,419.0,475.0,191.5,2024-12-12T14:59:47.191168,400.0,546,408.06,1862.86
116,2024-12-16,2751,KKHC,Khanikhola Hydropower Co. Ltd.,393.0,424.3,393.0,406.9,182652,73847640.9,400.0,475.0,200.2,2024-12-16T14:59:59.123379,406.9,771,404.3,1894.99
145,2024-12-17,2751,KKHC,Khanikhola Hydropower Co. Ltd.,399.0,414.0,383.3,397.9,171383,68109167.4,406.9,475.0,200.2,2024-12-17T14:59:58.328624,397.9,505,397.4,1853.08
63,2024-12-18,2751,KKHC,Khanikhola Hydropower Co. Ltd.,405.8,405.8,385.0,395.9,82073,32339815.8,397.9,475.0,200.2,2024-12-18T14:59:59.891891,395.9,344,394.03,1843.76
115,2024-12-19,2751,KKHC,Khanikhola Hydropower Co. Ltd.,390.0,397.8,377.0,380.0,79949,30568696.1,395.9,475.0,200.2,2024-12-19T14:59:59.143595,380.0,415,382.35,1769.71
116,2024-12-22,2751,KKHC,Khanikhola Hydropower Co. Ltd.,374.0,385.0,369.2,378.0,58911,22104897.7,380.0,475.0,200.2,2024-12-22T14:59:57.920052,378.0,322,375.22,1760.4
113,2024-12-23,2751,KKHC,Khanikhola Hydropower Co. Ltd.,371.1,390.0,368.0,390.0,74215,27984007.8,378.0,475.0,200.2,2024-12-23T14:59:58.172283,390.0,348,377.06,1816.29
142,2024-12-24,2751,KKHC,Khanikhola Hydropower Co. Ltd.,391.9,399.9,383.4,388.5,76640,29925041.0,390.0,475.0,200.2,2024-12-24T14:59:58.146862,388.5,375,390.46,1809.3
142,2024-12-26,2751,KKHC,Khanikhola Hydropower Co. Ltd.,388.5,392.7,380.8,388.0,54860,21191179.2,388.5,475.0,200.2,2024-12-26T14:59:54.63525,388.0,276,386.27,1806.97
118,2024-12-29,2751,KKHC,Khanikhola Hydropower Co. Ltd.,382.0,383.0,366.0,367.9,55983,20924061.0,388.0,475.0,200.2,2024-12-29T14:59:59.678576,367.9,297,373.75,1713.36
