Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
133,2024-10-15,2787,KPCL,Kalika power Company Ltd,484.3,495.0,484.3,495.0,260,127628.1,493.0,606.9,272.4,2024-10-15T14:47:49.919358,495.0,10,490.87,4320.61
135,2024-10-16,2787,KPCL,Kalika power Company Ltd,504.8,510.0,489.0,505.0,14118,7084934.9,495.0,606.9,284.0,2024-10-16T14:59:53.586001,505.0,112,501.83,4407.89
135,2024-10-17,2787,KPCL,Kalika power Company Ltd,505.0,514.0,495.0,506.0,13507,6842004.9,505.0,606.9,285.0,2024-10-17T14:59:54.745949,506.0,82,506.55,4416.62
136,2024-10-20,2787,KPCL,Kalika power Company Ltd,495.9,505.8,487.0,497.7,11661,5787165.5,506.0,606.9,285.0,2024-10-20T14:59:59.363388,497.7,76,496.28,4344.17
136,2024-10-21,2787,KPCL,Kalika power Company Ltd,488.0,489.0,480.2,489.0,4447,2154376.8,497.7,606.9,285.0,2024-10-21T14:59:55.139756,489.0,49,484.45,4268.24
135,2024-10-22,2787,KPCL,Kalika power Company Ltd,489.0,515.0,479.5,493.8,2956,1444373.4,489.0,606.9,285.0,2024-10-22T14:59:58.603767,493.8,59,488.62,4310.13
136,2024-10-23,2787,KPCL,Kalika power Company Ltd,495.0,500.0,485.1,493.0,7426,3630587.1,493.8,606.9,285.0,2024-10-23T14:59:57.039004,493.0,62,488.9,4303.15
136,2024-10-24,2787,KPCL,Kalika power Company Ltd,483.2,502.7,483.2,497.0,6955,3389442.0,493.0,606.9,285.0,2024-10-24T14:59:59.567848,497.0,38,487.33,4338.06
137,2024-10-27,2787,KPCL,Kalika power Company Ltd,506.0,506.0,486.0,493.0,1185,577994.0,497.0,606.9,285.0,2024-10-27T14:59:57.261254,493.0,28,487.75,4303.15
133,2024-10-28,2787,KPCL,Kalika power Company Ltd,502.0,502.8,486.1,500.0,3518,1746905.4,493.0,606.9,285.0,2024-10-28T14:59:59.658712,500.0,43,496.56,4364.25
134,2024-10-29,2787,KPCL,Kalika power Company Ltd,507.9,510.0,490.0,505.8,22204,11142183.3,500.0,606.9,285.0,2024-10-29T14:59:58.464042,505.8,112,501.8,4414.88
134,2024-10-30,2787,KPCL,Kalika power Company Ltd,498.0,513.0,496.1,500.0,7615,3822798.2,505.8,606.9,285.0,2024-10-30T14:59:55.796175,500.0,79,502.0,4364.25
133,2024-11-05,2787,KPCL,Kalika power Company Ltd,495.0,524.0,495.0,508.0,6566,3352675.0,500.0,606.9,289.0,2024-11-05T14:59:57.773509,508.0,59,510.61,4434.08
136,2024-11-06,2787,KPCL,Kalika power Company Ltd,500.2,514.0,500.0,500.0,16788,8505848.1,508.0,606.9,289.0,2024-11-06T14:59:58.234325,500.0,70,506.66,4364.25
135,2024-11-10,2787,KPCL,Kalika power Company Ltd,500.0,537.5,495.0,537.5,34265,17771670.9,500.0,606.9,289.0,2024-11-10T14:59:59.584971,537.5,227,518.65,4691.57
136,2024-11-11,2787,KPCL,Kalika power Company Ltd,532.0,541.9,522.0,537.9,24323,12980326.2,537.5,606.9,289.0,2024-11-11T14:59:58.295694,537.9,166,533.66,4695.06
136,2024-11-12,2787,KPCL,Kalika power Company Ltd,538.0,548.0,519.0,532.0,12539,6666794.8,537.9,606.9,289.0,2024-11-12T14:59:55.225458,532.0,121,531.68,4643.56
137,2024-11-13,2787,KPCL,Kalika power Company Ltd,532.0,532.0,520.0,520.0,10191,5339418.4,532.0,606.9,289.0,2024-11-13T14:59:28.306148,520.0,98,523.93,4538.82
137,2024-11-14,2787,KPCL,Kalika power Company Ltd,530.0,561.0,518.0,539.0,26796,14401207.2,520.0,606.9,289.0,2024-11-14T14:58:01.497101,539.0,203,537.43,4704.66
136,2024-11-17,2787,KPCL,Kalika power Company Ltd,545.0,554.0,538.0,548.0,40085,21841344.2,539.0,606.9,289.0,2024-11-17T14:59:58.628148,548.0,182,544.87,4783.22
137,2024-11-19,2787,KPCL,Kalika power Company Ltd,555.0,555.0,522.1,523.0,16823,8887279.9,548.0,606.9,289.0,2024-11-19T14:59:52.328105,523.0,122,528.28,4565.01
136,2024-11-20,2787,KPCL,Kalika power Company Ltd,516.0,532.0,516.0,530.0,6630,3499677.2,523.0,606.9,296.0,2024-11-20T14:59:53.371894,530.0,76,527.85,4626.1
137,2024-11-21,2787,KPCL,Kalika power Company Ltd,535.0,536.0,526.0,530.0,16935,8993792.2,530.0,606.9,296.0,2024-11-21T14:59:57.23139,530.0,101,531.07,4626.1
138,2024-11-24,2787,KPCL,Kalika power Company Ltd,520.3,537.0,520.2,531.9,12239,6477517.0,530.0,606.9,300.0,2024-11-24T14:59:25.361663,531.9,83,529.25,4642.69
152,2024-11-25,2787,KPCL,Kalika power Company Ltd,524.0,533.0,523.0,528.1,7479,3947319.4,531.9,606.9,300.0,2024-11-25T14:54:28.613011,528.1,53,527.78,4609.52
127,2024-11-26,2787,KPCL,Kalika power Company Ltd,535.0,559.0,535.0,555.0,58311,32095941.7,528.1,606.9,300.0,2024-11-26T14:59:55.525331,555.0,304,550.42,4844.32
136,2024-11-27,2787,KPCL,Kalika power Company Ltd,559.9,560.0,550.0,555.0,31898,17722144.8,555.0,606.9,300.0,2024-11-27T14:59:56.355539,555.0,150,555.58,4844.32
135,2024-11-28,2787,KPCL,Kalika power Company Ltd,555.0,558.7,546.0,547.0,28329,15631139.9,555.0,606.9,300.0,2024-11-28T14:59:50.401979,547.0,110,551.77,4774.49
161,2024-12-01,2787,KPCL,Kalika power Company Ltd,537.0,548.0,536.1,545.0,35057,18971911.2,547.0,606.9,300.0,2024-12-01T14:59:58.495624,545.0,98,541.17,4757.03
135,2024-12-02,2787,KPCL,Kalika power Company Ltd,536.7,554.0,536.6,547.9,46622,25611124.3,545.0,606.9,300.0,2024-12-02T14:59:54.91318,547.9,107,549.33,4782.35
