Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
75,2024-10-15,459,KSBBL,Kamana Sewa Bikas Bank Limited,454.0,471.0,454.0,470.0,23105,10730274.9,462.0,564.8,284.7,2024-10-15T14:59:32.62047,470.0,102,464.41,16500.98
76,2024-10-16,459,KSBBL,Kamana Sewa Bikas Bank Limited,470.0,477.0,470.0,473.4,20621,9772054.4,470.0,564.8,284.7,2024-10-16T14:59:56.565281,473.4,98,473.88,16620.35
76,2024-10-17,459,KSBBL,Kamana Sewa Bikas Bank Limited,478.0,481.9,471.0,476.5,36122,17274895.5,473.4,564.8,284.7,2024-10-17T14:59:37.658774,476.5,161,478.23,16729.18
77,2024-10-20,459,KSBBL,Kamana Sewa Bikas Bank Limited,472.0,478.0,458.0,458.0,42699,20008372.0,476.5,564.8,284.7,2024-10-20T14:58:56.440126,458.0,165,468.59,16079.68
78,2024-10-21,459,KSBBL,Kamana Sewa Bikas Bank Limited,458.0,458.0,445.1,446.1,21709,9753915.7,458.0,564.8,284.7,2024-10-21T14:59:47.964146,446.1,173,449.3,15661.89
76,2024-10-22,459,KSBBL,Kamana Sewa Bikas Bank Limited,445.0,457.9,445.0,451.0,17514,7881966.2,446.1,564.8,284.7,2024-10-22T14:59:59.030718,451.0,104,450.03,15833.92
77,2024-10-23,459,KSBBL,Kamana Sewa Bikas Bank Limited,460.0,464.8,445.0,448.0,24223,10957705.6,451.0,564.8,284.7,2024-10-23T14:59:58.068049,448.0,117,452.36,15728.59
76,2024-10-24,459,KSBBL,Kamana Sewa Bikas Bank Limited,445.0,456.0,440.1,456.0,24007,10733625.0,448.0,564.8,284.7,2024-10-24T14:59:34.493225,456.0,166,447.1,16009.46
77,2024-10-27,459,KSBBL,Kamana Sewa Bikas Bank Limited,447.1,455.0,446.9,449.2,14437,6473851.5,456.0,564.8,284.7,2024-10-27T14:59:58.999326,449.2,95,448.42,15770.72
75,2024-10-28,459,KSBBL,Kamana Sewa Bikas Bank Limited,458.0,458.0,447.1,453.0,11268,5075295.0,449.2,564.8,284.7,2024-10-28T14:59:55.336113,453.0,77,450.41,15904.13
75,2024-10-29,459,KSBBL,Kamana Sewa Bikas Bank Limited,457.0,460.9,452.1,459.0,17261,7920891.5,453.0,564.8,284.7,2024-10-29T14:59:09.645845,459.0,128,458.88,16114.78
76,2024-10-30,459,KSBBL,Kamana Sewa Bikas Bank Limited,462.0,463.0,457.2,459.0,14473,6650982.7,459.0,564.8,284.7,2024-10-30T14:59:53.666805,459.0,86,459.54,16114.78
75,2024-11-05,459,KSBBL,Kamana Sewa Bikas Bank Limited,456.0,459.8,451.1,456.0,5727,2605867.5,459.0,564.8,284.7,2024-11-05T14:59:50.161847,456.0,55,455.01,16009.46
76,2024-11-06,459,KSBBL,Kamana Sewa Bikas Bank Limited,459.0,459.8,451.3,455.0,14163,6453648.5,456.0,564.8,284.7,2024-11-06T14:59:52.88298,455.0,81,455.66,15974.35
77,2024-11-10,459,KSBBL,Kamana Sewa Bikas Bank Limited,455.1,469.0,455.1,466.9,26223,12150268.3,455.0,564.8,284.7,2024-11-10T14:59:49.026296,466.9,151,463.34,16392.14
76,2024-11-11,459,KSBBL,Kamana Sewa Bikas Bank Limited,468.1,475.0,463.5,469.0,52489,24622688.3,466.9,564.8,284.7,2024-11-11T14:59:58.654932,469.0,240,469.1,16465.87
76,2024-11-12,459,KSBBL,Kamana Sewa Bikas Bank Limited,462.0,475.0,462.0,466.0,27927,13030726.7,469.0,564.8,284.7,2024-11-12T14:59:58.202626,466.0,144,466.59,16360.54
77,2024-11-13,459,KSBBL,Kamana Sewa Bikas Bank Limited,467.5,474.0,462.5,473.4,32344,15121586.5,466.0,564.8,284.7,2024-11-13T14:59:43.997758,473.4,152,467.52,16620.35
76,2024-11-14,459,KSBBL,Kamana Sewa Bikas Bank Limited,473.0,488.5,472.0,482.0,59107,28590720.9,473.4,564.8,284.7,2024-11-14T14:59:54.568042,482.0,268,483.71,16922.28
75,2024-11-17,459,KSBBL,Kamana Sewa Bikas Bank Limited,484.0,489.0,480.0,480.0,38964,18799528.9,482.0,564.8,284.7,2024-11-17T14:58:50.593624,480.0,194,482.48,16852.06
77,2024-11-19,459,KSBBL,Kamana Sewa Bikas Bank Limited,478.1,478.1,465.0,466.9,46906,21982672.2,480.0,564.8,285.1,2024-11-19T14:59:03.550458,466.9,176,468.65,16392.14
76,2024-11-20,459,KSBBL,Kamana Sewa Bikas Bank Limited,466.6,481.0,461.0,477.0,39819,18785726.5,466.9,564.8,285.1,2024-11-20T14:59:40.000819,477.0,201,471.77,16746.74
77,2024-11-21,459,KSBBL,Kamana Sewa Bikas Bank Limited,482.0,485.0,464.0,464.0,27269,12878449.7,477.0,564.8,288.0,2024-11-21T14:59:59.644061,464.0,136,472.27,16290.33
77,2024-11-24,459,KSBBL,Kamana Sewa Bikas Bank Limited,464.1,467.0,460.0,460.0,18702,8636567.4,464.0,564.8,288.0,2024-11-24T14:59:47.88182,460.0,105,461.79,16149.89
68,2024-11-25,459,KSBBL,Kamana Sewa Bikas Bank Limited,460.0,468.0,460.0,461.0,10065,4657614.2,460.0,564.8,288.0,2024-11-25T14:59:41.302342,461.0,70,462.75,16185.0
65,2024-11-26,459,KSBBL,Kamana Sewa Bikas Bank Limited,465.0,469.0,458.2,466.0,22045,10201559.7,461.0,564.8,288.0,2024-11-26T14:59:59.091358,466.0,114,462.76,16360.54
76,2024-11-27,459,KSBBL,Kamana Sewa Bikas Bank Limited,467.1,476.0,465.0,471.0,32734,15439523.3,466.0,564.8,288.0,2024-11-27T14:59:48.225247,471.0,154,471.66,16536.09
91,2024-11-28,459,KSBBL,Kamana Sewa Bikas Bank Limited,479.0,489.6,475.0,475.0,62848,30283565.0,471.0,564.8,288.0,2024-11-28T14:59:40.943334,475.0,283,481.85,16676.52
95,2024-12-01,459,KSBBL,Kamana Sewa Bikas Bank Limited,471.0,510.0,465.5,498.0,158817,78032083.1,475.0,564.8,288.0,2024-12-01T14:59:59.115647,498.0,658,491.33,17484.01
76,2024-12-02,459,KSBBL,Kamana Sewa Bikas Bank Limited,507.9,525.0,484.0,493.0,158031,79681451.7,498.0,564.8,288.0,2024-12-02T14:59:55.921537,493.0,721,504.21,17308.47
76,2024-12-03,459,KSBBL,Kamana Sewa Bikas Bank Limited,502.0,522.0,486.0,494.0,50257,24827744.2,493.0,564.8,288.0,2024-12-03T14:59:56.863812,494.0,232,494.01,17343.58
76,2024-12-04,459,KSBBL,Kamana Sewa Bikas Bank Limited,492.0,495.0,486.0,486.0,49513,24304858.0,494.0,564.8,288.1,2024-12-04T14:59:42.573862,486.0,174,490.87,17062.71
76,2024-12-05,459,KSBBL,Kamana Sewa Bikas Bank Limited,490.0,490.0,476.5,479.0,54126,26075860.7,486.0,564.8,288.2,2024-12-05T14:59:59.815101,479.0,197,481.76,16816.95
76,2024-12-08,459,KSBBL,Kamana Sewa Bikas Bank Limited,470.0,482.7,468.0,469.0,49973,23625493.7,479.0,564.8,302.0,2024-12-08T14:59:51.222712,469.0,368,472.76,16465.87
75,2024-12-09,459,KSBBL,Kamana Sewa Bikas Bank Limited,459.7,477.0,455.0,460.0,38622,17853081.9,469.0,564.8,302.0,2024-12-09T14:59:48.87247,460.0,231,462.25,16149.89
75,2024-12-10,459,KSBBL,Kamana Sewa Bikas Bank Limited,452.3,469.0,452.2,461.0,17831,8188605.4,460.0,564.8,304.5,2024-12-10T14:59:27.037244,461.0,147,459.23,16185.0
75,2024-12-11,459,KSBBL,Kamana Sewa Bikas Bank Limited,455.0,468.0,455.0,465.0,19054,8800052.7,461.0,564.8,311.0,2024-12-11T14:59:58.109942,465.0,165,461.84,16325.44
56,2024-12-12,459,KSBBL,Kamana Sewa Bikas Bank Limited,465.1,469.0,450.0,456.0,18708,8586853.8,465.0,564.8,311.0,2024-12-12T14:59:59.319517,456.0,156,458.99,16009.46
87,2024-12-16,459,KSBBL,Kamana Sewa Bikas Bank Limited,448.2,456.0,438.1,448.4,36511,16412555.4,456.0,564.8,311.0,2024-12-16T14:59:56.210648,448.4,152,449.52,15742.63
101,2024-12-17,459,KSBBL,Kamana Sewa Bikas Bank Limited,441.6,453.0,441.0,449.0,18643,8357060.9,448.4,564.8,311.0,2024-12-17T14:59:59.365822,449.0,121,448.26,15763.7
44,2024-12-18,459,KSBBL,Kamana Sewa Bikas Bank Limited,442.2,452.7,442.2,444.0,35168,15739264.8,449.0,564.8,311.0,2024-12-18T14:59:52.520936,444.0,115,447.54,15588.16
