Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
305,2024-10-15,9241,KSY,Kumari Sabal Yojana,9.04,9.04,9.04,9.04,200,1808.0,9.22,10.91,7.77,2024-10-15T12:59:37.815788,9.04,2,9.04,673.25
317,2024-10-16,9241,KSY,Kumari Sabal Yojana,9.2,9.2,9.04,9.04,600,5440.0,9.04,10.91,7.77,2024-10-16T14:20:21.396927,9.04,4,9.06,673.25
313,2024-10-17,9241,KSY,Kumari Sabal Yojana,8.91,9.04,8.9,9.04,700,6301.0,9.04,10.91,7.77,2024-10-17T14:01:12.591695,9.04,5,9.0,673.25
313,2024-10-20,9241,KSY,Kumari Sabal Yojana,8.86,9.22,8.86,9.06,7350,66466.0,9.04,10.91,7.77,2024-10-20T14:26:28.577744,9.06,12,9.04,674.74
316,2024-10-21,9241,KSY,Kumari Sabal Yojana,9.2,9.2,9.02,9.2,2675,24291.25,9.06,10.91,7.77,2024-10-21T14:44:44.898946,9.2,9,9.08,685.17
311,2024-10-22,9241,KSY,Kumari Sabal Yojana,9.02,9.41,8.67,9.41,7450,69308.5,9.2,10.91,7.77,2024-10-22T14:57:25.012673,9.41,18,9.3,700.81
322,2024-10-23,9241,KSY,Kumari Sabal Yojana,9.58,9.58,9.22,9.22,3000,28041.0,9.41,10.91,7.77,2024-10-23T14:52:45.83977,9.22,6,9.34,686.66
314,2024-10-24,9241,KSY,Kumari Sabal Yojana,9.05,9.05,8.87,8.92,2800,25065.0,9.22,10.91,7.77,2024-10-24T14:42:27.488274,8.92,7,8.95,664.32
317,2024-10-27,9241,KSY,Kumari Sabal Yojana,8.96,8.96,8.78,8.78,5600,50122.0,8.92,10.91,7.77,2024-10-27T13:45:04.960237,8.78,8,8.95,653.89
305,2024-10-28,9241,KSY,Kumari Sabal Yojana,8.95,9.29,8.94,9.29,26260,243676.4,8.78,10.91,7.77,2024-10-28T14:53:15.96154,9.29,17,9.27,691.87
317,2024-10-29,9241,KSY,Kumari Sabal Yojana,9.47,9.47,9.16,9.16,700,6483.0,9.29,10.91,7.77,2024-10-29T14:46:15.243078,9.16,6,9.26,682.19
303,2024-10-30,9241,KSY,Kumari Sabal Yojana,9.0,9.18,9.0,9.18,600,5490.0,9.16,10.91,7.77,2024-10-30T13:44:16.635624,9.18,2,9.15,683.68
