Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
62,2024-10-15,358,LBBL,Lumbini Bikas Bank Ltd.,487.5,492.0,480.0,492.0,10431,5078976.9,479.0,555.9,361.0,2024-10-15T14:56:38.357197,492.0,64,486.91,17309.22
63,2024-10-16,358,LBBL,Lumbini Bikas Bank Ltd.,495.8,501.8,494.0,500.9,19869,9912954.1,492.0,555.9,361.0,2024-10-16T14:59:59.205949,500.9,113,498.91,17622.33
63,2024-10-17,358,LBBL,Lumbini Bikas Bank Ltd.,510.9,510.9,491.2,495.0,32692,16368413.8,500.9,555.9,361.0,2024-10-17T14:59:58.883908,495.0,153,500.68,17414.76
64,2024-10-20,358,LBBL,Lumbini Bikas Bank Ltd.,490.0,491.0,481.9,483.0,28148,13654370.4,495.0,555.9,361.0,2024-10-20T14:59:59.276826,483.0,139,485.09,16992.59
64,2024-10-21,358,LBBL,Lumbini Bikas Bank Ltd.,482.0,483.0,473.4,473.4,17701,8413618.2,483.0,555.9,361.0,2024-10-21T14:59:54.908592,473.4,118,475.31,16654.85
63,2024-10-22,358,LBBL,Lumbini Bikas Bank Ltd.,480.0,482.8,469.0,479.8,13976,6593194.7,473.4,555.9,361.0,2024-10-22T14:58:42.260784,479.8,77,471.75,16880.01
63,2024-10-23,358,LBBL,Lumbini Bikas Bank Ltd.,478.0,485.0,475.0,475.0,10825,5180644.5,479.8,555.9,361.0,2024-10-23T14:59:31.050174,475.0,88,478.58,16711.14
63,2024-10-24,358,LBBL,Lumbini Bikas Bank Ltd.,467.5,484.5,466.2,478.9,27155,12909029.4,475.0,555.9,361.0,2024-10-24T14:59:52.746229,478.9,122,475.38,16848.34
64,2024-10-27,358,LBBL,Lumbini Bikas Bank Ltd.,471.5,477.0,470.0,473.0,6362,3014286.7,478.9,555.9,361.0,2024-10-27T14:59:59.870873,473.0,59,473.79,16640.77
62,2024-10-28,358,LBBL,Lumbini Bikas Bank Ltd.,482.4,482.8,474.1,476.0,10580,5066966.7,473.0,555.9,361.0,2024-10-28T14:59:34.205184,476.0,49,478.91,16746.32
62,2024-10-29,358,LBBL,Lumbini Bikas Bank Ltd.,466.5,488.0,466.5,484.0,14628,7083285.2,476.0,555.9,361.0,2024-10-29T14:59:16.264685,484.0,95,484.22,17027.77
63,2024-10-30,358,LBBL,Lumbini Bikas Bank Ltd.,486.2,491.0,481.0,481.0,19430,9436169.1,484.0,555.9,361.0,2024-10-30T14:59:12.981498,481.0,77,485.64,16922.23
62,2024-11-05,358,LBBL,Lumbini Bikas Bank Ltd.,475.2,489.0,475.1,483.0,10035,4814845.4,481.0,555.9,361.0,2024-11-05T14:59:59.467808,483.0,41,479.8,16992.59
63,2024-11-06,358,LBBL,Lumbini Bikas Bank Ltd.,477.0,490.6,476.0,482.0,22071,10659366.0,483.0,555.9,361.0,2024-11-06T14:59:23.792524,482.0,89,482.95,16957.41
64,2024-11-10,358,LBBL,Lumbini Bikas Bank Ltd.,491.5,499.0,484.0,497.9,39126,19265952.9,482.0,555.9,361.0,2024-11-10T14:59:59.516263,497.9,156,492.4,17516.79
63,2024-11-11,358,LBBL,Lumbini Bikas Bank Ltd.,493.3,506.9,492.4,499.9,42663,21420052.0,497.9,555.9,361.0,2024-11-11T14:59:15.969155,499.9,210,502.07,17587.15
