Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
169,2024-10-15,2903,LEC,Liberty Energy Company Limited,282.7,288.0,278.0,284.1,99203,27971051.5,278.0,344.0,138.0,2024-10-15T14:59:55.820142,284.1,482,281.95,4261.5
174,2024-10-16,2903,LEC,Liberty Energy Company Limited,289.7,295.4,284.1,295.2,206446,60179117.5,284.1,344.0,138.0,2024-10-16T14:59:53.012266,295.2,633,291.5,4428.0
176,2024-10-17,2903,LEC,Liberty Energy Company Limited,296.0,299.0,289.0,289.0,170395,49977572.4,295.2,344.0,138.0,2024-10-17T14:59:35.658645,289.0,551,293.3,4335.0
175,2024-10-20,2903,LEC,Liberty Energy Company Limited,285.0,289.0,277.1,280.9,103920,29426094.5,289.0,344.0,138.0,2024-10-20T14:59:54.189996,280.9,438,283.16,4213.5
174,2024-10-21,2903,LEC,Liberty Energy Company Limited,286.0,286.0,269.0,269.0,111831,30476229.2,280.9,344.0,138.0,2024-10-21T14:59:58.08189,269.0,398,272.52,4035.0
174,2024-10-22,2903,LEC,Liberty Energy Company Limited,273.0,283.0,271.0,282.8,168453,46669672.8,269.0,344.0,138.0,2024-10-22T14:59:55.87843,282.8,335,277.04,4242.0
179,2024-10-23,2903,LEC,Liberty Energy Company Limited,282.0,285.0,275.0,276.8,68592,19161618.9,282.8,344.0,138.0,2024-10-23T14:59:56.529973,276.8,249,279.35,4152.0
179,2024-10-24,2903,LEC,Liberty Energy Company Limited,280.1,280.6,268.0,275.1,58180,16027907.7,276.8,344.0,138.0,2024-10-24T14:59:39.160133,275.1,236,275.48,4126.5
173,2024-10-27,2903,LEC,Liberty Energy Company Limited,275.2,278.5,273.0,273.0,71531,19721145.0,275.1,344.0,138.0,2024-10-27T14:59:52.70157,273.0,341,275.7,4095.0
170,2024-10-28,2903,LEC,Liberty Energy Company Limited,275.0,282.5,275.0,276.1,145996,40403554.8,273.0,344.0,138.0,2024-10-28T14:59:48.7062,276.1,253,276.74,4141.5
176,2024-10-29,2903,LEC,Liberty Energy Company Limited,278.0,283.0,276.0,279.0,109776,30593398.5,276.1,344.0,138.0,2024-10-29T14:59:58.971357,279.0,387,278.68,4185.0
172,2024-10-30,2903,LEC,Liberty Energy Company Limited,282.8,283.0,275.0,277.0,107393,29792620.4,279.0,344.0,138.0,2024-10-30T14:59:59.501048,277.0,380,277.41,4155.0
168,2024-11-05,2903,LEC,Liberty Energy Company Limited,282.5,282.5,272.5,276.0,361167,99734653.3,277.0,344.0,138.0,2024-11-05T14:59:56.962163,276.0,1176,276.14,4140.0
181,2024-11-06,2903,LEC,Liberty Energy Company Limited,221.6,239.0,221.6,232.1,212842,49538704.7,217.33,344.0,138.0,2024-11-06T14:59:55.788232,232.1,1059,232.74,5222.25
180,2024-11-10,2903,LEC,Liberty Energy Company Limited,236.7,239.7,232.0,238.9,153758,36227005.5,232.1,344.0,138.0,2024-11-10T14:59:58.501913,238.9,664,235.61,5375.25
169,2024-11-11,2903,LEC,Liberty Energy Company Limited,242.0,253.0,236.5,241.0,133188,32833479.3,238.9,344.0,138.0,2024-11-11T14:59:56.129764,241.0,629,246.51,5422.5
175,2024-11-12,2903,LEC,Liberty Energy Company Limited,245.0,245.8,236.0,238.0,83042,19846692.4,241.0,344.0,138.0,2024-11-12T14:59:52.922863,238.0,305,238.99,5355.0
173,2024-11-13,2903,LEC,Liberty Energy Company Limited,242.7,242.7,233.0,234.0,48776,11433340.5,238.0,344.0,138.0,2024-11-13T14:59:45.436955,234.0,234,234.4,5265.0
181,2024-11-14,2903,LEC,Liberty Energy Company Limited,233.0,236.0,230.0,232.0,95460,22203311.3,234.0,344.0,138.0,2024-11-14T14:59:55.99974,232.0,439,232.59,5220.0
179,2024-11-17,2903,LEC,Liberty Energy Company Limited,236.6,238.0,232.0,233.0,96745,22702725.7,232.0,344.0,138.0,2024-11-17T14:59:57.524613,233.0,392,234.66,5242.5
179,2024-11-19,2903,LEC,Liberty Energy Company Limited,233.0,235.0,227.0,230.0,90872,20871367.8,233.0,344.0,138.0,2024-11-19T14:59:17.259208,230.0,372,229.67,5175.0
180,2024-11-20,2903,LEC,Liberty Energy Company Limited,234.6,234.6,227.0,228.9,41846,9589186.2,230.0,344.0,139.0,2024-11-20T14:59:51.395634,228.9,212,229.15,5150.25
173,2024-11-21,2903,LEC,Liberty Energy Company Limited,233.4,233.4,223.0,223.5,65506,14804759.1,228.9,344.0,139.0,2024-11-21T14:59:57.725361,223.5,296,226.0,5028.75
180,2024-11-24,2903,LEC,Liberty Energy Company Limited,227.9,227.9,217.0,218.9,57916,12787040.1,223.5,344.0,139.0,2024-11-24T14:59:59.371452,218.9,346,220.78,4925.25
172,2024-11-25,2903,LEC,Liberty Energy Company Limited,223.2,227.0,216.9,220.0,59486,13037058.7,218.9,344.0,139.0,2024-11-25T14:59:48.423342,220.0,289,219.16,4950.0
199,2024-11-26,2903,LEC,Liberty Energy Company Limited,223.0,224.5,220.0,222.0,43441,9632658.4,220.0,344.0,139.0,2024-11-26T14:59:58.103891,222.0,219,221.74,4995.0
179,2024-11-27,2903,LEC,Liberty Energy Company Limited,226.4,230.5,225.0,230.0,78999,17977232.1,222.0,344.0,139.0,2024-11-27T14:59:47.348228,230.0,328,227.56,5175.0
181,2024-11-28,2903,LEC,Liberty Energy Company Limited,234.6,234.6,225.4,226.7,50348,11516321.3,230.0,344.0,139.0,2024-11-28T14:59:46.096011,226.7,284,228.73,5100.75
204,2024-12-01,2903,LEC,Liberty Energy Company Limited,223.0,225.0,219.2,224.0,39739,8838710.5,226.7,344.0,139.0,2024-12-01T14:59:42.555739,224.0,253,222.41,5040.0
