Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
94,2024-10-15,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1082.5,1107.0,1060.0,1099.0,282,307224.0,1061.3,1428.0,580.0,2024-10-15T14:56:45.560053,1099.0,20,1089.44,4853.87
95,2024-10-16,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1078.0,1100.0,1078.0,1090.0,618,675069.0,1099.0,1428.0,580.0,2024-10-16T14:52:15.716865,1090.0,14,1092.34,4814.12
95,2024-10-17,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1105.0,1111.0,1078.0,1089.0,2039,2236056.0,1090.0,1428.0,580.0,2024-10-17T14:59:47.953369,1089.0,27,1096.64,4809.7
97,2024-10-20,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1067.3,1080.0,1061.0,1080.0,676,719350.0,1089.0,1428.0,580.0,2024-10-20T14:59:30.950096,1080.0,20,1064.12,4769.95
97,2024-10-21,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1080.0,1080.0,1019.1,1032.0,2099,2190685.0,1080.0,1428.0,580.0,2024-10-21T14:57:53.755941,1032.0,32,1043.68,4557.95
95,2024-10-22,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1032.0,1052.6,1032.0,1045.0,324,338394.6,1032.0,1428.0,580.0,2024-10-22T14:59:06.108235,1045.0,13,1044.42,4615.37
96,2024-10-23,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1025.1,1050.0,1005.2,1050.0,1462,1507132.6,1045.0,1428.0,580.0,2024-10-23T14:59:40.945009,1050.0,29,1030.87,4637.45
96,2024-10-24,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1071.0,1071.0,1035.0,1038.2,165,171837.0,1050.0,1428.0,580.0,2024-10-24T14:59:25.371769,1038.2,8,1041.43,4585.34
96,2024-10-27,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1030.0,1030.0,1018.0,1025.0,366,374682.0,1038.2,1428.0,580.0,2024-10-27T14:54:42.06399,1025.0,11,1023.72,4527.04
94,2024-10-28,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1015.0,1042.0,1004.6,1010.5,1526,1544392.0,1025.0,1428.0,580.0,2024-10-28T14:40:50.940609,1010.5,25,1012.05,4463.0
94,2024-10-29,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1030.0,1088.3,1030.0,1069.0,1406,1476380.5,1010.5,1428.0,580.0,2024-10-29T14:56:36.668863,1069.0,40,1050.05,4721.37
95,2024-10-30,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1051.0,1070.0,1030.0,1070.0,2087,2195979.0,1069.0,1428.0,580.0,2024-10-30T14:59:54.754336,1070.0,18,1052.21,4725.78
93,2024-11-05,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1085.0,1085.0,1049.0,1068.0,500,530185.0,1070.0,1428.0,580.0,2024-11-05T14:55:06.791791,1068.0,12,1060.37,4716.95
96,2024-11-06,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1050.1,1084.8,1050.0,1084.8,450,474888.0,1068.0,1428.0,580.0,2024-11-06T14:52:27.070175,1084.8,11,1055.3,4791.15
96,2024-11-10,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1095.0,1108.0,1070.0,1104.0,1897,2077893.2,1084.8,1428.0,580.0,2024-11-10T14:59:57.025807,1104.0,40,1095.35,4875.95
95,2024-11-11,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1126.0,1160.0,1090.0,1150.0,8050,9121884.2,1104.0,1428.0,580.0,2024-11-11T14:59:53.612098,1150.0,92,1133.15,5079.11
95,2024-11-12,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1131.5,1137.0,1112.0,1134.0,1391,1569397.1,1150.0,1428.0,580.0,2024-11-12T14:59:58.563823,1134.0,28,1128.25,5008.45
96,2024-11-13,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1155.5,1155.5,1100.0,1133.5,1255,1409680.5,1134.0,1428.0,580.0,2024-11-13T14:58:38.096244,1133.5,26,1123.25,5006.24
96,2024-11-14,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1140.0,1200.0,1105.0,1142.1,2421,2776260.4,1133.5,1428.0,580.0,2024-11-14T14:45:55.405803,1142.1,47,1146.74,5044.22
96,2024-11-17,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1163.0,1200.0,1162.0,1180.3,7865,9292643.8,1142.1,1428.0,580.0,2024-11-17T14:59:27.220743,1180.3,83,1181.51,5212.94
98,2024-11-19,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1160.0,1194.3,1090.0,1135.0,12675,14339989.9,1180.3,1428.0,580.0,2024-11-19T14:59:26.458885,1135.0,114,1131.36,5012.86
95,2024-11-20,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1113.0,1155.0,1111.1,1149.9,2625,2942740.0,1135.0,1428.0,580.0,2024-11-20T14:59:56.475984,1149.9,32,1121.04,5078.67
97,2024-11-21,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1170.0,1170.0,1132.0,1156.0,4595,5249882.6,1149.9,1428.0,580.0,2024-11-21T14:59:40.203501,1156.0,53,1142.52,5105.61
96,2024-11-24,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1136.1,1158.9,1136.1,1153.0,1736,1990781.1,1156.0,1428.0,580.0,2024-11-24T14:58:40.363224,1153.0,24,1146.76,5092.36
80,2024-11-25,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1135.0,1155.0,1130.0,1150.0,1028,1172490.0,1153.0,1428.0,580.0,2024-11-25T14:37:07.181658,1150.0,19,1140.55,5079.11
109,2024-11-26,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1137.0,1170.0,1136.0,1155.0,3108,3562091.6,1150.0,1428.0,580.0,2024-11-26T14:59:59.666238,1155.0,46,1146.1,5101.2
96,2024-11-27,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1168.9,1168.9,1151.1,1155.0,3224,3737151.6,1155.0,1428.0,580.0,2024-11-27T14:59:56.446199,1155.0,57,1159.16,5101.2
84,2024-11-28,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1131.9,1193.9,1131.9,1170.0,3049,3527331.4,1155.0,1428.0,580.0,2024-11-28T14:59:21.932558,1170.0,46,1156.88,5167.45
106,2024-12-01,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1146.6,1156.0,1135.0,1156.0,1397,1594246.3,1170.0,1428.0,580.0,2024-12-01T14:59:17.719287,1156.0,21,1141.19,5105.61
95,2024-12-02,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1142.0,1165.0,1142.0,1162.9,12727,14593035.4,1156.0,1428.0,580.0,2024-12-02T14:59:17.499389,1162.9,31,1146.62,5136.09
96,2024-12-03,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1175.0,1198.0,1151.5,1176.0,8478,9936535.0,1162.9,1428.0,580.0,2024-12-03T14:59:39.820228,1176.0,87,1172.03,5193.95
97,2024-12-04,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1170.0,1223.9,1170.0,1192.0,16386,19440040.4,1176.0,1428.0,612.0,2024-12-04T14:58:56.085607,1192.0,95,1186.38,5264.61
94,2024-12-05,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1210.0,1239.3,1205.2,1206.0,10038,12257655.8,1192.0,1428.0,612.0,2024-12-05T14:59:37.504652,1206.0,122,1221.12,5326.44
96,2024-12-08,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1181.9,1181.9,1138.0,1151.0,9885,11350983.2,1206.0,1428.0,633.7,2024-12-08T14:59:57.439531,1151.0,78,1148.3,5083.53
95,2024-12-09,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1150.0,1150.0,1122.0,1140.0,1765,1994940.0,1151.0,1428.0,633.7,2024-12-09T14:50:12.449176,1140.0,26,1130.27,5034.95
94,2024-12-10,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1151.0,1172.9,1150.0,1170.0,10673,12386803.2,1140.0,1428.0,650.0,2024-12-10T14:59:19.187862,1170.0,68,1160.57,5167.45
94,2024-12-11,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1174.0,1189.9,1151.1,1183.0,3691,4325134.6,1170.0,1428.0,650.0,2024-12-11T14:53:20.05654,1183.0,25,1171.8,5224.86
115,2024-12-12,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1183.0,1184.2,1161.0,1162.0,9967,11633737.0,1183.0,1428.0,650.0,2024-12-12T14:59:56.902494,1162.0,27,1167.22,5132.11
81,2024-12-16,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1141.0,1141.0,1120.0,1139.0,5074,5732799.3,1162.0,1428.0,663.5,2024-12-16T14:57:53.272292,1139.0,26,1129.83,5030.53
70,2024-12-17,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1146.0,1184.8,1146.0,1150.0,2997,3494485.1,1139.0,1428.0,663.5,2024-12-17T14:56:12.524008,1150.0,27,1165.99,5079.11
53,2024-12-18,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1150.0,1160.0,1136.1,1136.2,3806,4364371.0,1150.0,1428.0,663.5,2024-12-18T14:59:49.710439,1136.2,29,1146.7,5018.16
97,2024-12-19,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1158.0,1190.0,1106.0,1144.0,7461,8619180.0,1136.2,1428.0,663.5,2024-12-19T14:57:37.934423,1144.0,24,1155.23,5052.61
95,2024-12-22,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1126.0,1130.0,1124.0,1124.0,299,336596.0,1144.0,1428.0,663.5,2024-12-22T13:36:52.858085,1124.0,10,1125.73,4964.28
107,2024-12-23,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1101.9,1130.0,1101.6,1123.0,548,614152.8,1124.0,1428.0,663.5,2024-12-23T14:22:36.313889,1123.0,14,1120.71,4959.87
102,2024-12-24,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1122.0,1125.0,1107.4,1108.0,1928,2153553.4,1123.0,1428.0,663.5,2024-12-24T14:55:40.516754,1108.0,22,1116.98,4893.62
74,2024-12-26,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1108.0,1115.0,1086.2,1106.0,748,820161.0,1108.0,1428.0,663.5,2024-12-26T14:59:49.182783,1106.0,22,1096.47,4884.78
79,2024-12-29,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1090.1,1171.0,1090.0,1124.0,1785,2005680.6,1106.0,1428.0,663.5,2024-12-29T14:58:47.372301,1124.0,27,1123.63,4964.28
