Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
168,2024-10-15,2902,LUK,Laxmi Unnati Kosh,9.35,9.35,9.0,9.0,900,8222.0,9.18,10.22,7.7,2024-10-15T14:58:26.305449,9.0,5,9.13,587.36
173,2024-10-16,2902,LUK,Laxmi Unnati Kosh,9.18,9.18,9.18,9.18,1500,13770.0,9.0,10.22,7.7,2024-10-16T14:03:25.251473,9.18,3,9.18,599.11
175,2024-10-17,2902,LUK,Laxmi Unnati Kosh,9.13,9.36,9.12,9.36,11200,104157.0,9.18,10.22,7.7,2024-10-17T13:11:17.932922,9.36,9,9.29,610.86
174,2024-10-20,2902,LUK,Laxmi Unnati Kosh,9.37,9.54,9.22,9.4,19022,178109.6,9.36,10.22,7.7,2024-10-20T14:59:48.526656,9.4,16,9.36,613.47
173,2024-10-21,2902,LUK,Laxmi Unnati Kosh,9.23,9.35,9.23,9.35,4200,38844.0,9.4,10.22,7.7,2024-10-21T14:50:09.620224,9.35,10,9.24,610.2
173,2024-10-22,2902,LUK,Laxmi Unnati Kosh,9.33,9.33,9.3,9.3,42223,393005.9,9.35,10.22,7.7,2024-10-22T14:47:39.126052,9.3,7,9.3,606.94
178,2024-10-23,2902,LUK,Laxmi Unnati Kosh,9.14,9.32,9.14,9.21,4900,45542.0,9.3,10.22,7.7,2024-10-23T14:59:56.881763,9.21,7,9.29,601.07
178,2024-10-24,2902,LUK,Laxmi Unnati Kosh,9.11,9.29,9.11,9.21,10240,94699.0,9.21,10.22,7.7,2024-10-24T14:28:15.530998,9.21,5,9.24,601.07
172,2024-10-27,2902,LUK,Laxmi Unnati Kosh,9.18,9.5,9.18,9.36,14080,131823.0,9.21,10.22,7.7,2024-10-27T14:50:36.113095,9.36,13,9.36,610.86
169,2024-10-28,2902,LUK,Laxmi Unnati Kosh,9.4,9.7,9.3,9.7,77700,741979.0,9.36,10.22,7.7,2024-10-28T14:42:00.991672,9.7,17,9.54,633.04
