Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
280,2024-11-25,9198,LVF2,Laxmi Value Fund 2,9.15,9.35,9.15,9.33,5100,47538.0,9.32,10.01,7.3,2024-11-25T14:54:27.181706,9.33,10,9.32,746.4
301,2024-11-26,9198,LVF2,Laxmi Value Fund 2,9.32,9.36,9.32,9.36,3340,31229.4,9.33,10.01,7.3,2024-11-26T14:36:21.439547,9.36,7,9.35,748.8
293,2024-11-27,9198,LVF2,Laxmi Value Fund 2,9.28,9.36,9.28,9.36,1200,11202.0,9.36,10.01,7.32,2024-11-27T14:42:13.422569,9.36,8,9.33,748.8
292,2024-11-28,9198,LVF2,Laxmi Value Fund 2,9.37,9.56,9.37,9.56,3440,32620.2,9.36,10.01,7.32,2024-11-28T14:57:43.698719,9.56,4,9.48,764.8
286,2024-12-01,9198,LVF2,Laxmi Value Fund 2,9.37,9.55,9.37,9.45,2300,21697.0,9.56,10.01,7.35,2024-12-01T14:57:32.582833,9.45,7,9.43,756.0
289,2024-12-02,9198,LVF2,Laxmi Value Fund 2,9.31,9.58,9.31,9.42,3200,30374.0,9.45,10.01,7.35,2024-12-02T14:54:31.806199,9.42,7,9.49,753.6
283,2024-12-03,9198,LVF2,Laxmi Value Fund 2,9.35,9.5,9.35,9.5,2400,22557.0,9.42,10.01,7.35,2024-12-03T13:58:03.398383,9.5,11,9.39,760.0
295,2024-12-04,9198,LVF2,Laxmi Value Fund 2,9.34,9.52,9.34,9.39,3500,33015.0,9.5,10.01,7.35,2024-12-04T14:19:50.342001,9.39,9,9.43,751.2
284,2024-12-05,9198,LVF2,Laxmi Value Fund 2,9.25,9.6,9.25,9.41,114400,1081878.0,9.39,10.01,7.35,2024-12-05T14:58:21.885247,9.41,16,9.45,752.8
295,2024-12-08,9198,LVF2,Laxmi Value Fund 2,9.41,9.59,9.4,9.52,104224,999194.48,9.41,10.01,7.45,2024-12-08T14:55:55.36147,9.52,10,9.58,761.6
291,2024-12-09,9198,LVF2,Laxmi Value Fund 2,9.7,9.71,9.43,9.43,146322,1411964.44,9.52,10.01,7.45,2024-12-09T14:29:38.43824,9.43,16,9.64,754.4
278,2024-12-10,9198,LVF2,Laxmi Value Fund 2,9.5,9.69,9.42,9.69,14400,139443.0,9.43,10.01,7.5,2024-12-10T14:59:14.308701,9.69,9,9.68,775.2
282,2024-12-11,9198,LVF2,Laxmi Value Fund 2,9.85,10.0,9.66,9.66,204550,2044624.5,9.69,10.01,7.5,2024-12-11T14:47:30.313852,9.66,11,9.99,772.8
257,2024-12-12,9198,LVF2,Laxmi Value Fund 2,9.47,9.55,9.34,9.55,1300,12351.0,9.66,10.01,7.5,2024-12-12T13:40:57.719857,9.55,6,9.5,764.0
291,2024-12-16,9198,LVF2,Laxmi Value Fund 2,9.42,9.42,9.42,9.42,100,942.0,9.55,10.01,7.5,2024-12-16T14:47:11.495769,9.42,1,9.42,753.6
240,2024-12-17,9198,LVF2,Laxmi Value Fund 2,9.4,9.4,9.25,9.26,13400,124189.0,9.42,10.01,7.5,2024-12-17T14:53:44.663767,9.26,12,9.26,740.8
302,2024-12-18,9198,LVF2,Laxmi Value Fund 2,9.44,9.44,9.26,9.26,550,5138.0,9.26,10.01,7.5,2024-12-18T14:37:02.543308,9.26,4,9.34,740.8
287,2024-12-19,9198,LVF2,Laxmi Value Fund 2,9.13,9.13,9.13,9.13,200,1826.0,9.26,10.01,7.5,2024-12-19T14:16:46.566866,9.13,2,9.13,730.4
293,2024-12-22,9198,LVF2,Laxmi Value Fund 2,9.2,9.2,9.2,9.2,1280,11776.0,9.13,10.01,7.5,2024-12-22T14:32:06.606326,9.2,11,9.2,736.0
313,2024-12-23,9198,LVF2,Laxmi Value Fund 2,9.02,9.08,8.85,9.08,5900,53175.0,9.2,10.01,7.5,2024-12-23T14:02:17.445528,9.08,10,9.01,726.4
218,2024-12-24,9198,LVF2,Laxmi Value Fund 2,8.94,8.98,8.94,8.98,200,1792.0,9.08,10.01,7.5,2024-12-24T14:27:04.148004,8.98,2,8.96,718.4
294,2024-12-26,9198,LVF2,Laxmi Value Fund 2,9.0,9.03,9.0,9.02,1150,10364.0,8.98,10.01,7.5,2024-12-26T13:36:18.700611,9.02,8,9.01,721.6
241,2024-12-29,9198,LVF2,Laxmi Value Fund 2,9.0,9.06,9.0,9.06,1200,10835.0,9.02,10.01,7.5,2024-12-29T14:42:19.715216,9.06,7,9.02,724.8
