Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
272,2024-11-25,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,649.0,678.0,635.0,662.9,50549,33355621.0,650.0,770.0,228.0,2024-11-25T14:59:58.774295,662.9,272,659.86,5038.04
293,2024-11-26,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,668.0,681.0,657.0,672.8,53008,35201285.9,662.9,770.0,228.0,2024-11-26T14:59:58.624839,672.8,223,664.07,5113.28
273,2024-11-27,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,672.8,686.0,662.0,670.0,33056,22062645.2,672.8,770.0,228.0,2024-11-27T14:59:40.773794,670.0,202,667.43,5092.0
283,2024-11-28,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,666.0,675.0,650.0,658.9,20067,13192041.1,670.0,770.0,228.0,2024-11-28T14:59:59.314845,658.9,157,657.39,5007.64
246,2024-12-01,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,645.9,655.0,640.0,648.0,26517,17147304.0,658.9,770.0,228.0,2024-12-01T14:59:55.74925,648.0,199,646.65,4924.8
267,2024-12-02,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,636.0,660.0,636.0,640.2,24393,15888254.3,648.0,770.0,228.0,2024-12-02T14:59:43.006894,640.2,178,651.34,4865.52
262,2024-12-03,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,649.0,667.9,636.0,653.0,28637,18682265.3,640.2,770.0,228.0,2024-12-03T14:59:58.180842,653.0,258,652.38,4962.8
276,2024-12-04,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,666.0,682.0,650.0,668.0,92801,61560162.0,653.0,770.0,229.4,2024-12-04T14:59:57.601063,668.0,355,663.35,5076.8
263,2024-12-05,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,668.0,668.0,647.0,648.0,29155,18997363.8,668.0,770.0,232.1,2024-12-05T14:59:56.080062,648.0,174,651.59,4924.8
274,2024-12-08,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,648.0,660.0,618.0,637.0,35800,22707756.2,648.0,770.0,244.0,2024-12-08T14:59:58.306952,637.0,201,634.29,4841.2
267,2024-12-09,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,640.0,647.0,630.0,641.0,18378,11717671.0,637.0,770.0,244.0,2024-12-09T14:59:48.562108,641.0,111,637.59,4871.6
259,2024-12-10,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,628.2,650.0,621.0,636.0,10768,6792388.0,641.0,770.0,246.4,2024-12-10T14:56:18.814074,636.0,95,630.79,4833.6
262,2024-12-11,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,635.0,645.0,625.1,642.0,13050,8345289.0,636.0,770.0,268.6,2024-12-11T14:59:49.654998,642.0,120,639.48,4879.2
277,2024-12-12,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,643.0,653.0,632.0,638.0,17105,10927155.1,642.0,770.0,269.0,2024-12-12T14:59:55.724151,638.0,154,638.82,4848.8
278,2024-12-16,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,626.4,645.0,614.0,615.0,6817,4239370.0,638.0,770.0,275.1,2024-12-16T14:59:24.195369,615.0,106,621.88,4674.0
293,2024-12-17,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,615.0,626.0,612.1,620.0,5940,3670435.5,615.0,770.0,275.1,2024-12-17T14:59:52.914997,620.0,85,617.91,4712.0
290,2024-12-18,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,632.0,632.0,615.2,621.5,7740,4824707.0,620.0,770.0,275.1,2024-12-18T14:59:56.852677,621.5,81,623.34,4723.4
266,2024-12-19,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,610.0,628.3,610.0,614.0,10876,6727751.0,621.5,770.0,275.1,2024-12-19T14:59:58.395697,614.0,98,618.58,4666.4
272,2024-12-22,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,607.8,626.0,607.8,615.0,13390,8234083.3,614.0,770.0,275.1,2024-12-22T14:59:48.321825,615.0,140,614.94,4674.0
250,2024-12-23,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,609.0,637.0,609.0,637.0,16104,10033523.7,615.0,770.0,275.1,2024-12-23T14:59:59.717465,637.0,203,623.04,4841.2
286,2024-12-24,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,625.2,637.7,625.2,630.0,8126,5123221.1,637.0,770.0,275.1,2024-12-24T14:59:49.207865,630.0,123,630.47,4788.0
246,2024-12-26,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,625.0,636.0,617.1,617.1,7790,4879930.0,630.0,770.0,275.1,2024-12-26T14:59:58.589054,617.1,101,626.43,4689.96
230,2024-12-29,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,607.0,619.0,597.0,602.0,14448,8752269.0,617.1,770.0,275.1,2024-12-29T14:59:57.863195,602.0,160,605.77,4575.2
