Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
300,2024-11-25,9212,MANDU,Mandu Hydropower Limited,970.0,1017.0,950.6,980.0,7973,7759416.5,970.0,1493.1,475.3,2024-11-25T14:59:52.25023,980.0,169,973.21,13363.64
284,2024-11-26,9212,MANDU,Mandu Hydropower Limited,999.0,1020.0,985.1,1006.0,12572,12627847.0,980.0,1493.1,475.3,2024-11-26T14:59:53.57615,1006.0,171,1004.44,13718.19
300,2024-11-27,9212,MANDU,Mandu Hydropower Limited,1022.0,1022.0,999.0,1000.0,7632,7682478.0,1006.0,1493.1,475.3,2024-11-27T15:00:02.622399,1000.0,168,1006.61,13636.37
273,2024-11-28,9212,MANDU,Mandu Hydropower Limited,995.0,1009.0,976.0,976.0,9560,9401927.4,1000.0,1493.1,475.3,2024-11-28T14:59:52.937429,976.0,153,983.46,13309.1
290,2024-12-01,9212,MANDU,Mandu Hydropower Limited,975.0,975.0,956.8,960.0,11844,11404610.4,976.0,1493.1,475.3,2024-12-01T14:59:51.804742,960.0,172,962.9,13090.92
296,2024-12-02,9212,MANDU,Mandu Hydropower Limited,956.0,980.0,956.0,956.0,11431,11048071.5,960.0,1493.1,475.3,2024-12-02T14:59:52.854445,956.0,183,966.5,13036.37
289,2024-12-03,9212,MANDU,Mandu Hydropower Limited,960.0,989.0,957.0,964.9,6654,6398136.9,956.0,1493.1,475.3,2024-12-03T14:59:57.08162,964.9,121,961.54,13157.73
302,2024-12-04,9212,MANDU,Mandu Hydropower Limited,969.8,975.0,950.0,954.0,12738,12264803.3,964.9,1493.1,475.3,2024-12-04T14:59:59.591937,954.0,184,962.85,13009.1
290,2024-12-05,9212,MANDU,Mandu Hydropower Limited,950.1,960.0,920.0,920.4,10395,9740544.6,954.0,1493.1,475.3,2024-12-05T14:59:59.974154,920.4,178,937.04,12550.91
302,2024-12-08,9212,MANDU,Mandu Hydropower Limited,922.0,937.0,895.0,900.0,16811,15334313.7,920.4,1493.1,506.0,2024-12-08T14:59:37.64171,900.0,257,912.15,12272.73
298,2024-12-09,9212,MANDU,Mandu Hydropower Limited,900.0,930.0,895.0,901.6,7992,7247173.2,900.0,1493.1,506.0,2024-12-09T14:59:27.331743,901.6,131,906.8,12294.55
285,2024-12-10,9212,MANDU,Mandu Hydropower Limited,915.0,926.0,885.0,890.0,11935,10726491.9,901.6,1493.1,506.0,2024-12-10T14:59:57.4576,890.0,182,898.74,12136.37
289,2024-12-11,9212,MANDU,Mandu Hydropower Limited,890.0,915.0,887.5,911.0,7148,6471456.3,890.0,1493.1,522.0,2024-12-11T14:59:59.588226,911.0,110,905.35,12422.73
260,2024-12-12,9212,MANDU,Mandu Hydropower Limited,920.0,920.0,900.0,901.1,5375,4905161.0,911.0,1493.1,534.0,2024-12-12T14:59:33.601498,901.1,117,912.58,12287.73
266,2024-12-16,9212,MANDU,Mandu Hydropower Limited,905.0,905.0,875.0,880.0,10620,9383776.1,901.1,1493.1,545.0,2024-12-16T14:59:41.91586,880.0,172,883.59,12000.01
311,2024-12-17,9212,MANDU,Mandu Hydropower Limited,875.0,897.0,871.0,885.0,7733,6832516.4,880.0,1493.1,545.0,2024-12-17T14:59:51.577855,885.0,112,883.55,12068.19
176,2024-12-18,9212,MANDU,Mandu Hydropower Limited,900.0,905.0,882.1,882.1,4130,3687921.5,885.0,1493.1,563.0,2024-12-18T14:59:08.687368,882.1,73,892.95,12028.64
293,2024-12-19,9212,MANDU,Mandu Hydropower Limited,890.0,892.0,872.0,872.0,5810,5128141.0,882.1,1493.1,581.0,2024-12-19T14:59:47.435422,872.0,89,882.64,11890.91
300,2024-12-22,9212,MANDU,Mandu Hydropower Limited,872.0,889.4,872.0,875.5,3770,3314329.5,872.0,1493.1,642.1,2024-12-22T14:59:54.988921,875.5,91,879.13,11938.64
319,2024-12-23,9212,MANDU,Mandu Hydropower Limited,875.0,952.0,875.0,916.0,19589,18054464.4,875.5,1493.1,648.6,2024-12-23T14:59:40.270723,916.0,263,921.66,12490.91
221,2024-12-24,9212,MANDU,Mandu Hydropower Limited,921.0,939.0,905.0,917.0,9073,8333215.7,916.0,1493.1,648.6,2024-12-24T14:59:45.596066,917.0,149,918.46,12504.55
297,2024-12-26,9212,MANDU,Mandu Hydropower Limited,917.0,920.0,903.5,910.0,4167,3804662.4,917.0,1493.1,648.6,2024-12-26T14:59:57.4867,910.0,76,913.04,12409.1
247,2024-12-29,9212,MANDU,Mandu Hydropower Limited,892.0,910.0,882.0,882.1,6101,5441579.7,910.0,1493.1,648.6,2024-12-29T14:59:48.917896,882.1,142,891.91,12028.64
