Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
212,2024-10-15,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,332.3,340.7,332.3,339.0,5903,1999413.8,339.0,433.0,246.0,2024-10-15T14:59:59.244024,339.0,127,338.71,20340.0
219,2024-10-16,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,344.0,352.5,335.0,346.0,34056,11715688.8,339.0,433.0,246.0,2024-10-16T14:58:34.218766,346.0,337,344.01,20760.0
217,2024-10-17,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,346.0,352.0,341.0,341.0,35515,12299967.9,346.0,433.0,246.0,2024-10-17T14:59:52.164068,341.0,309,346.33,20460.0
217,2024-10-20,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,335.0,340.0,328.3,334.0,29822,9971906.8,341.0,433.0,246.0,2024-10-20T14:58:11.26013,334.0,334,334.38,20040.0
221,2024-10-21,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,328.1,334.0,326.4,330.0,19085,6284178.7,334.0,433.0,246.0,2024-10-21T14:59:53.782875,330.0,289,329.27,19800.0
215,2024-10-22,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,323.5,335.5,323.0,329.0,23362,7692805.5,330.0,433.0,246.0,2024-10-22T14:59:28.394706,329.0,285,329.28,19740.0
225,2024-10-23,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,326.0,330.0,321.0,321.0,25311,8235949.0,329.0,433.0,246.0,2024-10-23T14:59:50.646189,321.0,304,325.39,19260.0
218,2024-10-24,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,321.0,325.0,316.5,324.0,30172,9653043.2,321.0,433.0,246.0,2024-10-24T14:59:58.197813,324.0,360,319.93,19440.0
220,2024-10-27,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,317.6,322.0,313.7,318.0,24937,7900794.6,324.0,433.0,246.0,2024-10-27T14:59:59.76532,318.0,364,316.83,19080.0
212,2024-10-28,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,311.7,333.9,293.5,328.0,203577,64749924.9,318.0,433.0,246.0,2024-10-28T14:59:57.79643,328.0,2758,318.06,19680.0
