Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
269,2024-10-15,9175,MCHL,Menchhiyam Hydropower Limited,501.7,501.7,483.4,498.0,1269,625195.6,492.0,609.2,200.1,2024-10-15T14:59:42.661761,498.0,33,492.66,2702.06
280,2024-10-16,9175,MCHL,Menchhiyam Hydropower Limited,490.1,506.9,490.1,495.8,6120,3068858.1,498.0,609.2,200.1,2024-10-16T14:59:52.607698,495.8,81,501.44,2690.13
276,2024-10-17,9175,MCHL,Menchhiyam Hydropower Limited,505.7,509.0,485.0,497.0,9825,4910979.2,495.8,609.2,200.1,2024-10-17T14:59:35.886599,497.0,111,499.84,2696.64
276,2024-10-20,9175,MCHL,Menchhiyam Hydropower Limited,490.0,499.0,480.6,494.0,8475,4163701.6,497.0,609.2,200.1,2024-10-20T14:59:38.223964,494.0,131,491.29,2680.36
279,2024-10-21,9175,MCHL,Menchhiyam Hydropower Limited,486.1,490.0,473.0,480.0,9318,4483490.7,494.0,609.2,200.1,2024-10-21T14:59:57.559669,480.0,119,481.16,2604.4
275,2024-10-22,9175,MCHL,Menchhiyam Hydropower Limited,480.0,505.0,479.2,492.0,7073,3457308.8,480.0,609.2,200.1,2024-10-22T14:59:54.24271,492.0,96,488.8,2669.51
286,2024-10-23,9175,MCHL,Menchhiyam Hydropower Limited,501.8,505.0,487.5,488.3,6020,2946357.0,492.0,609.2,200.1,2024-10-23T14:58:44.806247,488.3,72,489.42,2649.43
277,2024-10-24,9175,MCHL,Menchhiyam Hydropower Limited,479.0,498.0,479.0,490.0,7582,3713543.8,488.3,609.2,200.1,2024-10-24T14:59:52.097772,490.0,72,489.78,2658.66
277,2024-10-27,9175,MCHL,Menchhiyam Hydropower Limited,499.8,509.7,484.1,493.0,7257,3553758.9,490.0,609.2,200.1,2024-10-27T14:59:58.251069,493.0,91,489.7,2674.94
269,2024-10-28,9175,MCHL,Menchhiyam Hydropower Limited,483.2,542.3,483.2,538.0,35256,18418134.9,493.0,609.2,200.1,2024-10-28T14:59:54.476592,538.0,373,522.41,2919.1
281,2024-10-29,9175,MCHL,Menchhiyam Hydropower Limited,533.0,552.0,527.3,550.0,19831,10846244.1,538.0,609.2,200.1,2024-10-29T14:59:56.627122,550.0,251,546.93,2984.21
267,2024-10-30,9175,MCHL,Menchhiyam Hydropower Limited,555.9,560.0,532.1,536.8,11896,6420680.9,550.0,609.2,200.1,2024-10-30T14:59:57.354108,536.8,161,539.73,2912.59
264,2024-11-05,9175,MCHL,Menchhiyam Hydropower Limited,530.0,558.0,508.0,526.0,8754,4574825.0,536.8,609.2,208.0,2024-11-05T14:57:50.207255,526.0,96,522.59,2853.99
280,2024-11-06,9175,MCHL,Menchhiyam Hydropower Limited,526.0,536.5,518.0,532.0,10565,5566463.9,526.0,609.2,208.0,2024-11-06T14:59:34.984663,532.0,109,526.87,2886.54
285,2024-11-10,9175,MCHL,Menchhiyam Hydropower Limited,527.0,549.8,527.0,544.9,24665,13344741.5,532.0,609.2,208.0,2024-11-10T14:59:20.779402,544.9,240,541.03,2956.54
263,2024-11-11,9175,MCHL,Menchhiyam Hydropower Limited,534.1,555.0,528.1,539.0,15912,8649928.8,544.9,609.2,208.0,2024-11-11T14:59:53.338104,539.0,154,543.61,2924.52
276,2024-11-12,9175,MCHL,Menchhiyam Hydropower Limited,546.0,592.9,535.1,592.9,93438,54025627.9,539.0,609.2,208.0,2024-11-12T14:59:38.569733,592.9,670,578.19,3216.98
271,2024-11-13,9175,MCHL,Menchhiyam Hydropower Limited,602.0,647.0,586.0,610.0,60937,37533803.9,592.9,647.0,208.0,2024-11-13T14:59:59.684918,610.0,453,615.94,3309.76
284,2024-11-14,9175,MCHL,Menchhiyam Hydropower Limited,622.0,645.0,601.1,630.0,53517,33751762.6,610.0,647.0,208.0,2024-11-14T14:59:59.816533,630.0,402,630.67,3418.27
287,2024-11-17,9175,MCHL,Menchhiyam Hydropower Limited,619.0,670.0,619.0,642.1,61376,39679377.6,630.0,670.0,208.0,2024-11-17T14:59:59.702931,642.1,430,646.49,3483.93
273,2024-11-19,9175,MCHL,Menchhiyam Hydropower Limited,654.0,654.0,599.0,639.9,69280,43235711.8,642.1,670.0,208.0,2024-11-19T14:59:58.632557,639.9,417,624.07,3471.99
284,2024-11-20,9175,MCHL,Menchhiyam Hydropower Limited,627.2,652.6,603.4,634.9,26581,16775914.5,639.9,670.0,214.1,2024-11-20T14:58:46.795478,634.9,198,631.12,3444.86
276,2024-11-21,9175,MCHL,Menchhiyam Hydropower Limited,646.0,655.0,616.3,628.6,55571,35233305.6,634.9,670.0,215.7,2024-11-21T14:59:59.476585,628.6,230,634.02,3410.68
285,2024-11-24,9175,MCHL,Menchhiyam Hydropower Limited,641.0,666.8,603.0,614.0,24658,15196596.1,628.6,670.0,216.7,2024-11-24T14:59:49.891774,614.0,175,616.29,3331.46
276,2024-11-25,9175,MCHL,Menchhiyam Hydropower Limited,604.0,616.0,582.1,606.0,19471,11634113.3,614.0,670.0,227.1,2024-11-25T14:59:59.798676,606.0,162,597.5,3288.05
244,2024-11-26,9175,MCHL,Menchhiyam Hydropower Limited,595.0,622.0,585.3,620.0,24966,15108858.2,606.0,670.0,227.1,2024-11-26T14:59:33.533892,620.0,173,605.17,3364.02
280,2024-11-27,9175,MCHL,Menchhiyam Hydropower Limited,620.0,637.0,602.1,613.0,30936,19086528.2,620.0,670.0,227.1,2024-11-27T15:00:02.650361,613.0,169,616.96,3326.04
287,2024-11-28,9175,MCHL,Menchhiyam Hydropower Limited,625.0,634.0,595.0,595.0,14880,9027852.0,613.0,670.0,227.1,2024-11-28T14:59:59.342465,595.0,134,606.71,3228.37
249,2024-12-01,9175,MCHL,Menchhiyam Hydropower Limited,585.0,601.0,573.3,601.0,14174,8332804.4,595.0,670.0,227.1,2024-12-01T14:59:59.792222,601.0,134,587.89,3260.93
274,2024-12-02,9175,MCHL,Menchhiyam Hydropower Limited,589.0,620.9,575.0,575.3,17338,10197479.6,601.0,670.0,229.0,2024-12-02T14:59:59.455222,575.3,173,588.15,3121.48
269,2024-12-03,9175,MCHL,Menchhiyam Hydropower Limited,565.1,619.0,565.1,590.1,26123,15518576.6,575.3,670.0,229.0,2024-12-03T14:59:57.7743,590.1,197,594.05,3201.78
282,2024-12-04,9175,MCHL,Menchhiyam Hydropower Limited,579.0,609.9,579.0,581.2,20888,12430981.2,590.1,670.0,229.0,2024-12-04T14:59:24.571706,581.2,181,595.12,3153.49
