Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
64,2024-10-15,371,MDB,Miteri Development Bank Limited,626.0,689.0,626.0,653.1,21608,13969331.0,638.7,821.1,375.0,2024-10-15T14:59:58.894832,653.1,142,646.48,7258.73
65,2024-10-16,371,MDB,Miteri Development Bank Limited,640.1,718.0,640.1,665.0,41348,27330169.3,653.1,821.1,375.0,2024-10-16T14:59:59.991981,665.0,275,660.97,7390.99
65,2024-10-17,371,MDB,Miteri Development Bank Limited,655.0,681.0,652.1,662.0,41064,27141952.5,665.0,821.1,375.0,2024-10-17T14:57:55.010091,662.0,222,660.96,7357.64
66,2024-10-20,371,MDB,Miteri Development Bank Limited,648.8,660.0,638.2,649.0,51584,33379113.7,662.0,821.1,375.0,2024-10-20T14:59:59.73375,649.0,280,647.08,7213.16
67,2024-10-21,371,MDB,Miteri Development Bank Limited,636.1,712.0,630.1,636.0,37566,23881890.4,649.0,821.1,375.0,2024-10-21T14:59:58.104079,636.0,222,635.73,7068.67
65,2024-10-22,371,MDB,Miteri Development Bank Limited,623.3,650.0,623.3,633.8,21090,13284445.7,636.0,821.1,375.0,2024-10-22T14:59:58.611329,633.8,143,629.89,7044.22
66,2024-10-23,371,MDB,Miteri Development Bank Limited,621.2,655.0,621.2,630.0,24597,15507569.8,633.8,821.1,375.0,2024-10-23T14:59:59.181317,630.0,140,630.46,7001.99
65,2024-10-24,371,MDB,Miteri Development Bank Limited,617.4,634.0,617.4,628.9,26700,16672234.1,630.0,821.1,375.0,2024-10-24T14:59:57.595763,628.9,144,624.42,6989.76
66,2024-10-27,371,MDB,Miteri Development Bank Limited,616.4,631.4,616.4,624.8,15988,9959208.2,628.9,821.1,375.0,2024-10-27T14:59:59.178478,624.8,106,622.91,6944.19
64,2024-10-28,371,MDB,Miteri Development Bank Limited,637.2,637.2,612.5,633.1,18210,11406865.4,624.8,821.1,375.0,2024-10-28T14:59:58.396323,633.1,126,626.4,7036.44
64,2024-10-29,371,MDB,Miteri Development Bank Limited,620.5,657.0,620.5,650.0,40136,25785537.3,633.1,821.1,375.0,2024-10-29T14:59:58.969342,650.0,241,642.45,7224.27
65,2024-10-30,371,MDB,Miteri Development Bank Limited,637.0,713.0,637.0,643.0,41610,26992270.6,650.0,821.1,375.0,2024-10-30T14:59:58.120335,643.0,255,648.69,7146.47
64,2024-11-05,371,MDB,Miteri Development Bank Limited,632.1,657.9,632.1,643.0,28779,18634208.4,643.0,821.1,375.0,2024-11-05T14:59:58.73363,643.0,147,647.49,7146.47
65,2024-11-06,371,MDB,Miteri Development Bank Limited,643.0,663.0,640.0,649.0,72097,46931244.5,643.0,821.1,375.0,2024-11-06T14:59:57.812354,649.0,339,650.94,7213.16
66,2024-11-10,371,MDB,Miteri Development Bank Limited,658.0,669.0,652.1,669.0,73599,48656130.5,649.0,821.1,375.0,2024-11-10T14:59:58.570262,669.0,335,661.09,7435.44
65,2024-11-11,371,MDB,Miteri Development Bank Limited,682.0,682.0,658.6,663.0,64598,43144691.9,669.0,821.1,375.0,2024-11-11T14:59:38.938418,663.0,321,667.89,7368.76
65,2024-11-12,371,MDB,Miteri Development Bank Limited,660.0,675.0,654.0,658.0,35471,23531719.5,663.0,821.1,375.0,2024-11-12T14:59:58.508328,658.0,221,663.4,7313.19
66,2024-11-13,371,MDB,Miteri Development Bank Limited,669.0,682.3,641.0,674.8,156794,104205653.5,658.0,821.1,375.0,2024-11-13T14:59:58.387474,674.8,612,664.6,7499.91
