Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
283,2024-11-25,9203,MEHL,Manakamana Engineering Hydropower Limited,420.0,431.5,411.6,427.0,19713,8372056.7,415.1,481.9,191.7,2024-11-25T14:59:11.835397,427.0,281,424.69,3416.0
282,2024-11-26,9203,MEHL,Manakamana Engineering Hydropower Limited,420.0,452.0,418.5,452.0,52419,23021235.0,427.0,481.9,191.7,2024-11-26T14:59:58.272257,452.0,452,439.17,3616.0
296,2024-11-27,9203,MEHL,Manakamana Engineering Hydropower Limited,452.0,460.0,443.0,449.0,48958,22080717.1,452.0,481.9,191.7,2024-11-27T15:00:02.656101,449.0,364,451.01,3592.0
294,2024-11-28,9203,MEHL,Manakamana Engineering Hydropower Limited,449.0,457.0,433.0,435.0,37485,16511797.8,449.0,481.9,191.7,2024-11-28T14:59:59.154082,435.0,308,440.49,3480.0
307,2024-12-01,9203,MEHL,Manakamana Engineering Hydropower Limited,431.0,439.0,422.4,430.0,17659,7590235.9,435.0,481.9,192.4,2024-12-01T14:59:49.015518,430.0,213,429.82,3440.0
292,2024-12-02,9203,MEHL,Manakamana Engineering Hydropower Limited,427.1,465.0,426.4,441.0,55444,24643073.5,430.0,481.9,197.1,2024-12-02T14:59:56.475106,441.0,426,444.46,3528.0
286,2024-12-03,9203,MEHL,Manakamana Engineering Hydropower Limited,449.8,468.0,441.0,462.0,93844,43177238.4,441.0,481.9,197.1,2024-12-03T14:59:59.562112,462.0,740,460.09,3696.0
298,2024-12-04,9203,MEHL,Manakamana Engineering Hydropower Limited,470.0,481.9,455.2,456.0,77872,36432420.0,462.0,481.9,197.1,2024-12-04T14:59:54.28892,456.0,623,467.85,3648.0
287,2024-12-05,9203,MEHL,Manakamana Engineering Hydropower Limited,456.5,461.0,442.0,443.0,67205,30281462.0,456.0,481.9,199.9,2024-12-05T14:59:59.114982,443.0,467,450.58,3544.0
298,2024-12-08,9203,MEHL,Manakamana Engineering Hydropower Limited,441.0,462.0,439.0,445.8,41142,18403770.4,443.0,481.9,210.0,2024-12-08T14:59:59.365835,445.8,382,447.32,3566.4
294,2024-12-09,9203,MEHL,Manakamana Engineering Hydropower Limited,445.7,457.1,442.2,446.0,37452,16817857.4,445.8,481.9,210.0,2024-12-09T14:59:53.303927,446.0,323,449.05,3568.0
281,2024-12-10,9203,MEHL,Manakamana Engineering Hydropower Limited,454.0,454.0,440.5,442.3,12987,5773987.9,446.0,481.9,212.3,2024-12-10T14:59:56.32003,442.3,147,444.59,3538.4
285,2024-12-11,9203,MEHL,Manakamana Engineering Hydropower Limited,443.1,459.0,439.2,456.0,47902,21636378.7,442.3,481.9,232.0,2024-12-11T14:59:55.511917,456.0,353,451.68,3648.0
258,2024-12-12,9203,MEHL,Manakamana Engineering Hydropower Limited,456.0,489.8,451.2,472.0,97065,45667139.0,456.0,489.8,233.0,2024-12-12T14:59:57.143118,472.0,710,470.47,3776.0
294,2024-12-16,9203,MEHL,Manakamana Engineering Hydropower Limited,473.0,480.0,453.0,456.9,52844,24419551.9,472.0,489.8,246.0,2024-12-16T14:59:58.505981,456.9,357,462.1,3655.2
307,2024-12-17,9203,MEHL,Manakamana Engineering Hydropower Limited,450.0,460.0,447.1,457.0,28418,12836825.5,456.9,489.8,246.0,2024-12-17T14:59:57.923907,457.0,299,451.71,3656.0
173,2024-12-18,9203,MEHL,Manakamana Engineering Hydropower Limited,465.0,470.0,453.8,455.0,23744,10911780.3,457.0,489.8,246.0,2024-12-18T14:59:58.166952,455.0,230,459.55,3640.0
290,2024-12-19,9203,MEHL,Manakamana Engineering Hydropower Limited,450.1,461.0,444.9,447.0,34723,15626907.2,455.0,489.8,246.0,2024-12-19T14:59:56.34718,447.0,266,450.04,3576.0
296,2024-12-22,9203,MEHL,Manakamana Engineering Hydropower Limited,446.0,454.9,432.1,450.0,31904,14239678.6,447.0,489.8,246.0,2024-12-22T14:59:59.706482,450.0,283,446.32,3600.0
316,2024-12-23,9203,MEHL,Manakamana Engineering Hydropower Limited,442.0,465.0,442.0,465.0,30180,13896440.0,450.0,489.8,246.0,2024-12-23T14:59:57.674863,465.0,350,460.45,3720.0
219,2024-12-24,9203,MEHL,Manakamana Engineering Hydropower Limited,465.0,478.0,457.1,472.0,48092,22580366.7,465.0,489.8,246.0,2024-12-24T14:59:59.855419,472.0,371,469.52,3776.0
286,2024-12-26,9203,MEHL,Manakamana Engineering Hydropower Limited,470.0,489.6,462.6,473.0,67341,32307436.3,472.0,489.8,267.8,2024-12-26T14:59:59.186443,473.0,496,479.75,3784.0
243,2024-12-29,9203,MEHL,Manakamana Engineering Hydropower Limited,463.6,475.0,458.2,460.0,37843,17593932.4,473.0,489.8,267.8,2024-12-29T14:59:55.520035,460.0,280,464.91,3680.0
