Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
273,2024-10-15,9179,MEL,Modi Energy Limited,298.8,306.0,293.5,296.0,13282,3947478.0,293.0,375.0,149.0,2024-10-15T14:59:57.656483,296.0,163,297.2,8584.0
284,2024-10-16,9179,MEL,Modi Energy Limited,296.0,307.0,296.0,300.0,39180,11827173.0,296.0,375.0,149.0,2024-10-16T14:59:57.941871,300.0,367,301.86,8700.0
279,2024-10-17,9179,MEL,Modi Energy Limited,300.0,307.9,299.1,303.8,34401,10420126.0,300.0,375.0,149.0,2024-10-17T14:59:58.328843,303.8,431,302.9,8810.2
279,2024-10-20,9179,MEL,Modi Energy Limited,297.8,303.0,291.0,294.9,35592,10480911.3,303.8,375.0,149.0,2024-10-20T14:59:59.79641,294.9,327,294.47,8552.1
283,2024-10-21,9179,MEL,Modi Energy Limited,290.0,299.9,283.0,287.0,49259,14145716.3,294.9,375.0,149.0,2024-10-21T14:59:59.873435,287.0,364,287.17,8323.0
278,2024-10-22,9179,MEL,Modi Energy Limited,284.0,297.0,284.0,290.0,33050,9537190.0,287.0,375.0,149.0,2024-10-22T14:59:58.998356,290.0,334,288.56,8410.0
290,2024-10-23,9179,MEL,Modi Energy Limited,295.8,295.8,286.0,292.0,23751,6922020.0,290.0,375.0,149.0,2024-10-23T14:59:59.390814,292.0,258,291.44,8468.0
280,2024-10-24,9179,MEL,Modi Energy Limited,287.0,295.0,281.4,288.0,28565,8237723.0,292.0,375.0,149.0,2024-10-24T14:59:58.234287,288.0,269,288.38,8352.0
280,2024-10-27,9179,MEL,Modi Energy Limited,282.3,291.4,282.3,288.0,13074,3736040.6,288.0,375.0,149.0,2024-10-27T14:59:58.750286,288.0,282,285.76,8352.0
272,2024-10-28,9179,MEL,Modi Energy Limited,284.0,296.8,284.0,294.0,22769,6678133.2,288.0,375.0,149.0,2024-10-28T14:59:49.714536,294.0,292,293.29,8526.0
284,2024-10-29,9179,MEL,Modi Energy Limited,288.2,300.0,288.2,297.0,33521,9936964.4,294.0,375.0,149.0,2024-10-29T14:59:59.296228,297.0,277,296.43,8613.0
270,2024-10-30,9179,MEL,Modi Energy Limited,295.2,300.0,289.0,290.0,30592,8984869.2,297.0,375.0,149.0,2024-10-30T14:59:44.036994,290.0,213,293.69,8410.0
267,2024-11-05,9179,MEL,Modi Energy Limited,288.6,296.0,288.6,296.0,11174,3277464.5,290.0,375.0,149.0,2024-11-05T14:59:59.679535,296.0,257,293.31,8584.0
283,2024-11-06,9179,MEL,Modi Energy Limited,301.9,301.9,293.0,299.0,37812,11260410.1,296.0,375.0,149.0,2024-11-06T14:59:58.218112,299.0,336,297.79,8671.0
289,2024-11-10,9179,MEL,Modi Energy Limited,299.0,325.0,296.8,320.9,131549,41605449.9,299.0,375.0,149.0,2024-11-10T14:59:50.993874,320.9,936,316.27,9306.1
266,2024-11-11,9179,MEL,Modi Energy Limited,327.3,327.3,311.4,317.7,92380,29247211.8,320.9,375.0,149.0,2024-11-11T14:59:58.992104,317.7,621,316.59,9213.3
279,2024-11-12,9179,MEL,Modi Energy Limited,324.0,329.0,311.0,313.0,55063,17398616.3,317.7,375.0,149.0,2024-11-12T14:59:46.50677,313.0,458,315.97,9077.0
274,2024-11-13,9179,MEL,Modi Energy Limited,319.2,319.2,310.0,315.9,32564,10233366.5,313.0,375.0,149.0,2024-11-13T14:59:58.061675,315.9,373,314.25,9161.1
