Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
72,2024-11-25,516,MFIL,Manjushree Finance Ltd.,768.5,799.6,760.0,773.0,75874,59496969.6,755.0,917.0,472.0,2024-11-25T14:59:59.173583,773.0,535,784.15,10447.5
101,2024-11-26,516,MFIL,Manjushree Finance Ltd.,787.0,788.0,775.0,780.0,33834,26396139.0,773.0,917.0,472.0,2024-11-26T14:59:30.868628,780.0,246,780.16,10542.11
83,2024-11-27,516,MFIL,Manjushree Finance Ltd.,790.0,793.0,775.0,785.0,48903,38369323.6,780.0,917.0,472.0,2024-11-27T14:59:52.581708,785.0,291,784.6,10609.69
93,2024-11-28,516,MFIL,Manjushree Finance Ltd.,783.0,784.0,767.1,768.0,40712,31503519.5,785.0,917.0,472.0,2024-11-28T14:59:50.378142,768.0,272,773.81,10379.93
69,2024-12-01,516,MFIL,Manjushree Finance Ltd.,752.7,765.0,748.0,755.0,51028,38494319.1,768.0,917.0,472.0,2024-12-01T14:59:41.665434,755.0,290,754.37,10204.22
83,2024-12-02,516,MFIL,Manjushree Finance Ltd.,760.0,766.0,746.0,757.0,38704,29173233.5,755.0,917.0,480.2,2024-12-02T14:59:58.044281,757.0,284,753.75,10231.26
83,2024-12-03,516,MFIL,Manjushree Finance Ltd.,770.0,777.2,739.9,739.9,54092,41152050.5,757.0,917.0,480.2,2024-12-03T14:59:57.607274,739.9,372,760.77,10000.14
84,2024-12-04,516,MFIL,Manjushree Finance Ltd.,725.2,769.4,725.2,743.9,47124,35431577.8,739.9,917.0,480.2,2024-12-04T14:59:58.67872,743.9,280,751.87,10054.2
82,2024-12-05,516,MFIL,Manjushree Finance Ltd.,745.2,753.9,730.0,732.0,33599,24646020.0,743.9,917.0,480.2,2024-12-05T14:59:58.505659,732.0,261,733.53,9893.37
83,2024-12-08,516,MFIL,Manjushree Finance Ltd.,728.0,745.6,710.5,724.0,43899,31803203.5,732.0,917.0,480.2,2024-12-08T14:59:55.073678,724.0,300,724.46,9785.24
83,2024-12-09,516,MFIL,Manjushree Finance Ltd.,710.0,729.0,695.8,707.0,63192,44892918.7,724.0,917.0,480.2,2024-12-09T14:59:42.068629,707.0,450,710.42,9555.48
82,2024-12-10,516,MFIL,Manjushree Finance Ltd.,707.0,710.0,696.0,700.0,26890,18847630.2,707.0,917.0,480.2,2024-12-10T14:59:34.057618,700.0,258,700.91,9460.87
82,2024-12-11,516,MFIL,Manjushree Finance Ltd.,703.0,717.0,700.0,712.0,25016,17763524.9,700.0,917.0,480.2,2024-12-11T14:59:59.562502,712.0,199,710.08,9623.06
82,2024-12-12,516,MFIL,Manjushree Finance Ltd.,720.0,726.0,707.0,707.0,38697,27658267.7,712.0,917.0,480.2,2024-12-12T14:59:59.712263,707.0,224,714.73,9555.48
76,2024-12-16,516,MFIL,Manjushree Finance Ltd.,705.0,705.0,680.0,695.0,38176,26308168.5,707.0,917.0,480.2,2024-12-16T14:58:54.381924,695.0,357,689.12,9393.29
103,2024-12-17,516,MFIL,Manjushree Finance Ltd.,683.2,704.0,681.1,686.0,14474,10003415.2,695.0,917.0,480.2,2024-12-17T14:59:54.653801,686.0,138,691.12,9271.65
48,2024-12-18,516,MFIL,Manjushree Finance Ltd.,699.7,713.0,684.0,685.0,25140,17383781.6,686.0,917.0,480.2,2024-12-18T14:59:59.435144,685.0,173,691.47,9258.14
84,2024-12-19,516,MFIL,Manjushree Finance Ltd.,682.2,690.0,670.0,672.0,28106,19042236.6,685.0,917.0,480.2,2024-12-19T14:59:41.891842,672.0,234,677.51,9082.44
83,2024-12-22,516,MFIL,Manjushree Finance Ltd.,672.0,684.8,661.7,663.3,23237,15487748.0,672.0,917.0,480.2,2024-12-22T14:59:57.84261,663.3,161,666.51,8964.85
68,2024-12-23,516,MFIL,Manjushree Finance Ltd.,663.3,672.0,655.0,668.0,21043,14020462.1,663.3,917.0,480.2,2024-12-23T14:59:11.488843,668.0,132,666.27,9028.37
71,2024-12-24,516,MFIL,Manjushree Finance Ltd.,679.0,686.0,672.3,685.0,29620,20176479.3,668.0,917.0,480.2,2024-12-24T14:59:53.516364,685.0,224,681.17,9258.14
64,2024-12-26,516,MFIL,Manjushree Finance Ltd.,685.0,688.0,668.1,670.0,17035,11503932.1,685.0,917.0,480.2,2024-12-26T14:59:57.593532,670.0,159,675.31,9055.4
94,2024-12-29,516,MFIL,Manjushree Finance Ltd.,670.0,670.0,650.0,650.0,24376,15991887.1,670.0,917.0,480.2,2024-12-29T14:59:56.811675,650.0,246,656.05,8785.09
