Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
271,2024-11-25,9158,MHCL,Molung Hydropower Company Limited,424.5,441.0,421.0,430.6,11135,4791586.7,425.1,637.0,205.2,2024-11-25T14:59:59.308464,430.6,167,430.31,3455.57
239,2024-11-26,9158,MHCL,Molung Hydropower Company Limited,422.0,452.6,422.0,450.0,20989,9332159.4,430.6,637.0,205.2,2024-11-26T14:59:42.816682,450.0,284,444.62,3611.25
270,2024-11-27,9158,MHCL,Molung Hydropower Company Limited,459.0,466.0,446.1,457.0,38770,17847869.4,450.0,637.0,206.8,2024-11-27T15:00:02.649429,457.0,302,460.35,3667.43
260,2024-11-28,9158,MHCL,Molung Hydropower Company Limited,466.0,466.0,448.0,453.0,27357,12422618.0,457.0,637.0,206.8,2024-11-28T14:59:59.735888,453.0,178,454.09,3635.32
245,2024-12-01,9158,MHCL,Molung Hydropower Company Limited,462.0,462.0,443.0,445.0,14163,6354404.6,453.0,637.0,206.8,2024-12-01T14:59:56.544418,445.0,184,448.66,3571.13
264,2024-12-02,9158,MHCL,Molung Hydropower Company Limited,453.9,462.0,446.0,450.0,22809,10329004.8,445.0,637.0,213.8,2024-12-02T14:59:55.048278,450.0,231,452.84,3611.25
259,2024-12-03,9158,MHCL,Molung Hydropower Company Limited,459.0,487.8,455.0,478.0,102968,49016568.1,450.0,637.0,221.6,2024-12-03T14:59:57.608308,478.0,648,476.03,3835.95
273,2024-12-04,9158,MHCL,Molung Hydropower Company Limited,478.0,515.0,478.0,495.0,145229,73464163.1,478.0,637.0,221.6,2024-12-04T14:59:56.082662,495.0,978,505.85,3972.38
260,2024-12-05,9158,MHCL,Molung Hydropower Company Limited,493.1,508.0,482.0,508.0,73529,36449047.6,495.0,637.0,229.9,2024-12-05T14:59:58.225856,508.0,533,495.7,4076.7
271,2024-12-08,9158,MHCL,Molung Hydropower Company Limited,499.0,552.0,499.0,541.0,219498,117762347.2,508.0,637.0,251.0,2024-12-08T14:59:56.100231,541.0,1296,536.5,4341.52
264,2024-12-09,9158,MHCL,Molung Hydropower Company Limited,546.0,556.0,525.2,530.0,83227,45069309.1,541.0,637.0,254.8,2024-12-09T14:59:59.710731,530.0,632,541.52,4253.25
256,2024-12-10,9158,MHCL,Molung Hydropower Company Limited,540.0,540.6,516.0,525.0,81954,42894434.1,530.0,637.0,272.6,2024-12-10T14:59:57.111227,525.0,496,523.39,4213.13
259,2024-12-11,9158,MHCL,Molung Hydropower Company Limited,527.1,550.0,520.1,545.0,103901,56040474.4,525.0,637.0,287.5,2024-12-11T14:59:58.185531,545.0,657,539.36,4373.63
218,2024-12-12,9158,MHCL,Molung Hydropower Company Limited,536.2,592.0,536.2,574.3,245684,141520630.0,545.0,637.0,297.9,2024-12-12T14:59:58.973144,574.3,1245,576.02,4608.76
277,2024-12-16,9158,MHCL,Molung Hydropower Company Limited,574.0,574.0,552.1,554.4,147538,82428526.3,574.3,637.0,324.0,2024-12-16T14:59:59.492433,554.4,690,558.69,4449.06
292,2024-12-17,9158,MHCL,Molung Hydropower Company Limited,545.0,560.0,539.1,550.0,86488,47712538.0,554.4,637.0,333.2,2024-12-17T14:59:58.386788,550.0,507,551.66,4413.75
287,2024-12-18,9158,MHCL,Molung Hydropower Company Limited,554.0,560.0,546.0,555.0,62938,34916034.1,550.0,637.0,333.2,2024-12-18T14:59:58.073139,555.0,334,554.76,4453.88
263,2024-12-19,9158,MHCL,Molung Hydropower Company Limited,566.1,570.8,546.1,550.0,106635,59575970.3,555.0,637.0,333.2,2024-12-19T14:59:59.007597,550.0,525,558.69,4413.75
269,2024-12-22,9158,MHCL,Molung Hydropower Company Limited,540.2,556.0,535.2,551.0,78760,42908162.3,550.0,637.0,348.0,2024-12-22T14:59:57.794418,551.0,409,544.79,4421.77
249,2024-12-23,9158,MHCL,Molung Hydropower Company Limited,558.9,580.0,550.0,571.0,205152,115909931.8,551.0,637.0,355.0,2024-12-23T14:59:59.608061,571.0,941,564.99,4582.27
210,2024-12-24,9158,MHCL,Molung Hydropower Company Limited,582.4,582.4,541.0,551.0,106008,58792945.9,571.0,637.0,355.0,2024-12-24T14:59:59.411053,551.0,654,554.6,4421.77
271,2024-12-26,9158,MHCL,Molung Hydropower Company Limited,551.0,551.0,526.4,532.0,60479,32409977.7,551.0,637.0,355.0,2024-12-26T14:59:57.887208,532.0,337,535.88,4269.3
227,2024-12-29,9158,MHCL,Molung Hydropower Company Limited,532.0,539.0,516.2,527.3,85550,45021496.4,532.0,637.0,355.0,2024-12-29T14:59:57.646905,527.3,475,526.25,4231.58
