Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
130,2024-11-25,2811,MHNL,Mountain Hydro Nepal Limited,275.4,275.4,254.8,273.5,8909,2400932.7,270.0,379.0,180.6,2024-11-25T14:58:49.009509,273.5,72,269.49,3418.75
130,2024-11-26,2811,MHNL,Mountain Hydro Nepal Limited,278.7,279.0,270.0,275.0,23110,6312701.7,273.5,379.0,180.6,2024-11-26T14:59:58.581413,275.0,119,273.15,3437.5
146,2024-11-27,2811,MHNL,Mountain Hydro Nepal Limited,280.5,299.0,275.0,294.0,96867,28396241.1,275.0,379.0,180.6,2024-11-27T14:59:36.17246,294.0,401,293.14,3675.0
139,2024-11-28,2811,MHNL,Mountain Hydro Nepal Limited,294.0,297.0,284.0,288.0,21035,6096862.6,294.0,379.0,180.6,2024-11-28T14:59:58.204814,288.0,157,289.84,3600.0
163,2024-12-01,2811,MHNL,Mountain Hydro Nepal Limited,284.0,285.0,273.0,285.0,40350,11245689.6,288.0,379.0,180.6,2024-12-01T14:59:43.587154,285.0,199,278.7,3562.5
145,2024-12-02,2811,MHNL,Mountain Hydro Nepal Limited,288.6,298.0,280.1,289.0,42798,12441652.1,285.0,379.0,180.6,2024-12-02T14:59:09.526752,289.0,180,290.7,3612.5
146,2024-12-03,2811,MHNL,Mountain Hydro Nepal Limited,294.7,300.5,290.4,296.0,75125,22359599.0,289.0,379.0,180.6,2024-12-03T14:59:36.626204,296.0,316,297.63,3700.0
146,2024-12-04,2811,MHNL,Mountain Hydro Nepal Limited,300.0,304.8,291.2,291.2,53311,15950757.7,296.0,379.0,180.6,2024-12-04T14:58:42.985417,291.2,221,299.2,3640.0
143,2024-12-05,2811,MHNL,Mountain Hydro Nepal Limited,286.0,292.0,281.0,281.8,24627,7047697.6,291.2,379.0,182.6,2024-12-05T14:59:58.782517,281.8,139,286.17,3522.5
148,2024-12-08,2811,MHNL,Mountain Hydro Nepal Limited,287.0,295.6,276.0,276.0,21229,5946666.8,281.8,379.0,188.0,2024-12-08T14:59:38.255659,276.0,120,280.11,3450.0
144,2024-12-09,2811,MHNL,Mountain Hydro Nepal Limited,276.0,284.0,275.0,282.0,21293,5909917.6,276.0,379.0,195.0,2024-12-09T14:59:59.821158,282.0,93,277.55,3525.0
143,2024-12-10,2811,MHNL,Mountain Hydro Nepal Limited,287.6,287.6,272.6,278.0,17790,4925786.0,282.0,379.0,200.1,2024-12-10T14:59:59.498952,278.0,73,276.88,3475.0
143,2024-12-11,2811,MHNL,Mountain Hydro Nepal Limited,283.5,284.0,272.5,282.0,10464,2939102.4,278.0,379.0,202.1,2024-12-11T14:59:42.579847,282.0,64,280.87,3525.0
148,2024-12-12,2811,MHNL,Mountain Hydro Nepal Limited,287.6,287.6,274.6,274.6,17867,4964754.8,282.0,379.0,202.1,2024-12-12T14:59:15.382075,274.6,89,277.87,3432.5
154,2024-12-16,2811,MHNL,Mountain Hydro Nepal Limited,269.5,275.0,266.2,270.0,20021,5395577.1,274.6,379.0,213.2,2024-12-16T14:58:04.124379,270.0,99,269.49,3375.0
123,2024-12-17,2811,MHNL,Mountain Hydro Nepal Limited,272.0,275.4,268.0,272.0,11301,3066902.0,270.0,379.0,213.2,2024-12-17T14:59:47.814635,272.0,51,271.38,3400.0
78,2024-12-18,2811,MHNL,Mountain Hydro Nepal Limited,271.0,275.0,266.6,266.8,9293,2494402.6,272.0,379.0,213.2,2024-12-18T14:59:22.70151,266.8,66,268.41,3335.0
146,2024-12-19,2811,MHNL,Mountain Hydro Nepal Limited,265.0,270.0,260.0,264.0,14882,3897433.5,266.8,379.0,213.2,2024-12-19T14:59:25.424797,264.0,80,261.88,3300.0
147,2024-12-22,2811,MHNL,Mountain Hydro Nepal Limited,263.8,270.3,256.0,269.9,13637,3550719.9,264.0,379.0,213.2,2024-12-22T14:59:33.008582,269.9,73,260.37,3373.75
157,2024-12-23,2811,MHNL,Mountain Hydro Nepal Limited,264.6,274.0,264.6,272.5,11612,3098338.5,269.9,379.0,213.2,2024-12-23T14:59:59.271711,272.5,67,266.82,3406.25
126,2024-12-24,2811,MHNL,Mountain Hydro Nepal Limited,275.9,275.9,261.1,266.0,16995,4519032.5,272.5,379.0,213.2,2024-12-24T14:59:58.20372,266.0,112,265.9,3325.0
126,2024-12-26,2811,MHNL,Mountain Hydro Nepal Limited,262.5,269.9,261.1,264.0,11962,3152552.2,266.0,379.0,213.2,2024-12-26T14:59:41.67784,264.0,65,263.54,3300.0
168,2024-12-29,2811,MHNL,Mountain Hydro Nepal Limited,260.0,267.0,258.8,260.0,12658,3308144.6,264.0,379.0,213.2,2024-12-29T14:59:58.741783,260.0,88,261.34,3250.0
