Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
264,2024-10-15,9167,MKHL,Mai Khola Hydropower Limited,506.9,506.9,487.3,500.0,1570,780711.0,497.0,714.0,224.6,2024-10-15T14:59:54.515453,500.0,36,497.26,1960.78
274,2024-10-16,9167,MKHL,Mai Khola Hydropower Limited,505.0,530.0,495.0,530.0,17729,9154627.1,500.0,714.0,224.6,2024-10-16T14:58:40.185034,530.0,137,516.36,2078.43
271,2024-10-17,9167,MKHL,Mai Khola Hydropower Limited,539.0,540.0,512.0,530.0,10453,5539460.7,530.0,714.0,224.6,2024-10-17T14:59:34.194249,530.0,136,529.93,2078.43
271,2024-10-20,9167,MKHL,Mai Khola Hydropower Limited,519.5,550.0,494.9,515.0,28382,14609057.1,530.0,714.0,224.6,2024-10-20T14:59:51.089528,515.0,214,514.72,2019.61
274,2024-10-21,9167,MKHL,Mai Khola Hydropower Limited,525.3,525.3,490.1,496.0,17361,8611578.1,515.0,714.0,224.6,2024-10-21T14:59:37.892307,496.0,111,496.03,1945.1
269,2024-10-22,9167,MKHL,Mai Khola Hydropower Limited,488.2,514.0,488.0,499.0,4058,1997310.0,496.0,714.0,224.6,2024-10-22T14:59:58.648289,499.0,89,492.19,1956.86
280,2024-10-23,9167,MKHL,Mai Khola Hydropower Limited,490.0,514.9,488.0,493.0,18570,9111565.0,499.0,714.0,224.6,2024-10-23T14:58:36.815252,493.0,107,490.66,1933.33
271,2024-10-24,9167,MKHL,Mai Khola Hydropower Limited,502.8,503.7,488.0,496.0,8867,4423844.9,493.0,714.0,224.6,2024-10-24T14:59:49.321668,496.0,86,498.91,1945.1
272,2024-10-27,9167,MKHL,Mai Khola Hydropower Limited,496.0,545.6,496.0,545.6,73036,38488429.9,496.0,714.0,224.6,2024-10-27T14:59:48.4415,545.6,575,526.97,2139.61
263,2024-10-28,9167,MKHL,Mai Khola Hydropower Limited,556.5,589.5,549.1,560.0,34539,19760995.8,545.6,714.0,224.6,2024-10-28T14:59:58.341144,560.0,356,572.13,2196.08
275,2024-10-29,9167,MKHL,Mai Khola Hydropower Limited,550.0,577.0,550.0,560.0,15712,8818640.3,560.0,714.0,224.6,2024-10-29T14:59:58.695482,560.0,171,561.26,2196.08
262,2024-10-30,9167,MKHL,Mai Khola Hydropower Limited,548.8,573.0,535.0,535.1,49940,27194109.1,560.0,714.0,224.6,2024-10-30T14:59:56.26174,535.1,366,544.53,2098.43
258,2024-11-05,9167,MKHL,Mai Khola Hydropower Limited,530.0,551.4,526.4,539.0,5401,2906586.6,535.1,714.0,232.0,2024-11-05T14:59:58.986072,539.0,83,538.15,2113.73
274,2024-11-06,9167,MKHL,Mai Khola Hydropower Limited,533.2,554.0,532.0,551.9,10155,5487777.8,539.0,714.0,232.0,2024-11-06T14:54:09.427442,551.9,143,540.4,2164.31
279,2024-11-10,9167,MKHL,Mai Khola Hydropower Limited,552.0,567.1,541.0,562.0,30135,16723618.7,551.9,714.0,232.0,2024-11-10T14:59:09.129281,562.0,285,554.95,2203.92
258,2024-11-11,9167,MKHL,Mai Khola Hydropower Limited,572.0,576.3,561.0,566.0,45759,26059533.5,562.0,714.0,232.0,2024-11-11T14:59:17.772658,566.0,323,569.49,2219.61
271,2024-11-12,9167,MKHL,Mai Khola Hydropower Limited,568.0,577.0,560.0,563.7,23652,13459078.6,566.0,714.0,232.0,2024-11-12T14:59:44.117197,563.7,230,569.04,2210.59
266,2024-11-13,9167,MKHL,Mai Khola Hydropower Limited,555.0,580.0,555.0,574.0,26447,14966534.7,563.7,714.0,232.0,2024-11-13T14:59:57.828376,574.0,239,565.9,2250.98
278,2024-11-14,9167,MKHL,Mai Khola Hydropower Limited,565.1,600.0,565.1,597.0,35948,21193986.0,574.0,714.0,232.0,2024-11-14T14:59:53.956492,597.0,343,589.57,2341.18
281,2024-11-17,9167,MKHL,Mai Khola Hydropower Limited,597.0,610.0,591.0,598.0,27182,16331610.3,597.0,714.0,232.0,2024-11-17T14:59:19.525591,598.0,327,600.82,2345.1
268,2024-11-19,9167,MKHL,Mai Khola Hydropower Limited,588.2,600.0,557.1,557.1,27636,16047465.1,598.0,714.0,232.0,2024-11-19T14:59:59.281764,557.1,222,580.67,2184.71
279,2024-11-20,9167,MKHL,Mai Khola Hydropower Limited,553.0,582.4,553.0,581.0,14220,8071869.7,557.1,714.0,232.0,2024-11-20T14:59:57.208821,581.0,149,567.64,2278.43
271,2024-11-21,9167,MKHL,Mai Khola Hydropower Limited,592.0,592.0,565.0,565.0,19051,10960008.4,581.0,714.0,235.2,2024-11-21T14:59:37.152109,565.0,157,575.29,2215.69
279,2024-11-24,9167,MKHL,Mai Khola Hydropower Limited,576.3,585.0,566.0,580.1,47483,27386704.4,565.0,714.0,235.2,2024-11-24T14:59:40.74335,580.1,238,576.76,2274.9
273,2024-11-25,9167,MKHL,Mai Khola Hydropower Limited,590.0,600.0,588.0,594.8,28576,16933648.9,580.1,714.0,235.2,2024-11-25T14:59:57.339323,594.8,268,592.58,2332.55
