Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
203,2024-10-15,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,478.3,487.8,460.2,475.0,8091,3794329.3,469.0,735.0,308.1,2024-10-15T14:59:48.794783,475.0,64,468.95,1787.52
210,2024-10-16,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,484.3,485.0,475.0,480.0,13252,6378830.2,475.0,735.0,308.1,2024-10-16T14:59:37.32505,480.0,112,481.34,1806.34
208,2024-10-17,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,488.0,488.0,471.0,475.0,21252,10220261.0,480.0,735.0,308.1,2024-10-17T14:59:51.555621,475.0,156,480.9,1787.52
208,2024-10-20,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,484.5,484.5,457.0,463.0,32519,15108319.3,475.0,735.0,308.1,2024-10-20T14:59:56.82338,463.0,239,464.59,1742.36
212,2024-10-21,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,472.2,472.2,442.0,442.0,26328,11856548.4,463.0,735.0,308.1,2024-10-21T14:59:51.822512,442.0,207,450.33,1663.33
207,2024-10-22,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,450.8,469.0,445.0,468.9,31184,14230714.2,442.0,735.0,308.1,2024-10-22T14:59:37.921948,468.9,212,456.34,1764.56
216,2024-10-23,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,468.9,474.2,461.8,467.9,17439,8144259.4,468.9,735.0,308.1,2024-10-23T14:59:56.411771,467.9,170,467.01,1760.8
209,2024-10-24,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,477.2,477.2,456.0,472.0,22400,10432501.9,467.9,735.0,308.1,2024-10-24T14:59:57.825001,472.0,173,465.73,1776.23
211,2024-10-27,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,481.4,481.4,462.3,470.0,27504,12836190.9,472.0,735.0,308.1,2024-10-27T14:59:53.13542,470.0,154,466.7,1768.7
204,2024-10-28,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,474.0,484.0,470.0,481.0,29541,14154097.3,470.0,735.0,308.1,2024-10-28T14:59:57.916879,481.0,194,479.13,1810.1
210,2024-10-29,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,490.0,493.0,478.8,488.5,26533,12974617.8,481.0,735.0,308.1,2024-10-29T14:59:40.755236,488.5,173,488.99,1838.32
201,2024-10-30,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,490.0,494.9,480.0,488.0,24888,12091502.8,488.5,735.0,308.1,2024-10-30T14:59:59.170175,488.0,143,485.83,1836.44
198,2024-11-05,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,497.7,497.7,477.0,484.8,14969,7202202.9,488.0,735.0,308.1,2024-11-05T14:57:49.004956,484.8,104,481.14,1824.4
211,2024-11-06,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,494.4,494.4,475.4,485.0,12671,6069487.3,484.8,735.0,308.1,2024-11-06T14:59:59.704733,485.0,106,479.0,1825.15
213,2024-11-10,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,494.7,532.1,485.0,529.0,100344,51508851.5,485.0,735.0,308.1,2024-11-10T14:59:59.089327,529.0,657,513.32,1990.73
198,2024-11-11,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,539.5,539.5,516.0,522.0,75403,39717179.9,529.0,735.0,308.1,2024-11-11T14:59:57.661716,522.0,434,526.73,1964.39
207,2024-11-12,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,532.4,532.4,517.5,519.0,37123,19513455.8,522.0,735.0,308.1,2024-11-12T14:59:43.423215,519.0,235,525.64,1953.1
204,2024-11-13,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,529.3,529.3,509.0,511.0,53861,27594276.7,519.0,735.0,308.1,2024-11-13T14:59:58.397061,511.0,353,512.32,1922.99
214,2024-11-14,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,521.2,537.5,519.0,533.0,98995,52550946.3,511.0,735.0,308.1,2024-11-14T14:59:59.78683,533.0,503,530.84,2005.78
218,2024-11-17,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,522.4,560.0,522.4,549.0,67597,37175247.0,533.0,735.0,308.1,2024-11-17T14:59:56.649275,549.0,382,549.95,2066.0
208,2024-11-19,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,550.1,553.9,513.0,520.0,83442,44490036.7,549.0,735.0,308.1,2024-11-19T14:59:58.723486,520.0,444,533.18,1956.86
