Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
78,2024-11-25,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1776.0,1818.0,1772.0,1788.0,7382,13210163.4,1812.0,1950.0,657.0,2024-11-25T14:59:57.959573,1788.0,134,1789.51,3504.53
108,2024-11-26,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1752.3,1960.0,1720.0,1960.0,50190,89045127.7,1788.0,1960.0,657.0,2024-11-26T14:59:55.079966,1960.0,319,1774.16,3841.65
93,2024-11-27,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1920.8,1920.8,1764.0,1764.0,76453,135258492.8,1960.0,1960.0,657.0,2024-11-27T14:59:49.623494,1764.0,661,1769.17,3457.49
83,2024-11-28,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1729.0,1788.0,1695.0,1705.0,37622,64338425.3,1764.0,1960.0,657.0,2024-11-28T14:59:59.356043,1705.0,311,1710.12,3341.85
104,2024-12-01,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1671.0,1700.0,1648.0,1681.0,18114,30209092.6,1705.0,1960.0,657.0,2024-12-01T14:59:57.128934,1681.0,237,1667.72,3294.81
93,2024-12-02,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1650.0,1705.0,1650.0,1700.0,10732,17915904.7,1681.0,1960.0,657.0,2024-12-02T14:59:59.45891,1700.0,162,1669.39,3332.05
94,2024-12-03,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1666.0,1699.0,1660.0,1688.0,4381,7359484.2,1700.0,1960.0,657.0,2024-12-03T14:59:55.610943,1688.0,90,1679.86,3308.53
95,2024-12-04,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1655.0,1720.0,1655.0,1695.0,7159,12073261.0,1688.0,1960.0,670.0,2024-12-04T14:59:59.624696,1695.0,104,1686.44,3322.25
92,2024-12-05,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1662.0,1690.0,1640.3,1664.9,9700,16068617.4,1695.0,1960.0,675.0,2024-12-05T14:59:57.297511,1664.9,150,1656.55,3263.25
94,2024-12-08,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1632.0,1715.0,1632.0,1708.0,16020,27004816.8,1664.9,1960.0,696.0,2024-12-08T14:59:57.353172,1708.0,205,1685.69,3347.73
93,2024-12-09,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1674.0,1740.0,1674.0,1682.0,5001,8485878.8,1708.0,1960.0,696.0,2024-12-09T14:59:21.463157,1682.0,103,1696.83,3296.77
92,2024-12-10,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1649.0,1697.9,1649.0,1675.0,5128,8561265.0,1682.0,1960.0,696.0,2024-12-10T14:59:59.753256,1675.0,107,1669.51,3283.05
92,2024-12-11,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1642.0,1705.0,1642.0,1698.0,5015,8405976.5,1675.0,1960.0,696.0,2024-12-11T14:59:57.86341,1698.0,105,1676.16,3328.13
93,2024-12-12,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1670.0,1699.6,1651.0,1660.0,6488,10801755.1,1698.0,1960.0,696.0,2024-12-12T14:59:55.833521,1660.0,140,1664.88,3253.65
97,2024-12-16,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1627.0,1655.0,1610.0,1652.0,11740,19052082.0,1660.0,1960.0,723.0,2024-12-16T14:59:58.875259,1652.0,155,1622.83,3237.97
68,2024-12-17,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1620.0,1669.9,1620.0,1654.0,4891,8061248.6,1652.0,1960.0,747.0,2024-12-17T14:59:59.414372,1654.0,90,1648.18,3241.89
200,2024-12-18,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1622.0,1697.0,1622.0,1650.0,6519,10908388.0,1654.0,1960.0,747.0,2024-12-18T14:59:54.19157,1650.0,80,1673.32,3234.05
95,2024-12-19,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1620.0,1677.0,1620.0,1639.0,5274,8688212.8,1650.0,1960.0,747.0,2024-12-19T14:59:59.484223,1639.0,82,1647.36,3212.49
93,2024-12-22,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1607.0,1647.8,1607.0,1630.0,4783,7801458.8,1639.0,1960.0,747.0,2024-12-22T14:59:59.564869,1630.0,81,1631.08,3194.85
73,2024-12-23,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1640.0,1684.9,1640.0,1678.0,11266,18687793.5,1630.0,1960.0,747.0,2024-12-23T14:58:26.718548,1678.0,134,1658.77,3288.93
78,2024-12-24,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1650.0,1736.0,1650.0,1722.0,17189,29492625.9,1678.0,1960.0,747.0,2024-12-24T14:59:59.604176,1722.0,239,1715.78,3375.17
73,2024-12-26,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1537.3,1595.2,1537.3,1565.0,12601,19735956.3,1507.22,1960.0,747.0,2024-12-26T14:59:58.698767,1565.0,193,1566.22,3504.55
