Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
69,2024-10-15,401,MLBL,Mahalaxmi Bikas Bank Ltd.,404.0,415.0,404.0,415.0,9177,3754667.2,407.6,498.0,291.0,2024-10-15T14:59:43.719111,415.0,72,409.13,17310.97
70,2024-10-16,401,MLBL,Mahalaxmi Bikas Bank Ltd.,412.0,424.1,411.0,421.9,24249,10216824.9,415.0,498.0,291.0,2024-10-16T14:59:53.87528,421.9,143,421.32,17598.79
70,2024-10-17,401,MLBL,Mahalaxmi Bikas Bank Ltd.,422.0,427.6,415.2,419.0,43751,18461060.6,421.9,498.0,291.0,2024-10-17T14:59:58.555481,419.0,169,421.95,17477.82
71,2024-10-20,401,MLBL,Mahalaxmi Bikas Bank Ltd.,415.0,417.0,407.0,409.5,53345,21949101.9,419.0,498.0,291.0,2024-10-20T14:59:37.253718,409.5,208,411.45,17081.55
72,2024-10-21,401,MLBL,Mahalaxmi Bikas Bank Ltd.,409.0,410.0,400.0,400.0,55584,22451594.0,409.5,498.0,291.0,2024-10-21T14:59:45.693787,400.0,210,403.92,16685.27
70,2024-10-22,401,MLBL,Mahalaxmi Bikas Bank Ltd.,404.0,407.0,400.0,404.9,18445,7428072.4,400.0,498.0,291.0,2024-10-22T14:59:51.067884,404.9,118,402.71,16889.67
71,2024-10-23,401,MLBL,Mahalaxmi Bikas Bank Ltd.,400.2,405.0,397.1,398.0,23981,9604733.5,404.9,498.0,291.0,2024-10-23T14:59:41.786826,398.0,127,400.51,16601.85
70,2024-10-24,401,MLBL,Mahalaxmi Bikas Bank Ltd.,398.0,398.0,392.1,397.7,19590,7724154.0,398.0,498.0,291.0,2024-10-24T14:59:58.052071,397.7,118,394.29,16589.33
71,2024-10-27,401,MLBL,Mahalaxmi Bikas Bank Ltd.,400.0,402.0,392.1,392.5,21213,8408063.8,397.7,498.0,291.0,2024-10-27T14:59:44.633988,392.5,132,396.36,16372.43
69,2024-10-28,401,MLBL,Mahalaxmi Bikas Bank Ltd.,399.5,400.0,394.0,398.0,35472,14090972.3,392.5,498.0,291.0,2024-10-28T14:59:57.852763,398.0,122,397.24,16601.85
69,2024-10-29,401,MLBL,Mahalaxmi Bikas Bank Ltd.,399.0,406.0,399.0,405.8,36242,14630071.6,398.0,498.0,291.0,2024-10-29T14:59:56.503695,405.8,191,403.67,16927.21
70,2024-10-30,401,MLBL,Mahalaxmi Bikas Bank Ltd.,403.0,409.0,395.1,397.0,31943,12858657.7,405.8,498.0,291.0,2024-10-30T14:59:56.729684,397.0,143,402.55,16560.13
69,2024-11-05,401,MLBL,Mahalaxmi Bikas Bank Ltd.,394.0,401.0,394.0,397.5,20371,8125392.8,397.0,498.0,293.3,2024-11-05T14:58:57.188062,397.5,51,398.87,16580.99
70,2024-11-06,401,MLBL,Mahalaxmi Bikas Bank Ltd.,400.0,408.9,395.4,403.2,21090,8466307.9,397.5,498.0,293.3,2024-11-06T14:59:47.548667,403.2,129,401.43,16818.76
71,2024-11-10,401,MLBL,Mahalaxmi Bikas Bank Ltd.,404.0,415.5,400.6,415.5,70814,29060566.7,403.2,498.0,293.3,2024-11-10T14:59:56.17554,415.5,306,410.37,17331.83
70,2024-11-11,401,MLBL,Mahalaxmi Bikas Bank Ltd.,422.9,428.0,412.6,415.0,69667,29332881.4,415.5,498.0,293.3,2024-11-11T14:59:59.755898,415.0,368,421.04,17310.97
70,2024-11-12,401,MLBL,Mahalaxmi Bikas Bank Ltd.,420.0,420.8,413.0,416.8,58859,24603733.8,415.0,498.0,293.3,2024-11-12T14:59:34.095132,416.8,151,418.01,17386.06
71,2024-11-13,401,MLBL,Mahalaxmi Bikas Bank Ltd.,413.0,424.3,412.0,422.0,40448,16915090.1,416.8,498.0,293.3,2024-11-13T14:59:57.982479,422.0,213,418.19,17602.96
70,2024-11-14,401,MLBL,Mahalaxmi Bikas Bank Ltd.,422.0,432.0,420.0,425.0,86086,36813913.5,422.0,498.0,293.3,2024-11-14T14:59:56.601135,425.0,410,427.64,17728.1
69,2024-11-17,401,MLBL,Mahalaxmi Bikas Bank Ltd.,433.0,438.0,423.1,429.0,67830,29223457.3,425.0,498.0,293.3,2024-11-17T14:59:39.460485,429.0,328,430.83,17894.96
71,2024-11-19,401,MLBL,Mahalaxmi Bikas Bank Ltd.,425.1,427.0,413.0,413.0,60731,25380235.2,429.0,498.0,293.3,2024-11-19T14:59:59.964879,413.0,302,417.91,17227.55
70,2024-11-20,401,MLBL,Mahalaxmi Bikas Bank Ltd.,411.0,429.9,410.1,426.9,87734,36954711.0,413.0,498.0,293.3,2024-11-20T14:59:57.74852,426.9,301,421.21,17807.36
71,2024-11-21,401,MLBL,Mahalaxmi Bikas Bank Ltd.,427.0,434.0,415.0,417.5,82844,34999195.6,426.9,498.0,294.0,2024-11-21T14:59:49.749395,417.5,296,422.47,17415.26
71,2024-11-24,401,MLBL,Mahalaxmi Bikas Bank Ltd.,418.0,423.0,408.0,410.0,40794,16849239.9,417.5,498.0,294.0,2024-11-24T14:59:20.487581,410.0,236,413.03,17102.41
90,2024-11-25,401,MLBL,Mahalaxmi Bikas Bank Ltd.,408.1,416.0,407.2,412.0,28261,11640367.4,410.0,498.0,294.0,2024-11-25T14:59:18.3942,412.0,167,411.88,17185.83
61,2024-11-26,401,MLBL,Mahalaxmi Bikas Bank Ltd.,420.2,420.2,413.0,416.0,35943,14921032.7,412.0,498.0,294.0,2024-11-26T14:59:55.05052,416.0,144,415.13,17352.69
70,2024-11-27,401,MLBL,Mahalaxmi Bikas Bank Ltd.,418.0,430.0,414.0,426.0,68958,29175323.7,416.0,498.0,294.0,2024-11-27T14:59:58.402977,426.0,272,423.08,17769.82
67,2024-11-28,401,MLBL,Mahalaxmi Bikas Bank Ltd.,417.5,447.0,417.5,429.8,230299,100270925.0,426.0,498.0,294.0,2024-11-28T14:59:59.074238,429.8,792,435.39,17928.33
94,2024-12-01,401,MLBL,Mahalaxmi Bikas Bank Ltd.,422.0,447.0,416.0,445.9,226995,99810063.7,429.8,498.0,294.0,2024-12-01T14:59:57.442627,445.9,815,439.7,18599.91
70,2024-12-02,401,MLBL,Mahalaxmi Bikas Bank Ltd.,450.0,460.0,432.0,434.0,208230,93410120.7,445.9,498.0,294.0,2024-12-02T14:59:53.875669,434.0,969,448.59,18103.52
70,2024-12-03,401,MLBL,Mahalaxmi Bikas Bank Ltd.,442.4,442.6,425.5,434.6,52538,22740394.2,434.0,498.0,294.0,2024-12-03T14:59:59.129536,434.6,281,432.83,18128.55
70,2024-12-04,401,MLBL,Mahalaxmi Bikas Bank Ltd.,443.2,443.2,422.0,423.0,75877,32462615.3,434.6,498.0,294.0,2024-12-04T14:59:59.700726,423.0,359,427.83,17644.68
70,2024-12-05,401,MLBL,Mahalaxmi Bikas Bank Ltd.,420.1,428.0,416.2,425.0,119589,50404407.6,423.0,498.0,294.0,2024-12-05T14:59:53.125908,425.0,371,421.48,17728.1
70,2024-12-08,401,MLBL,Mahalaxmi Bikas Bank Ltd.,417.3,429.9,410.0,415.0,67822,28390863.7,425.0,498.0,304.0,2024-12-08T14:59:59.112515,415.0,294,418.6,17310.97
69,2024-12-09,401,MLBL,Mahalaxmi Bikas Bank Ltd.,417.0,418.0,410.0,411.9,38120,15732069.6,415.0,498.0,305.8,2024-12-09T14:59:50.522092,411.9,187,412.69,17181.66
69,2024-12-10,401,MLBL,Mahalaxmi Bikas Bank Ltd.,418.0,418.0,405.0,410.0,28382,11585584.3,411.9,498.0,305.8,2024-12-10T14:59:56.690609,410.0,175,408.2,17102.41
69,2024-12-11,401,MLBL,Mahalaxmi Bikas Bank Ltd.,405.2,414.8,405.2,414.8,19201,7890158.0,410.0,498.0,305.8,2024-12-11T14:59:59.083751,414.8,131,410.92,17302.63
53,2024-12-12,401,MLBL,Mahalaxmi Bikas Bank Ltd.,415.0,415.0,403.1,405.0,40078,16347085.7,414.8,498.0,305.8,2024-12-12T14:59:58.59258,405.0,210,407.88,16893.84
