Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2024-10-15,131,NABIL,Nabil Bank Limited,593.0,601.0,593.0,600.0,69441,41603987.7,593.0,700.0,419.0,2024-10-15T14:59:56.395796,600.0,369,599.12,162341.99
1,2024-10-16,131,NABIL,Nabil Bank Limited,608.0,608.0,601.0,608.0,94498,57089953.3,600.0,700.0,419.0,2024-10-16T14:59:53.111571,608.0,609,604.13,164506.55
1,2024-10-17,131,NABIL,Nabil Bank Limited,615.0,619.0,602.0,607.1,70872,43161960.0,608.0,700.0,419.0,2024-10-17T14:59:59.02181,607.1,531,609.01,164263.04
1,2024-10-20,131,NABIL,Nabil Bank Limited,600.0,606.0,593.0,597.0,100302,60079137.9,607.1,700.0,419.0,2024-10-20T14:59:45.288004,597.0,752,598.98,161530.28
1,2024-10-21,131,NABIL,Nabil Bank Limited,595.0,597.0,584.0,585.5,112249,65959989.5,597.0,700.0,419.0,2024-10-21T14:59:58.840677,585.5,798,587.62,158418.73
1,2024-10-22,131,NABIL,Nabil Bank Limited,581.5,592.0,577.0,591.0,77275,45295626.1,585.5,700.0,419.0,2024-10-22T14:59:48.496032,591.0,575,586.16,159906.86
1,2024-10-23,131,NABIL,Nabil Bank Limited,591.0,607.2,591.0,594.0,63996,38422281.4,591.0,700.0,419.0,2024-10-23T14:59:58.815531,594.0,626,600.38,160718.57
1,2024-10-24,131,NABIL,Nabil Bank Limited,590.1,600.0,590.0,591.5,41245,24407052.4,594.0,700.0,419.0,2024-10-24T14:59:47.870015,591.5,526,591.75,160042.15
1,2024-10-27,131,NABIL,Nabil Bank Limited,588.09,599.0,585.1,587.0,33289,19567963.7,591.5,700.0,419.0,2024-10-27T14:59:42.495073,587.0,426,587.82,158824.58
1,2024-10-28,131,NABIL,Nabil Bank Limited,585.0,594.9,583.5,585.0,51581,30212476.4,587.0,700.0,419.0,2024-10-28T14:59:44.74463,585.0,459,585.72,158283.44
1,2024-10-29,131,NABIL,Nabil Bank Limited,595.0,595.0,586.1,591.8,38978,23000072.2,585.0,700.0,419.0,2024-10-29T14:59:58.229826,591.8,358,590.07,160123.32
1,2024-10-30,131,NABIL,Nabil Bank Limited,580.0,583.0,569.0,576.0,215581,124439618.6,591.8,700.0,419.0,2024-10-30T14:59:52.053323,576.0,1692,577.22,155848.31
1,2024-11-05,131,NABIL,Nabil Bank Limited,570.1,576.0,565.0,567.0,98344,55680204.4,576.0,700.0,419.0,2024-11-05T14:59:52.567918,567.0,849,566.17,153413.18
1,2024-11-06,131,NABIL,Nabil Bank Limited,565.0,567.0,562.8,564.6,54129,30511010.0,567.0,700.0,419.0,2024-11-06T14:59:57.209429,564.6,558,563.67,152763.81
1,2024-11-10,131,NABIL,Nabil Bank Limited,565.0,573.0,565.0,570.0,108867,61944872.8,564.6,700.0,419.0,2024-11-10T14:59:54.220252,570.0,654,568.99,154224.89
1,2024-11-11,131,NABIL,Nabil Bank Limited,573.0,579.0,568.0,569.0,87145,49937465.2,570.0,700.0,419.0,2024-11-11T14:59:52.002376,569.0,762,573.03,153954.32
1,2024-11-12,131,NABIL,Nabil Bank Limited,570.6,572.0,566.0,566.2,58126,33088676.4,569.0,700.0,419.0,2024-11-12T14:59:57.727716,566.2,539,569.25,153196.72
1,2024-11-13,131,NABIL,Nabil Bank Limited,566.2,570.0,560.2,561.0,48085,27086743.4,566.2,700.0,419.0,2024-11-13T14:59:56.819632,561.0,500,563.3,151789.76
1,2024-11-14,131,NABIL,Nabil Bank Limited,566.0,566.0,557.0,562.0,59666,33459901.3,561.0,700.0,419.0,2024-11-14T14:59:56.007188,562.0,636,560.78,152060.33
1,2024-11-17,131,NABIL,Nabil Bank Limited,562.0,570.0,562.0,562.1,62749,35417355.5,562.0,700.0,419.0,2024-11-17T14:59:58.677038,562.1,678,564.42,152087.39
1,2024-11-19,131,NABIL,Nabil Bank Limited,560.0,568.0,557.0,559.8,84892,47657769.9,562.1,700.0,419.0,2024-11-19T14:59:54.316915,559.8,849,561.39,151465.08
1,2024-11-20,131,NABIL,Nabil Bank Limited,560.0,562.0,552.0,557.0,61578,34157291.3,559.8,700.0,419.0,2024-11-20T14:59:58.686697,557.0,630,554.69,150707.48
1,2024-11-21,131,NABIL,Nabil Bank Limited,565.0,565.0,552.2,553.7,56753,31472593.9,557.0,700.0,419.0,2024-11-21T14:59:57.303941,553.7,576,554.55,149814.6
1,2024-11-24,131,NABIL,Nabil Bank Limited,564.0,564.7,555.0,558.0,109617,61141240.4,553.7,700.0,419.0,2024-11-24T14:59:59.596997,558.0,818,557.77,150978.05
1,2024-11-25,131,NABIL,Nabil Bank Limited,569.1,569.1,542.7,547.6,78417,42826396.0,558.0,700.0,419.0,2024-11-25T14:59:59.085189,547.6,806,546.13,148164.12
29,2024-11-26,131,NABIL,Nabil Bank Limited,547.6,556.0,540.0,545.0,96250,52398724.4,547.6,700.0,419.0,2024-11-26T14:59:56.462598,545.0,764,544.4,147460.64
1,2024-11-27,131,NABIL,Nabil Bank Limited,545.0,549.5,544.0,548.0,59923,32781668.0,545.0,700.0,419.0,2024-11-27T15:00:02.611261,548.0,630,547.06,148272.35
1,2024-11-28,131,NABIL,Nabil Bank Limited,545.0,551.0,539.0,540.0,98283,53383609.8,548.0,700.0,419.0,2024-11-28T14:59:51.206794,540.0,774,543.16,146107.79
1,2024-12-01,131,NABIL,Nabil Bank Limited,537.3,540.0,534.1,536.0,79422,42627477.8,540.0,700.0,419.0,2024-12-01T14:59:58.139647,536.0,695,536.72,145025.51
1,2024-12-02,131,NABIL,Nabil Bank Limited,546.7,546.7,533.0,534.0,80685,43132809.2,536.0,700.0,419.0,2024-12-02T14:59:42.345823,534.0,776,534.58,144484.37
1,2024-12-03,131,NABIL,Nabil Bank Limited,544.6,544.6,530.2,532.0,62719,33351241.1,534.0,700.0,419.0,2024-12-03T14:59:55.304737,532.0,587,531.75,143943.23
1,2024-12-04,131,NABIL,Nabil Bank Limited,542.6,542.6,530.0,530.0,69630,36964486.1,532.0,700.0,419.0,2024-12-04T14:59:35.825934,530.0,646,530.87,143402.09
1,2024-12-05,131,NABIL,Nabil Bank Limited,540.6,540.6,523.0,525.0,61452,32305643.4,530.0,700.0,419.0,2024-12-05T14:59:56.452228,525.0,716,525.7,142049.24
1,2024-12-08,131,NABIL,Nabil Bank Limited,526.0,526.0,513.5,514.5,76545,39566583.4,525.0,700.0,419.0,2024-12-08T14:59:58.246693,514.5,839,516.9,139208.26
1,2024-12-09,131,NABIL,Nabil Bank Limited,505.0,516.9,505.0,510.0,54624,27932970.6,514.5,700.0,419.0,2024-12-09T14:59:58.158006,510.0,669,511.36,137990.69
1,2024-12-10,131,NABIL,Nabil Bank Limited,510.0,514.0,505.0,508.1,51966,26432713.9,510.0,700.0,419.0,2024-12-10T14:59:54.909757,508.1,558,508.65,137476.61
