Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
208,2024-10-15,8024,NBF3,Nabil Balanced Fund-3,8.45,8.77,8.42,8.77,31798,270104.5,8.52,10.45,6.74,2024-10-15T14:59:25.075079,8.77,17,8.49,1096.25
216,2024-10-16,8024,NBF3,Nabil Balanced Fund-3,8.76,8.94,8.71,8.93,61400,546950.0,8.77,10.45,6.74,2024-10-16T14:59:35.504022,8.93,37,8.9,1116.25
213,2024-10-17,8024,NBF3,Nabil Balanced Fund-3,9.0,9.39,8.85,9.38,325404,3036734.78,8.93,10.45,6.74,2024-10-17T14:57:43.131436,9.38,71,9.33,1172.5
213,2024-10-20,8024,NBF3,Nabil Balanced Fund-3,9.35,9.35,9.0,9.02,83334,761627.17,9.38,10.45,6.74,2024-10-20T14:59:41.84339,9.02,44,9.13,1127.5
217,2024-10-21,8024,NBF3,Nabil Balanced Fund-3,9.1,9.1,8.85,8.85,19550,174798.5,9.02,10.45,6.74,2024-10-21T14:58:15.700441,8.85,24,8.94,1106.25
212,2024-10-22,8024,NBF3,Nabil Balanced Fund-3,8.85,9.0,8.76,8.87,37500,333569.72,8.85,10.45,6.74,2024-10-22T14:54:59.485551,8.87,24,8.89,1108.75
221,2024-10-23,8024,NBF3,Nabil Balanced Fund-3,8.7,9.05,8.7,9.04,16901,150712.04,8.87,10.45,6.74,2024-10-23T14:30:30.239374,9.04,31,8.91,1130.0
214,2024-10-24,8024,NBF3,Nabil Balanced Fund-3,8.95,9.0,8.87,8.88,45410,405496.85,9.04,10.45,6.74,2024-10-24T14:58:57.162246,8.88,39,8.92,1110.0
217,2024-10-27,8024,NBF3,Nabil Balanced Fund-3,8.89,9.0,8.72,8.99,20410,180953.1,8.88,10.45,6.74,2024-10-27T14:59:04.518398,8.99,26,8.86,1123.75
209,2024-10-28,8024,NBF3,Nabil Balanced Fund-3,8.82,9.02,8.77,8.8,32500,286491.0,8.99,10.45,6.74,2024-10-28T14:50:43.439147,8.8,32,8.81,1100.0
216,2024-10-29,8024,NBF3,Nabil Balanced Fund-3,8.73,9.15,8.73,9.12,51645,467011.65,8.8,10.45,6.74,2024-10-29T14:57:57.14897,9.12,28,9.04,1140.0
207,2024-10-30,8024,NBF3,Nabil Balanced Fund-3,8.94,9.1,8.92,8.92,26300,235194.0,9.12,10.45,6.74,2024-10-30T14:38:30.887141,8.92,15,8.94,1115.0
203,2024-11-05,8024,NBF3,Nabil Balanced Fund-3,8.92,8.92,8.87,8.9,5940,52900.3,8.92,10.45,6.77,2024-11-05T14:36:20.645191,8.9,16,8.9,1112.5
216,2024-11-06,8024,NBF3,Nabil Balanced Fund-3,9.0,9.18,8.9,9.18,34886,317958.0,8.9,10.45,6.77,2024-11-06T14:59:19.154509,9.18,24,9.11,1147.5
218,2024-11-10,8024,NBF3,Nabil Balanced Fund-3,9.35,9.39,9.17,9.39,193516,1799499.27,9.18,10.45,6.77,2024-11-10T14:59:57.184951,9.39,63,9.29,1173.75
204,2024-11-11,8024,NBF3,Nabil Balanced Fund-3,9.22,9.4,9.22,9.28,58755,544605.6,9.39,10.45,6.77,2024-11-11T14:59:54.270885,9.28,44,9.26,1160.0
213,2024-11-12,8024,NBF3,Nabil Balanced Fund-3,9.17,9.39,9.17,9.29,37739,350128.71,9.28,10.45,6.77,2024-11-12T14:59:40.343565,9.29,29,9.27,1161.25
210,2024-11-13,8024,NBF3,Nabil Balanced Fund-3,9.15,9.47,9.15,9.28,132729,1243584.27,9.29,10.45,6.77,2024-11-13T14:57:56.073514,9.28,60,9.36,1160.0
220,2024-11-14,8024,NBF3,Nabil Balanced Fund-3,9.2,9.55,9.2,9.38,121380,1143421.75,9.28,10.45,6.77,2024-11-14T14:55:50.802344,9.38,74,9.42,1172.5
224,2024-11-17,8024,NBF3,Nabil Balanced Fund-3,9.21,10.25,9.2,9.51,613010,5865847.96,9.38,10.45,6.77,2024-11-17T14:53:47.1888,9.51,135,9.56,1188.75
213,2024-11-19,8024,NBF3,Nabil Balanced Fund-3,9.68,10.07,9.39,9.4,244976,2341699.59,9.51,10.45,6.77,2024-11-19T14:59:46.900989,9.4,115,9.55,1175.0
220,2024-11-20,8024,NBF3,Nabil Balanced Fund-3,9.58,9.58,9.25,9.41,21110,198659.0,9.4,10.45,6.77,2024-11-20T14:56:35.540892,9.41,33,9.41,1176.25
215,2024-11-21,8024,NBF3,Nabil Balanced Fund-3,9.41,9.52,9.41,9.5,267440,2534524.55,9.41,10.45,6.77,2024-11-21T14:58:20.899049,9.5,62,9.47,1187.5
222,2024-11-24,8024,NBF3,Nabil Balanced Fund-3,9.32,9.52,9.32,9.41,127923,1207779.03,9.5,10.45,6.86,2024-11-24T14:58:37.180955,9.41,52,9.44,1176.25
215,2024-11-25,8024,NBF3,Nabil Balanced Fund-3,9.25,9.4,9.18,9.37,26600,248413.5,9.41,10.45,6.86,2024-11-25T14:57:34.757412,9.37,28,9.33,1171.25
220,2024-11-26,8024,NBF3,Nabil Balanced Fund-3,9.26,9.58,9.26,9.54,82140,780548.0,9.37,10.45,6.86,2024-11-26T14:57:13.485778,9.54,50,9.5,1192.5
216,2024-11-27,8024,NBF3,Nabil Balanced Fund-3,9.37,9.6,9.37,9.58,33880,324278.0,9.54,10.45,6.89,2024-11-27T14:57:01.457682,9.58,30,9.57,1197.5
227,2024-11-28,8024,NBF3,Nabil Balanced Fund-3,9.76,9.87,9.4,9.55,271095,2653943.82,9.58,10.45,6.89,2024-11-28T14:25:03.531748,9.55,52,9.78,1193.75
221,2024-12-01,8024,NBF3,Nabil Balanced Fund-3,9.7,9.93,9.4,9.93,157180,1527033.9,9.55,10.45,6.89,2024-12-01T14:58:45.478126,9.93,45,9.71,1241.25
211,2024-12-02,8024,NBF3,Nabil Balanced Fund-3,9.93,10.3,9.64,9.64,384744,3927480.36,9.93,10.45,6.89,2024-12-02T14:56:01.25311,9.64,56,10.2,1205.0
209,2024-12-03,8024,NBF3,Nabil Balanced Fund-3,9.64,9.65,9.5,9.6,29600,284208.0,9.64,10.45,6.89,2024-12-03T14:59:37.401385,9.6,44,9.6,1200.0
221,2024-12-04,8024,NBF3,Nabil Balanced Fund-3,9.5,9.75,9.5,9.75,64050,618628.5,9.6,10.45,6.89,2024-12-04T14:59:20.019931,9.75,37,9.65,1218.75
208,2024-12-05,8024,NBF3,Nabil Balanced Fund-3,9.7,9.7,9.46,9.5,29045,276335.7,9.75,10.45,6.89,2024-12-05T14:52:40.539011,9.5,19,9.51,1187.5
215,2024-12-08,8024,NBF3,Nabil Balanced Fund-3,9.4,9.61,9.4,9.55,38700,366408.0,9.5,10.45,6.96,2024-12-08T14:59:21.540383,9.55,42,9.46,1193.75
211,2024-12-09,8024,NBF3,Nabil Balanced Fund-3,9.45,9.55,9.36,9.4,33170,311827.0,9.55,10.45,6.96,2024-12-09T14:44:14.427922,9.4,32,9.4,1175.0
205,2024-12-10,8024,NBF3,Nabil Balanced Fund-3,9.4,9.46,9.24,9.33,27600,257825.5,9.4,10.45,7.01,2024-12-10T14:56:26.51153,9.33,30,9.34,1166.25
207,2024-12-11,8024,NBF3,Nabil Balanced Fund-3,9.15,9.53,9.15,9.53,76488,721434.1,9.33,10.45,7.05,2024-12-11T14:47:13.79758,9.53,39,9.43,1191.25
229,2024-12-12,8024,NBF3,Nabil Balanced Fund-3,9.34,9.91,9.3,9.32,70474,670792.6,9.53,10.45,7.05,2024-12-12T14:57:21.739978,9.32,52,9.51,1165.0
224,2024-12-16,8024,NBF3,Nabil Balanced Fund-3,9.22,9.65,9.12,9.16,30525,281015.7,9.32,10.45,7.05,2024-12-16T14:59:14.310368,9.16,46,9.2,1145.0
259,2024-12-17,8024,NBF3,Nabil Balanced Fund-3,9.0,9.66,9.0,9.59,69661,641659.45,9.16,10.45,7.05,2024-12-17T14:57:18.400521,9.59,43,9.21,1198.75
142,2024-12-18,8024,NBF3,Nabil Balanced Fund-3,9.78,9.78,9.19,9.2,17956,167953.54,9.59,10.45,7.05,2024-12-18T14:59:07.678538,9.2,36,9.35,1150.0
211,2024-12-19,8024,NBF3,Nabil Balanced Fund-3,9.2,9.53,9.02,9.02,67757,616748.26,9.2,10.45,7.05,2024-12-19T14:59:59.41977,9.02,42,9.1,1127.5
214,2024-12-22,8024,NBF3,Nabil Balanced Fund-3,9.02,9.35,8.85,9.29,41446,379272.55,9.02,10.45,7.05,2024-12-22T14:56:36.570054,9.29,45,9.15,1161.25
193,2024-12-23,8024,NBF3,Nabil Balanced Fund-3,9.46,9.65,9.28,9.48,67796,641408.44,9.29,10.45,7.05,2024-12-23T14:37:25.928776,9.48,38,9.46,1185.0
186,2024-12-24,8024,NBF3,Nabil Balanced Fund-3,9.66,9.66,9.11,9.39,48650,452415.5,9.48,10.45,7.05,2024-12-24T14:58:35.764329,9.39,44,9.29,1173.75
218,2024-12-26,8024,NBF3,Nabil Balanced Fund-3,9.57,9.57,9.13,9.34,4600,42482.0,9.39,10.45,7.05,2024-12-26T14:56:18.010143,9.34,19,9.23,1167.5
265,2024-12-29,8024,NBF3,Nabil Balanced Fund-3,9.5,9.65,9.0,9.4,64380,593823.0,9.34,10.45,7.05,2024-12-29T14:56:21.490481,9.4,57,9.22,1175.0
