Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
145,2024-11-25,2769,NHDL,Nepal Hydro Developers Ltd.,674.0,701.0,674.0,699.0,55949,39075591.7,685.9,726.0,327.2,2024-11-25T14:59:59.878216,699.0,174,698.41,2512.5
122,2024-11-26,2769,NHDL,Nepal Hydro Developers Ltd.,705.8,750.0,701.0,743.0,87647,64148894.0,699.0,750.0,327.2,2024-11-26T14:59:56.627817,743.0,522,731.9,2670.65
125,2024-11-27,2769,NHDL,Nepal Hydro Developers Ltd.,747.5,757.0,744.0,745.2,27866,20927701.9,743.0,757.0,327.2,2024-11-27T14:59:59.24781,745.2,178,751.01,2678.56
130,2024-11-28,2769,NHDL,Nepal Hydro Developers Ltd.,760.0,760.0,719.0,723.0,48365,35539210.4,745.2,760.0,327.2,2024-11-28T14:59:55.84492,723.0,183,734.81,2598.76
154,2024-12-01,2769,NHDL,Nepal Hydro Developers Ltd.,709.0,723.0,701.0,707.7,49383,35038105.9,723.0,760.0,327.2,2024-12-01T14:59:58.93088,707.7,187,709.51,2543.77
124,2024-12-02,2769,NHDL,Nepal Hydro Developers Ltd.,720.0,745.0,713.1,730.0,27261,19885245.3,707.7,760.0,327.2,2024-12-02T14:57:55.682265,730.0,172,729.43,2623.92
125,2024-12-03,2769,NHDL,Nepal Hydro Developers Ltd.,744.0,744.0,729.0,729.1,19055,13992921.0,730.0,760.0,327.2,2024-12-03T14:59:22.972653,729.1,113,734.34,2620.69
125,2024-12-04,2769,NHDL,Nepal Hydro Developers Ltd.,739.9,770.0,726.0,752.4,30094,22559615.3,729.1,770.0,327.2,2024-12-04T14:59:59.595484,752.4,207,749.63,2704.44
122,2024-12-05,2769,NHDL,Nepal Hydro Developers Ltd.,767.4,773.0,743.0,749.0,28044,21061351.0,752.4,773.0,331.0,2024-12-05T14:59:48.72696,749.0,164,751.01,2692.22
127,2024-12-08,2769,NHDL,Nepal Hydro Developers Ltd.,763.9,763.9,734.8,740.0,15875,11816138.4,749.0,773.0,331.0,2024-12-08T14:59:38.521539,740.0,97,744.32,2659.87
123,2024-12-09,2769,NHDL,Nepal Hydro Developers Ltd.,753.0,753.0,729.0,735.0,26020,19207524.4,740.0,773.0,331.0,2024-12-09T14:59:48.960966,735.0,119,738.18,2641.89
122,2024-12-10,2769,NHDL,Nepal Hydro Developers Ltd.,746.9,749.0,730.5,737.0,13987,10354243.2,735.0,773.0,331.0,2024-12-10T14:59:59.261613,737.0,93,740.27,2649.08
122,2024-12-11,2769,NHDL,Nepal Hydro Developers Ltd.,751.7,762.9,737.0,762.9,24877,18689971.0,737.0,773.0,346.4,2024-12-11T14:59:58.774974,762.9,110,751.29,2742.18
127,2024-12-12,2769,NHDL,Nepal Hydro Developers Ltd.,748.1,770.5,748.1,754.8,10126,7665201.4,762.9,773.0,346.4,2024-12-12T14:59:58.725077,754.8,73,756.98,2713.06
143,2024-12-16,2769,NHDL,Nepal Hydro Developers Ltd.,757.0,757.0,729.0,736.0,54599,40228031.8,754.8,773.0,367.1,2024-12-16T14:59:59.280202,736.0,142,736.79,2645.49
114,2024-12-17,2769,NHDL,Nepal Hydro Developers Ltd.,742.0,742.0,728.0,733.0,11047,8119398.8,736.0,773.0,367.1,2024-12-17T14:59:57.889776,733.0,78,734.98,2634.71
68,2024-12-18,2769,NHDL,Nepal Hydro Developers Ltd.,725.0,746.0,725.0,725.0,10236,7473924.1,733.0,773.0,367.5,2024-12-18T14:59:50.511168,725.0,65,730.16,2605.95
125,2024-12-19,2769,NHDL,Nepal Hydro Developers Ltd.,739.5,739.5,710.6,715.0,20405,14688646.6,725.0,773.0,367.5,2024-12-19T14:59:57.884865,715.0,84,719.85,2570.01
126,2024-12-22,2769,NHDL,Nepal Hydro Developers Ltd.,729.3,742.9,701.5,742.0,40412,28598384.4,715.0,773.0,367.5,2024-12-22T14:59:53.869308,742.0,144,707.67,2667.06
116,2024-12-23,2769,NHDL,Nepal Hydro Developers Ltd.,674.0,754.8,670.0,754.8,11452,7984571.4,687.04,773.0,367.5,2024-12-23T14:59:53.766481,754.8,85,697.22,2930.11
149,2024-12-24,2769,NHDL,Nepal Hydro Developers Ltd.,753.0,753.0,710.7,725.0,23542,17032117.6,754.8,773.0,367.5,2024-12-24T14:59:59.15905,725.0,120,723.47,2814.43
147,2024-12-26,2769,NHDL,Nepal Hydro Developers Ltd.,739.0,739.0,703.0,727.0,10615,7603800.1,725.0,773.0,367.5,2024-12-26T14:59:47.639411,727.0,69,716.32,2822.19
110,2024-12-29,2769,NHDL,Nepal Hydro Developers Ltd.,720.0,720.0,702.4,710.0,3684,2595429.0,727.0,773.0,367.5,2024-12-29T14:59:34.171028,710.0,47,704.51,2756.2
