Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
264,2024-11-25,9138,NIBLGF,NIBL Growth Fund,9.0,9.0,8.92,8.94,4000,35940.0,9.11,10.64,7.32,2024-11-25T14:20:04.172476,8.94,9,8.98,1180.08
276,2024-11-26,9138,NIBLGF,NIBL Growth Fund,8.94,9.03,8.86,8.95,1000,8956.0,8.94,10.64,7.32,2024-11-26T14:56:52.968856,8.95,8,8.95,1181.4
259,2024-11-27,9138,NIBLGF,NIBL Growth Fund,8.86,9.0,8.84,9.0,3900,34634.0,8.95,10.64,7.32,2024-11-27T13:43:30.194512,9.0,7,8.88,1188.0
247,2024-11-28,9138,NIBLGF,NIBL Growth Fund,9.0,9.0,8.85,9.0,1500,13431.0,9.0,10.64,7.34,2024-11-28T14:43:36.271639,9.0,7,8.95,1188.0
267,2024-12-01,9138,NIBLGF,NIBL Growth Fund,8.86,9.0,8.85,8.9,1900,16896.0,9.0,10.64,7.36,2024-12-01T14:48:50.57177,8.9,6,8.89,1174.8
252,2024-12-02,9138,NIBLGF,NIBL Growth Fund,8.9,9.18,8.9,9.18,3100,27747.0,8.9,10.64,7.37,2024-12-02T14:24:40.733929,9.18,12,8.95,1211.76
248,2024-12-03,9138,NIBLGF,NIBL Growth Fund,9.0,9.13,8.95,9.13,7280,66313.4,9.18,10.64,7.38,2024-12-03T14:23:03.689482,9.13,8,9.1,1205.16
262,2024-12-04,9138,NIBLGF,NIBL Growth Fund,8.95,9.0,8.95,9.0,200,1795.0,9.13,10.64,7.38,2024-12-04T14:23:16.77965,9.0,2,8.97,1188.0
248,2024-12-05,9138,NIBLGF,NIBL Growth Fund,9.0,9.22,8.87,9.09,9000,82433.0,9.0,10.64,7.4,2024-12-05T14:59:26.100873,9.09,9,9.15,1199.88
260,2024-12-08,9138,NIBLGF,NIBL Growth Fund,9.08,9.26,8.98,9.15,4600,42130.0,9.09,10.64,7.41,2024-12-08T13:47:53.879374,9.15,7,9.15,1207.8
254,2024-12-09,9138,NIBLGF,NIBL Growth Fund,9.15,9.15,9.15,9.15,1500,13725.0,9.15,10.64,7.41,2024-12-09T14:09:36.097289,9.15,2,9.15,1207.8
245,2024-12-10,9138,NIBLGF,NIBL Growth Fund,8.98,9.0,8.84,8.84,400,3566.0,9.15,10.64,7.53,2024-12-10T13:46:45.554194,8.84,3,8.91,1166.88
247,2024-12-11,9138,NIBLGF,NIBL Growth Fund,8.78,9.0,8.78,8.88,900,8012.0,8.84,10.64,7.6,2024-12-11T14:48:40.084525,8.88,8,8.9,1172.16
251,2024-12-12,9138,NIBLGF,NIBL Growth Fund,8.73,9.0,8.73,8.96,1200,10735.0,8.88,10.64,7.6,2024-12-12T14:58:12.042848,8.96,8,8.94,1182.72
252,2024-12-16,9138,NIBLGF,NIBL Growth Fund,8.91,8.96,8.9,8.96,1400,12486.0,8.96,10.64,7.63,2024-12-16T14:58:28.460722,8.96,8,8.91,1182.72
283,2024-12-17,9138,NIBLGF,NIBL Growth Fund,8.79,9.07,8.79,9.06,2200,19776.0,8.96,10.64,7.69,2024-12-17T14:56:04.990593,9.06,9,8.98,1195.92
160,2024-12-18,9138,NIBLGF,NIBL Growth Fund,8.88,9.1,8.88,8.9,1800,16079.0,9.06,10.64,7.69,2024-12-18T14:41:13.766233,8.9,12,8.93,1174.8
252,2024-12-19,9138,NIBLGF,NIBL Growth Fund,8.73,8.76,8.73,8.76,200,1749.0,8.9,10.64,7.69,2024-12-19T11:42:27.716275,8.76,2,8.74,1156.32
256,2024-12-22,9138,NIBLGF,NIBL Growth Fund,8.8,8.8,8.63,8.7,2010,17592.0,8.76,10.64,7.69,2024-12-22T13:36:30.791811,8.7,10,8.75,1148.4
245,2024-12-23,9138,NIBLGF,NIBL Growth Fund,8.53,8.68,8.53,8.68,800,6906.0,8.7,10.64,7.69,2024-12-23T14:26:57.694517,8.68,7,8.63,1145.76
275,2024-12-24,9138,NIBLGF,NIBL Growth Fund,8.66,8.87,8.65,8.87,2010,17652.0,8.68,10.64,7.69,2024-12-24T14:03:31.942111,8.87,8,8.78,1170.84
239,2024-12-26,9138,NIBLGF,NIBL Growth Fund,9.04,9.05,8.87,8.87,2700,24100.0,8.87,10.64,7.69,2024-12-26T14:54:12.935,8.87,12,8.92,1170.84
218,2024-12-29,9138,NIBLGF,NIBL Growth Fund,8.7,8.87,8.66,8.87,2300,20227.0,8.87,10.64,7.69,2024-12-29T13:56:06.464865,8.87,9,8.79,1170.84
