Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
206,2024-11-25,4949,NIBSF2,NIBL Samriddhi Fund -2,8.88,8.88,8.71,8.8,10220,89322.0,8.87,9.6,6.76,2024-11-25T14:56:25.13925,8.8,11,8.73,1320.0
180,2024-11-26,4949,NIBSF2,NIBL Samriddhi Fund -2,8.8,8.89,8.75,8.89,38210,335837.0,8.8,9.6,6.78,2024-11-26T14:59:27.107436,8.89,23,8.78,1333.5
200,2024-11-27,4949,NIBSF2,NIBL Samriddhi Fund -2,8.86,8.9,8.75,8.75,8800,77686.0,8.89,9.6,6.78,2024-11-27T14:59:43.451452,8.75,13,8.82,1312.5
190,2024-11-28,4949,NIBSF2,NIBL Samriddhi Fund -2,8.75,8.9,8.6,8.8,18120,160766.4,8.75,9.6,6.78,2024-11-28T14:49:51.559543,8.8,20,8.87,1320.0
213,2024-12-01,4949,NIBSF2,NIBL Samriddhi Fund -2,8.63,8.8,8.61,8.7,8660,75275.0,8.8,9.6,6.78,2024-12-01T14:59:48.492495,8.7,14,8.69,1305.0
192,2024-12-02,4949,NIBSF2,NIBL Samriddhi Fund -2,8.7,8.9,8.7,8.9,13780,120950.8,8.7,9.6,6.88,2024-12-02T14:59:31.887561,8.9,17,8.77,1335.0
193,2024-12-03,4949,NIBSF2,NIBL Samriddhi Fund -2,8.9,9.0,8.9,8.9,77000,687900.0,8.9,9.6,6.9,2024-12-03T14:59:54.545534,8.9,25,8.93,1335.0
202,2024-12-04,4949,NIBSF2,NIBL Samriddhi Fund -2,8.82,9.07,8.74,8.89,11240,100713.4,8.9,9.6,6.9,2024-12-04T14:53:48.945673,8.89,12,8.96,1333.5
193,2024-12-05,4949,NIBSF2,NIBL Samriddhi Fund -2,8.82,8.82,8.74,8.81,2300,20255.0,8.89,9.6,6.9,2024-12-05T14:46:05.496444,8.81,7,8.8,1321.5
193,2024-12-08,4949,NIBSF2,NIBL Samriddhi Fund -2,8.81,8.9,8.73,8.77,5361,47066.64,8.81,9.6,7.05,2024-12-08T14:30:07.370069,8.77,14,8.77,1315.5
195,2024-12-09,4949,NIBSF2,NIBL Samriddhi Fund -2,8.72,8.85,8.6,8.68,10100,88903.0,8.77,9.6,7.05,2024-12-09T14:52:30.532308,8.68,16,8.8,1302.0
189,2024-12-10,4949,NIBSF2,NIBL Samriddhi Fund -2,8.68,8.85,8.68,8.7,7340,63815.0,8.68,9.6,7.05,2024-12-10T14:58:31.461874,8.7,16,8.69,1305.0
188,2024-12-11,4949,NIBSF2,NIBL Samriddhi Fund -2,8.6,8.7,8.55,8.58,12300,105738.0,8.7,9.6,7.05,2024-12-11T14:50:26.71447,8.58,8,8.59,1287.0
190,2024-12-12,4949,NIBSF2,NIBL Samriddhi Fund -2,8.61,8.78,8.48,8.65,26400,227696.0,8.58,9.6,7.05,2024-12-12T14:59:51.95806,8.65,24,8.62,1297.5
186,2024-12-16,4949,NIBSF2,NIBL Samriddhi Fund -2,8.49,8.83,8.49,8.56,12200,104851.6,8.65,9.6,7.05,2024-12-16T14:44:07.717836,8.56,15,8.59,1284.0
169,2024-12-17,4949,NIBSF2,NIBL Samriddhi Fund -2,8.42,8.6,8.42,8.44,6950,58816.0,8.56,9.6,7.05,2024-12-17T14:24:23.011399,8.44,9,8.46,1266.0
132,2024-12-18,4949,NIBSF2,NIBL Samriddhi Fund -2,8.41,8.6,8.41,8.6,5150,43804.0,8.44,9.6,7.05,2024-12-18T14:59:15.48659,8.6,15,8.5,1290.0
192,2024-12-19,4949,NIBSF2,NIBL Samriddhi Fund -2,8.45,8.61,8.45,8.5,4125,35169.75,8.6,9.6,7.05,2024-12-19T14:59:01.924668,8.5,9,8.52,1275.0
196,2024-12-22,4949,NIBSF2,NIBL Samriddhi Fund -2,8.38,8.67,8.38,8.5,19205,163026.0,8.5,9.6,7.05,2024-12-22T14:56:16.967118,8.5,17,8.48,1275.0
180,2024-12-23,4949,NIBSF2,NIBL Samriddhi Fund -2,8.6,8.61,8.45,8.45,16967,144981.68,8.5,9.6,7.05,2024-12-23T14:20:52.113824,8.45,16,8.54,1267.5
238,2024-12-24,4949,NIBSF2,NIBL Samriddhi Fund -2,8.29,8.6,8.29,8.56,13600,114730.0,8.45,9.6,7.05,2024-12-24T14:54:48.530069,8.56,19,8.43,1284.0
210,2024-12-26,4949,NIBSF2,NIBL Samriddhi Fund -2,8.41,8.57,8.41,8.44,2700,22890.5,8.56,9.6,7.05,2024-12-26T14:08:43.384872,8.44,7,8.47,1266.0
194,2024-12-29,4949,NIBSF2,NIBL Samriddhi Fund -2,8.45,8.6,8.44,8.5,3650,31019.0,8.44,9.6,7.05,2024-12-29T13:59:04.592197,8.5,14,8.49,1275.0
